Zurdo2001_Fig8_pH2-7.txt: pH 2.7 X	Zurdo2001_Fig8_pH2-7.txt: pH 2.7 Y
381.9078774	6.52631715902e-05
1677.967709	0.017957604074
3612.113693	-0.0514061924397
4647.613251	-0.0475876954464
8399.613766	-0.0411780057744
11884.64955	-0.101203560314
15241.5962	-0.131382227661
18087.19752	-0.0906781583722
21839.87219	-0.000226693764418
25194.79638	-0.000744481432533
28820.73022	0.131483240671
32568.01166	0.178913448757
35803.27362	0.255084730703
39499.31941	-0.241546708196
43249.63454	-0.214893964442
46616.01934	-0.163983978238
57752.02158	-0.0449824041563
