m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y
2.2222223	0.27071908	2.2222223	0.24706565	2.2222223	0.28211492	2.2222223	0.20457885	2.2222223	0.17050245	2.2222223	0.17848915	2.2222223	0.14655235	2.2222223	0.152758	2.2222223	0.13695814	2.2222223	0.09649643	2.2222223	0.10332143	2.2222223	0.096509986	2.2222223	0.057760622	2.2222223	0.04880586	2.2222223	0.048037376	2.2222223	0.028852286	2.2222223	0.032789078	2.2222223	0.03192317	2.2222223	0.026672052	2.2222223	0.01736237	2.2222223	0.018301087	2.2222223	0.003115105	2.2222223	0.008045854	2.2222223	0.005896689
2.4444444	0.26781034	2.4444444	0.24968089	2.4444444	0.27328107	2.4444444	0.20902012	2.4444444	0.17314148	2.4444444	0.17514469	2.4444444	0.15839121	2.4444444	0.16647327	2.4444444	0.1476671	2.4444444	0.10188742	2.4444444	0.11261053	2.4444444	0.10339013	2.4444444	0.062406436	2.4444444	0.052249845	2.4444444	0.05229102	2.4444444	0.03051794	2.4444444	0.036571365	2.4444444	0.034813493	2.4444444	0.029089658	2.4444444	0.018061502	2.4444444	0.019562209	2.4444444	0.00399125	2.4444444	0.008524444	2.4444444	0.007133953
2.6666667	0.27120385	2.6666667	0.25559992	2.6666667	0.28034812	2.6666667	0.22181228	2.6666667	0.17657228	2.6666667	0.18109043	2.6666667	0.18207799	2.6666667	0.18341976	2.6666667	0.15523574	2.6666667	0.1101221	2.6666667	0.12365988	2.6666667	0.11189044	2.6666667	0.0686182	2.6666667	0.056866605	2.6666667	0.054686677	2.6666667	0.034378573	2.6666667	0.039446987	2.6666667	0.039509468	2.6666667	0.03131363	2.6666667	0.019693043	2.6666667	0.02224088	2.6666667	0.004339758	2.6666667	0.010116377	2.6666667	0.008464906
2.8888888	0.26974952	2.8888888	0.25821546	2.8888888	0.29448295	2.8888888	0.23922706	2.8888888	0.18396199	2.8888888	0.18406337	2.8888888	0.19545841	2.8888888	0.19915996	2.8888888	0.17008978	2.8888888	0.11855431	2.8888888	0.13915113	2.8888888	0.12140445	2.8888888	0.07274456	2.8888888	0.06311905	2.8888888	0.057660997	2.8888888	0.037976604	2.8888888	0.042604793	2.8888888	0.043794524	2.8888888	0.034289576	2.8888888	0.020375725	2.8888888	0.023191117	2.8888888	0.005086644	2.8888888	0.01168657	2.8888888	0.010123222
3.1111112	0.2692647	3.1111112	0.26372212	3.1111112	0.29183263	3.1111112	0.24846905	3.1111112	0.18924059	3.1111112	0.1829485	3.1111112	0.21272628	3.1111112	0.20736803	3.1111112	0.17923234	3.1111112	0.13002847	3.1111112	0.15950908	3.1111112	0.13152783	3.1111112	0.07905425	3.1111112	0.07111584	3.1111112	0.06294981	3.1111112	0.041860957	3.1111112	0.046845935	3.1111112	0.04960561	3.1111112	0.037823915	3.1111112	0.021774575	3.1111112	0.025232233	3.1111112	0.005763916	3.1111112	0.013413291	3.1111112	0.011747014
3.3333333	0.27944538	3.3333333	0.26991764	3.3333333	0.28962398	3.3333333	0.25540125	3.3333333	0.19821467	3.3333333	0.18517822	3.3333333	0.23368217	3.3333333	0.22230697	3.3333333	0.19194824	3.3333333	0.14023016	3.3333333	0.17937583	3.3333333	0.14600807	3.3333333	0.08588801	3.3333333	0.07936585	3.3333333	0.06621473	3.3333333	0.04643919	3.3333333	0.052886974	3.3333333	0.05707693	3.3333333	0.041681085	3.3333333	0.023889976	3.3333333	0.028349636	3.3333333	0.006620601	3.3333333	0.015363624	3.3333333	0.014388252
3.5555556	0.28283906	3.5555556	0.27831683	3.5555556	0.29315776	3.5555556	0.27282333	3.5555556	0.20296589	3.5555556	0.18740799	3.5555556	0.25127313	3.5555556	0.24263547	3.5555556	0.20995471	3.5555556	0.15043415	3.5555556	0.1943885	3.5555556	0.15005931	3.5555556	0.09695044	3.5555556	0.08972064	3.5555556	0.074813746	3.5555556	0.05187557	3.5555556	0.05767559	3.5555556	0.06501376	3.5555556	0.047535446	3.5555556	0.026405906	3.5555556	0.031686924	3.5555556	0.008025497	3.5555556	0.018474864	3.5555556	0.017557312
3.7777777	0.27750614	3.7777777	0.28327417	3.7777777	0.30331764	3.7777777	0.27228996	3.7777777	0.2071893	3.7777777	0.19112428	3.7777777	0.2750132	3.7777777	0.25664085	3.7777777	0.22167589	3.7777777	0.16495934	3.7777777	0.21503198	3.7777777	0.16626793	3.7777777	0.10611865	3.7777777	0.102506064	3.7777777	0.08023159	3.7777777	0.060496677	3.7777777	0.0645933	3.7777777	0.07531892	3.7777777	0.05223844	3.7777777	0.028822673	3.7777777	0.03629036	3.7777777	0.009012166	3.7777777	0.021566175	3.7777777	0.021079771
4	0.27896056	4	0.29002225	4	0.30155066	4	0.28064677	4	0.21906845	4	0.19744214	4	0.2885273	4	0.27320948	4	0.23568693	4	0.17615104	4	0.23148967	4	0.17528658	4	0.117145665	4	0.11751616	4	0.08892024	4	0.066576816	4	0.07086654	4	0.08662569	4	0.058484837	4	0.03284132	4	0.039944477	4	0.010986146	4	0.02552047	4	0.025472285
4.2222223	0.2872024	4.2222223	0.29635772	4.2222223	0.31038564	4.2222223	0.29416183	4.2222223	0.22883652	4.2222223	0.20450354	4.2222223	0.30757856	4.2222223	0.29436558	4.2222223	0.24583977	4.2222223	0.18940829	4.2222223	0.25098217	4.2222223	0.1909978	4.2222223	0.12994015	4.2222223	0.1342964	4.2222223	0.098400205	4.2222223	0.07578995	4.2222223	0.080494694	4.2222223	0.097274646	4.2222223	0.06439132	4.2222223	0.036077973	4.2222223	0.045273837	4.2222223	0.013160547	4.2222223	0.02957987	4.2222223	0.02975232
