m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3.5uM_M0:0_L0:10000 X	m0:3.5uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2.5uM_M0:0_L0:10000 X	m0:2.5uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y	m0:1.75uM_M0:0_L0:10000 X	m0:1.75uM_M0:0_L0:10000 Y	m0:1.5uM_M0:0_L0:10000 X	m0:1.5uM_M0:0_L0:10000 Y	m0:1.35uM_M0:0_L0:10000 X	m0:1.35uM_M0:0_L0:10000 Y	m0:1.2uM_M0:0_L0:10000 X	m0:1.2uM_M0:0_L0:10000 Y
0.57167	0.067523867	0.57167	0.013228226	0.57167	-0.007480567	0.57167	-0.01362477	0.57167	-0.015071961	0.57167	-0.021193447	0.57167	-0.010874808	0.57167	-0.018709074	0.57167	-0.010433133	0.57167	0.005441218
0.57167	0.075799643	0.57167	0.019658662	0.57167	-0.006064773	0.57167	-0.012789289	0.57167	-0.014245287	0.57167	-0.019619255	0.57167	-0.009965312	0.57167	-0.014303014	0.57167	-0.01043248	0.66694	-0.018218685
0.57167	0.08574651	0.57167	0.019385361	0.57167	0.003797463	0.57167	-0.012429205	0.57167	-0.011129556	0.57167	-0.01899235	0.57167	-0.006559464	0.57167	-0.010136049	0.57167	-0.013652012	0.66694	-0.01393005
0.57167	0.104816065	0.57167	0.028533976	0.57167	0.00471892	0.57167	-0.011174487	0.57167	-0.005364167	0.57167	-0.008215278	0.57167	-0.005978566	0.57167	-0.010049887	0.57167	-0.014352914	0.66694	-0.014235184
0.66694	0.161342677	0.66694	0.050287453	0.66694	0.007803209	0.66694	-0.009567498	0.66694	-0.012380971	0.66694	-0.016734305	0.66694	-0.011272238	0.66694	-0.014816582	0.66694	-0.025094449	0.66694	-0.006775291
0.66694	0.183417937	0.66694	0.061427875	0.66694	0.007930526	0.66694	-0.00634365	0.66694	-0.010639031	0.66694	-0.013558428	0.66694	-0.011506396	0.66694	-0.014122268	0.66694	-0.02168652	0.76222	-0.017006022
0.66694	0.204941883	0.66694	0.07291854	0.66694	0.030989662	0.66694	-0.005773912	0.66694	-0.006794612	0.66694	-0.01190736	0.66694	-0.008469635	0.66694	-0.013141995	0.66694	-0.011079815	0.76222	-0.011258058
0.66694	0.22112367	0.66694	0.086694296	0.66694	0.040072763	0.66694	-0.004982931	0.66694	-0.005659096	0.66694	-0.011857796	0.66694	-0.007530437	0.66694	-0.011015063	0.66694	-0.008849621	0.76222	-0.011821893
0.76222	0.314412924	0.76222	0.10882151	0.76222	0.038040279	0.76222	0.011216895	0.76222	-0.00655512	0.76222	-0.01640728	0.76222	-0.015640431	0.76222	-0.013863422	0.76222	-0.015175466	0.76222	-0.003327687
0.76222	0.33604918	0.76222	0.12238134	0.76222	0.041821249	0.76222	0.01083112	0.76222	-0.002915981	0.76222	-0.013327321	0.76222	-0.011272238	0.76222	-0.008398653	0.76222	-0.021476988	0.8575	-0.012957054
0.76222	0.386915031	0.76222	0.138865802	0.76222	0.070302262	0.76222	0.011090895	0.76222	-0.001674662	0.76222	-0.009223976	0.76222	-0.009741671	0.76222	-0.008161677	0.76222	-0.013454302	0.8575	-0.01035015
0.76222	0.401330848	0.76222	0.153428049	0.76222	0.091029486	0.76222	0.013411582	0.76222	0.002455597	0.76222	-0.007251122	0.76222	-0.00429386	0.76222	-0.005887569	0.76222	-0.007338943	0.8575	-0.008274249
0.8575	0.486571532	0.8575	0.195730615	0.8575	0.083859803	0.8575	0.035686266	0.8575	0.003680829	0.8575	-0.01382221	0.8575	-0.012960351	0.8575	-0.013623722	0.8575	-0.023258007	0.8575	-0.008347151
0.8575	0.514086203	0.8575	0.218571994	0.8575	0.082811193	0.8575	0.035058861	0.8575	0.00655512	0.8575	-0.012325267	0.8575	-0.009900675	0.8575	-0.012901519	0.8575	-0.018090888	0.95278	-0.016856823
0.8575	0.571514649	0.8575	0.237786696	0.8575	0.132360291	0.8575	0.034941071	0.8575	0.010540522	0.8575	-0.006232569	0.8575	-0.002951241	0.8575	-0.011437327	0.8575	-0.012229471	0.95278	-0.011347114
