Sanchez2016_WT.txt: WT X	Sanchez2016_WT.txt: WT Y
0.0	-2.33813998453e-17
2390.185005	0.00855920116845
5748.315482	0.0256776034321
8146.91334	0.0385164051298
10545.04382	0.0556348074301
11983.64167	0.0684736091278
13900.83739	0.0941512125599
15818.50049	0.115549215426
17735.22882	0.145506419424
20132.89192	0.16690442229
21089.62025	0.196861626288
23486.81597	0.222539229684
24924.47907	0.24393723255
26361.2074	0.273894436548
28757.00097	0.312410841678
30195.13145	0.329529243978
32112.32717	0.35520684741
34029.99026	0.376604850166
35467.18598	0.402282453562
37385.31646	0.419400855826
39302.51217	0.445078459221
40738.77313	0.479315264115
42657.37098	0.492154065812
44574.5667	0.517831669208
46972.2298	0.539229672037
48889.42551	0.564907275433
51767.55599	0.582025677696
53685.68647	0.59914407996
55604.28432	0.611982881658
58001.01266	0.641940085619
60399.14314	0.659058487883
63277.74099	0.671897289581
66633.53457	0.710413694674
69511.19766	0.731811697503
72869.32814	0.748930099767
76228.86076	0.753209700333
80066.99124	0.770328102597
82945.12171	0.787446505226
84863.25219	0.80456490749
87262.78481	0.808844508056
89660.91529	0.82596291032
92060.91529	0.82596291032
96379.98053	0.834522111451
98298.57838	0.847360913149
101657.6436	0.855920114281
105015.7741	0.873038516545
109335.3067	0.877318117111
113175.7741	0.873038516545
117972.9698	0.89871611994
120372.0351	0.907275321072
122770.6329	0.92011412277
128530.6329	0.92011412277
133331.1003	0.915834522204
138129.2308	0.932952924467
142447.8286	0.945791726165
145807.8286	0.945791726165
150127.3612	0.950071326731
153967.3612	0.950071326731
158286.4265	0.958630527863
161646.8939	0.954350927297
165966.8939	0.954350927297
169325.4917	0.967189728995
172685.4917	0.967189728995
176045.9591	0.962910128429
180364.0896	0.980028530692
184683.6222	0.984308131258
189483.6222	0.984308131258
194282.2201	0.997146932956
199082.6874	0.99286733239
203882.6874	0.99286733239
208681.2853	1.00570613409
214441.2853	1.00570613409
218282.2201	0.997146932956
225002.2201	0.997146932956
229801.7527	1.00142653352
234121.7527	1.00142653352
238442.2201	0.997146932956
242762.2201	0.997146932956
248041.2853	1.00570613409
