Yang2017_20uM.txt: 20uM X	Yang2017_20uM.txt: 20uM Y
318.2711198	0.00135985749373
954.8133595	0.00753907914892
1591.355599	0.0218644171033
2227.897839	0.0436533515233
2722.986248	0.0623741854153
3218.074656	0.0812325260822
3713.163065	0.101905725776
4066.797642	0.104271579427
4420.43222	0.105818260616
4774.066798	0.106275868008
4986.247544	0.0963809155468
5339.882122	0.0889867091201
5622.789784	0.0797669463605
5976.424361	0.0662109808031
6188.605108	0.0479487135383
6542.239686	0.0344165821467
6754.420432	0.0136764565961
7108.05501	0.00422133573297
7390.962672	-0.0102518662203
7673.870334	-0.0275209884393
7956.777996	-0.0430420275508
8310.412574	-0.0459947778565
8593.320236	-0.0607423433447
8946.954813	-0.056557239048
9371.316306	-0.0528170719553
9654.223969	-0.0614693301782
10007.85855	-0.0568037566044
10502.94695	-0.0467406623162
11068.76228	-0.0424676338278
11493.12377	-0.0446512472963
12129.66601	-0.03677679413
12766.20825	-0.0333488770344
13473.47741	-0.0294621923033
14322.20039	-0.0126921283383
15241.65029	-0.00480873376678
16514.73477	-0.000195485278538
17575.63851	0.0027320852022
18707.26916	0.00479388294425
19768.17289	0.00863207223846
20687.62279	0.00606944317629
21819.25344	0.00295775148895
23092.33792	0.00385388859919
24294.69548	0.00426872239176
25426.32613	0.00214529568516
27053.04519	0.00226095168773
28467.5835	0.00461087026833
29811.39489	-6.55300988339e-06
31155.20629	-0.00231699525911
32499.01768	-6.91410751652e-07
34125.73674	-1.61378450603e-07
35540.27505	-0.00462967249839
