X	Yang2017_20uM.txt: 20uM
318.2711198	0.00135985749373
674.048937277	0.00608370868623
1029.82675475	0.014142033068
1385.60457223	0.0254551264784
1741.38238971	0.0399074855713
2097.16020718	0.0573569375064
2452.93802466	0.0776281907605
2808.71584214	0.100529521111
3164.49365961	0.125837120489
3520.27147709	0.153318725403
3876.04929457	0.182717682824
4231.82711204	0.213774365171
4587.60492952	0.246217503294
4943.382747	0.27977557245
5299.16056447	0.314174866032
5654.93838195	0.349147318557
6010.71619943	0.384433538805
6366.49401691	0.41978232817
6722.27183438	0.454958081906
7078.04965186	0.489738727218
7433.82746934	0.523921837147
7789.60528681	0.557321460864
8145.38310429	0.589776229004
8501.16092177	0.621140893722
8856.93873924	0.651295471099
9212.71655672	0.680139069029
9568.4943742	0.707593006397
9924.27219167	0.733597641288
10280.0500091	0.758113669864
10635.8278266	0.78111886261
10991.6056441	0.802608203526
11347.3834616	0.822592158454
11703.1612791	0.841094007214
12058.9390965	0.858149559255
12414.716914	0.87380398051
12770.4947315	0.88811219057
13126.272549	0.901134574623
13482.0503664	0.912937916324
13837.8281839	0.92359238841
14193.6060014	0.933170541336
14549.3838189	0.941746367241
14905.1616363	0.949394113906
15260.9394538	0.956187018807
15616.7172713	0.962196820524
15972.4950888	0.967493006769
16328.2729063	0.972142058312
16684.0507237	0.976207274243
17039.8285412	0.979748223581
17395.6063587	0.982820686664
17751.3841762	0.985476495375
18107.1619936	0.987763398827
18462.9398111	0.989725205775
18818.7176286	0.991401751078
19174.4954461	0.992829176342
19530.2732635	0.994039923654
19886.051081	0.995063054254
20241.8288985	0.995924427362
20597.606716	0.996646935784
20953.3845335	0.997250720744
21309.1623509	0.997753436031
21664.9401684	0.998170457617
22020.7179859	0.998515127685
22376.4958034	0.998798952182
22732.2736208	0.999031825511
23088.0514383	0.999222193578
23443.8292558	0.999377251968
23799.6070733	0.999503091812
24155.3848907	0.999604848447
24511.1627082	0.999686833726
24866.9405257	0.999752651531
25222.7183432	0.999805299431
25578.4961607	0.999847261344
25934.2739781	0.999880586436
26290.0517956	0.999906957343
26645.8296131	0.99992775059
27001.6074306	0.999944087431
27357.385248	0.999956877141
27713.1630655	0.999966854071
28068.940883	0.999974609281
28424.7187005	0.999980615958
28780.4965179	0.999985251881
29136.2743354	0.999988817145
29492.0521529	0.999991549319
29847.8299704	0.999993635644
30203.6077878	0.999995223166
30559.3856053	0.999996426857
30915.1634228	0.999997336315
31270.9412403	0.999998021027
31626.7190578	0.999998534723
31982.4968752	0.999998918759
32338.2746927	0.99999920485
32694.0525102	0.999999417227
33049.8303277	0.99999957433
33405.6081451	0.999999690137
33761.3859626	0.999999775203
34117.1637801	0.99999983747
34472.9415976	0.999999882888
34828.719415	0.999999915901
35184.4972325	0.999999939812
35540.27505	0.999999957072
