Yang2017_5uM.txt: 5uM X	Yang2017_5uM.txt: 5uM Y	Yang2017_20uM.txt: 20uM X	Yang2017_20uM.txt: 20uM Y
318.2711198	0.000460574773931	318.2711198	0.000716758688906
1096.267191	0.00541879722173	954.8133595	0.00184275343791
2015.717092	0.0181486008307	1591.355599	0.00661051081025
3005.89391	0.0399646760524	2227.897839	0.0154798634855
4278.978389	0.0686356986826	2722.986248	0.0228723536369
5198.428291	0.0772209563234	3218.074656	0.0303172304524
6117.878193	0.0751547216251	3713.163065	0.0405495541253
6825.147348	0.0501406156314	4066.797642	0.0366601750433
7532.416503	0.0566377687147	4420.43222	0.0333996003246
8168.958743	0.0275545247652	4774.066798	0.0308682593398
8876.227898	0.0277877314908	4986.247544	0.0201878070303
9442.043222	-0.00227408089067	5339.882122	0.013357753281
10290.76621	-0.000266971550613	5622.789784	0.00639319231594
11068.76228	-0.0133752702189	5976.424361	-0.00198267734184
11988.21218	-0.0277072290884	6188.605108	-0.0158658659677
13049.11591	-0.0223972838225	6542.239686	-0.0200325212296
13756.38507	-0.0492240194399	6754.420432	-0.0339774768086
14958.74263	-0.0546283937843	7108.05501	-0.0303459527707
16019.64637	-0.0649072560924	7390.962672	-0.0329988522499
17222.00393	-0.0206936353639	7673.870334	-0.0375244490236
19060.90373	0.0150704717203	7956.777996	-0.0396789151314
19980.35363	0.0326421468178	8310.412574	-0.0255548757768
21324.16503	0.0407171793869	8593.320236	-0.0267728773539
22880.15717	0.0423756799391	8946.954813	-0.00641261206269
24082.51473	0.034322750668	9371.316306	0.0148287910665
25497.05305	0.0294466888913	9654.223969	0.0162583807667
26911.59136	0.0104384868456	10007.85855	0.0313810788319
28467.5835	0.00690152832417	10502.94695	0.0516741963414
30660.11788	-0.00311858242549	11068.76228	0.0612417694694
32003.92927	-0.0141083122967	11493.12377	0.0589237377329
33559.92141	-0.0252420690026	12129.66601	0.0612871964374
35115.91356	-0.0194899596651	12766.20825	0.0548164732436
		13473.47741	0.0451713277454
		14322.20039	0.0452736492448
		15241.65029	0.0371166017836
		16514.73477	0.0248827538082
		17575.63851	0.018337260635
		18707.26916	0.0138378340645
		19768.17289	0.0138735720705
		20687.62279	0.00925390878826
		21819.25344	0.0046281738736
		23092.33792	0.00462929508561
		24294.69548	0.00462954656731
		25426.32613	0.00231479242073
		27053.04519	0.00231481142566
		28467.5835	0.00462962908946
		29811.39489	-2.57576626694e-10
		31155.20629	-0.00231481466887
		32499.01768	-1.26055277327e-10
		34125.73674	-1.2091427859e-10
		35540.27505	-0.00462962957018
