X	Romero2010_5min.txt: acid 5min
-302.5210084	9.4862134343e-05
1008.40336138	0.00105318188601
2319.32773116	0.00555043133784
3630.25210095	0.0135074121343
4941.17647073	0.0247860845953
6252.10084051	0.0391953146307
7563.02521029	0.0564985606903
8873.94958007	0.0764229429681
10184.8739499	0.0986690788705
11495.7983196	0.12292107402
12806.7226894	0.148856118487
14117.6470592	0.176153238967
15428.571429	0.204500881639
16739.4957988	0.233603130301
18050.4201685	0.26318448559
19361.3445383	0.292993233619
20672.2689081	0.322803510586
21983.1932779	0.352416222562
23294.1176477	0.381659008449
24605.0420175	0.410385442881
25915.9663872	0.438473669298
27226.890757	0.465824636429
28537.8151268	0.492360088255
29848.7394966	0.518020431707
31159.6638664	0.5427625806
32470.5882361	0.566557850247
33781.5126059	0.589389956056
35092.4369757	0.611253151488
36403.3613455	0.632150526276
37714.2857153	0.652092474476
39025.2100851	0.671095333419
40336.1344548	0.689180188531
41647.0588246	0.706371834875
42957.9831944	0.722697883697
44268.9075642	0.738188000905
45579.831934	0.752873263895
46890.7563037	0.766785623338
48201.6806735	0.779957457061
49512.6050433	0.792421204074
50823.5294131	0.804209067724
52134.4537829	0.815352778096
53445.3781527	0.825883404803
54756.3025224	0.835831212378
56067.2268922	0.845225551443
57378.151262	0.854094779738
58689.0756318	0.862466207898
60000.0000016	0.870366065615
61310.9243713	0.877819484426
62621.8487411	0.884850493999
63932.7731109	0.891482029207
65243.6974807	0.897735945767
66554.6218505	0.903633042561
67865.5462203	0.909193089056
69176.47059	0.91443485655
70487.3949598	0.919376152155
71798.3193296	0.924033854644
73109.2436994	0.928423951447
74420.1680692	0.932561576213
75731.0924389	0.936461046473
77042.0168087	0.940135901031
78352.9411785	0.9435989368
79663.8655483	0.94686224484
80974.7899181	0.949937245444
82285.7142879	0.952834722132
83596.6386576	0.955564854478
84907.5630274	0.958137249684
86218.4873972	0.960560972894
87529.411767	0.962844576212
88840.3361368	0.964996126431
90151.2605065	0.967023231479
91462.1848763	0.968933065606
92773.1092461	0.970732393346
94084.0336159	0.972427592274
95394.9579857	0.974024674613
96705.8823555	0.975529307713
98016.8067252	0.976946833467
99327.731095	0.978282286684
100638.655465	0.979540412488
101949.579835	0.980725682762
103260.504204	0.981842311705
104571.428574	0.982894270526
105882.352944	0.98388530133
107193.277314	0.984818930226
108504.201683	0.985698479709
109815.126053	0.98652708034
111126.050423	0.987307681776
112436.974793	0.988043063167
113747.899163	0.988735842972
115058.823532	0.989388488215
116369.747902	0.990003323209
117680.672272	0.990582537788
118991.596642	0.991128195068
120302.521012	0.991642238761
121613.445381	0.992126500068
122924.369751	0.992582704184
124235.294121	0.993012476421
125546.218491	0.993417347983
126857.14286	0.993798761409
128168.06723	0.994158075697
129478.9916	0.994496571144
