Sanchez2016_CE.txt: CE X	Sanchez2016_CE.txt: CE Y
7670.185005	0.0154374241386
10069.25024	0.0161723782844
11988.78286	0.0217466724203
13907.38072	0.0187390474576
15825.97858	0.0172333139892
19182.23953	0.00383852143338
22540.37001	0.0143988862708
25897.09834	0.0125305856759
29733.82668	0.0181073322298
31645.41383	-0.05228509245
33570.08763	0.0204272312477
35004.47907	-0.0243034896493
37882.14216	-0.0166656167671
41718.40312	-0.0132691066971
49873.72931	0.0271276064623
53709.52288	0.0221068912623
56105.31646	0.000870772205699
62341.11003	0.0154901849037
67615.96884	0.00631676145316
73852.69718	0.0208873530345
75284.28432	-0.0600452408485
78649.42551	0.020129720359
83927.08861	0.0294837561373
89206.15385	0.0506093715396
92559.14314	-0.00761077001423
97837.74099	0.00323902703685
103592.5998	-0.0274902652899
111751.1977	-0.0119584740543
117508.8608	-0.0188083805935
123268.3934	-0.00753621671824
131428.3934	0.012289770448
136226.5239	0.00196929347038
145821.3827	-0.0369730105066
155419.9805	-0.0385319455573
163099.9805	-0.029534080702
174138.5784	-0.0343701986414
184219.9805	-0.0116126294195
195738.5784	-0.0202260027977
205819.0458	-0.0105865426775
215418.5784	-0.0122298557209
228858.5784	-0.00851874547324
241338.111	-0.011057596772
