X	Zurdo2001_Fig8_pH2-4.txt: pH 2.4
-140.2238985	1.26607363693e-06
440.55240997	1.25037579162e-05
1021.32871844	6.74655662237e-05
1602.10502691	0.000167227475861
2182.88133538	0.00031377607971
2763.65764385	0.000510044931315
3344.43395232	0.000759969074515
3925.21026079	0.0010685584089
4505.98656926	0.00144199078997
5086.76287773	0.0018877259824
5667.5391862	0.00241464176651
6248.31549467	0.00303319362967
6829.09180314	0.00375559953407
7409.86811161	0.00459605121565
7990.64442008	0.00557095329694
8571.42072855	0.0066991911443
9152.19703702	0.00800242780457
9732.97334548	0.00950542944328
10313.749654	0.0112364173817
10894.5259624	0.013227442984
11475.3022709	0.015514779152
12056.0785794	0.0181393189024
12636.8548878	0.0211469672967
13217.6311963	0.0245890077375
13798.4075048	0.0285224172556
14379.1838132	0.0330100979049
14959.9601217	0.0381209828921
15540.7364302	0.0439299669704
16121.5127387	0.0505176016031
16702.2890471	0.0579694875225
17283.0653556	0.0663752921744
17863.8416641	0.0758273192312
18444.6179725	0.0864185644841
19025.394281	0.0982402098387
19606.1705895	0.111378537536
20186.9468979	0.125911291988
20767.7232064	0.141903576833
21348.4995149	0.159403447368
21929.2758233	0.178437436913
22510.0521318	0.199006329626
23090.8284403	0.221081547802
23671.6047488	0.244602543601
24252.3810572	0.269475559748
24833.1573657	0.295574043686
25413.9336742	0.322740866731
25994.7099826	0.350792327813
26575.4862911	0.37952373441
27156.2625996	0.408716181659
27737.038908	0.438144023723
28317.8152165	0.467582470896
28898.591525	0.496814759687
29479.3678335	0.525638424649
30060.1441419	0.553870331228
30640.9204504	0.581350282738
31221.6967589	0.607943166099
31802.4730673	0.633539729611
32383.2493758	0.658056179272
32964.0256843	0.681432834152
33544.8019927	0.703632099257
34125.5783012	0.724636003551
34706.3546097	0.744443520752
35287.1309182	0.763067850081
35867.9072266	0.780533790675
36448.6835351	0.796875302237
37029.4598436	0.812133308685
37610.236152	0.826353772686
38191.0124605	0.839586047092
38771.788769	0.851881493884
39352.5650774	0.863292351252
39933.3413859	0.873870823781
40514.1176944	0.883668368267
41094.8940028	0.892735147481
41675.6703113	0.901119625531
42256.4466198	0.908868280626
42837.2229283	0.916025413704
43417.9992367	0.922633034152
43998.7755452	0.92873080657
44579.5518537	0.93435604506
45160.3281621	0.939543743816
45741.1044706	0.944326634802
46321.8807791	0.948735265044
46902.6570875	0.952798087524
47483.433396	0.956541560939
48064.2097045	0.959990254562
48644.986013	0.963166955329
49225.7623214	0.966092774944
49806.5386299	0.968787255335
50387.3149384	0.971268471266
50968.0912468	0.973553129232
51548.8675553	0.975656662067
52129.6438638	0.977593318885
52710.4201722	0.979376250165
53291.1964807	0.981017587913
53871.9727892	0.982528520905
54452.7490977	0.983919365128
55033.5254061	0.985199629556
55614.3017146	0.986378077442
56195.0780231	0.987462783329
56775.8543315	0.98846118601
57356.63064	0.989380137647
