X	Hasecke2018_Fig2C_450mMNaCl_7uM.txt: 7 uM
4620.320856	3.75374787143e-07
8140.00972311	1.17579952275e-06
11659.6985902	2.44677147043e-06
15179.3874573	4.22685042623e-06
18699.0763244	6.57004233495e-06
22218.7651916	9.5474370142e-06
25738.4540587	1.32493638489e-05
29258.1429258	1.77881306955e-05
32777.8317929	2.33014288457e-05
36297.52066	2.9956507009e-05
39817.2095271	3.79552404661e-05
43336.8983942	4.75402484801e-05
46856.5872613	5.90022445811e-05
50376.2761284	7.26888413065e-05
53895.9649956	8.90150745226e-05
57415.6538627	0.000108475963775
60935.3427298	0.000131661485692
64455.0315969	0.000159274408967
67974.720464	0.000192151523891
71494.4093311	0.000231288898939
75014.0981982	0.000277871914333
78533.7870653	0.00033331096054
82053.4759324	0.000399283851961
85573.1647996	0.00047778619607
89092.8536667	0.000571191180388
92612.5425338	0.000682320498109
96132.2314009	0.000814528432641
99651.920268	0.000971801466213
103171.609135	0.00115887617209
106691.298002	0.0013813785967
110210.986869	0.00164598883793
113730.675736	0.00196063507702
117250.364604	0.00233472191498
120770.053471	0.00277939848551
124289.742338	0.00330787243603
127809.431205	0.00393577644107
131329.120072	0.00468159436757
134848.808939	0.00556715444409
138368.497806	0.00661819664296
141888.186673	0.00786502075099
145407.87554	0.00934321998232
148927.564408	0.0110945020772
152447.253275	0.0131675951087
155966.942142	0.0156192280231
159486.631009	0.018515165465
163006.319876	0.0219312617682
166526.008743	0.0259544791796
170045.69761	0.0306837895989
173565.386477	0.036230846967
177085.075344	0.0427202793943
180604.764212	0.0502894082135
184124.453079	0.0590871597921
187644.141946	0.0692719029338
191163.830813	0.081007931919
194683.51968	0.0944603387654
198203.208547	0.109788097034
201722.897414	0.127135331448
205242.586281	0.146620983211
208762.275148	0.168327393796
212281.964016	0.192288687328
215801.652883	0.218480168459
219321.34175	0.246810176375
222841.030617	0.277115845873
226360.719484	0.309163948965
229880.408351	0.342657415467
233400.097218	0.37724733855
236919.786085	0.412549424219
240439.474952	0.44816314443
243959.16382	0.483691475395
247478.852687	0.518759129105
250998.541554	0.553027583909
254518.230421	0.586205859865
258037.919288	0.618056694146
261557.608155	0.648398395158
265077.297022	0.677103092502
268596.985889	0.704092322988
272116.674756	0.729330925292
275636.363624	0.752820112612
279156.052491	0.774590415583
282675.741358	0.794694988797
286195.430225	0.81320358929
289715.119092	0.830197383291
293234.807959	0.845764624627
296754.496826	0.859997172266
300274.185693	0.872987769264
303793.87456	0.884827983363
307313.563428	0.895606703358
310833.252295	0.905409089431
314352.941162	0.914315885297
317872.630029	0.922403012277
321392.318896	0.929741378169
324912.007763	0.936396845967
328431.69663	0.942430318323
331951.385497	0.947897903041
335471.074364	0.95285113269
338990.763232	0.957337217831
342510.452099	0.961399318487
346030.140966	0.965076822543
349549.829833	0.968405622901
353069.5187	0.971418387701
