Hasecke2018_Fig2C_450mMNaCl_7uM.txt: 7 uM X	Hasecke2018_Fig2C_450mMNaCl_7uM.txt: 7 uM Y
4620.320856	-5.31709507862e-18
15529.41176	-5.31709507862e-18
29647.05882	0.0224719101114
46973.26203	0.0224719101114
58524.06417	0.0112359550557
78417.1123	-5.31709507862e-18
92534.75936	-5.31709507862e-18
104727.2727	0.0112359550557
122695.1872	0.0112359550557
132320.8556	0.0224719101114
141304.8128	0.0337078651634
150930.4813	0.0337078651634
159272.7273	0.0224719101114
167614.9733	0.0337078651634
174673.7968	0.0449438202079
180449.1979	0.0449438202079
188149.7326	0.0449438202079
197775.4011	0.0898876404607
205475.9358	0.134831460676
214459.893	0.191011235936
222802.139	0.280898876404
229860.9626	0.37078651676
240770.0535	0.471910112161
247187.1658	0.539325842802
258737.9679	0.617977528113
268363.6364	0.674157303336
276064.1711	0.730337078558
286331.5508	0.797752808825
297882.3529	0.865168539466
306224.5989	0.8988764046
317133.6898	0.921348314689
326759.3583	0.943820224778
338951.8717	0.966292134867
347294.1176	0.988764044956
353069.5187	1.0
