Daval2010_Fig2.txt: 50 uM X	Daval2010_Fig2.txt: 50 uM Y
241.0041841	1.47320765294e-17
723.0125523	-0.00446032697498
1687.029289	-0.00446032697498
2410.041841	-0.00446032697498
3374.058577	1.47320765294e-17
3856.066946	1.47320765294e-17
4338.075314	0.00446032803654
4820.083682	0.00446032803654
5483.831809	0.0126281314294
5483.831809	0.0215906595958
5645.255437	0.0320469421028
5725.96725	0.0484782440951
5887.390878	0.0589345276636
6048.814505	0.0738720742538
6210.238132	0.0888096219056
6290.949946	0.108228432579
6452.373573	0.123165980231
6613.7972	0.139597282223
6855.932641	0.157522338556
7017.356268	0.178434904631
7178.779896	0.194866206624
7420.915337	0.21727252704
7420.915337	0.233703829032
7501.62715	0.253122640767
7743.762591	0.278516470926
7743.762591	0.296441527259
7905.186218	0.314366584653
8066.609846	0.335279150728
8066.609846	0.360672980887
8389.4571	0.381585546963
8470.168914	0.405485621719
8470.168914	0.424904433454
8631.592541	0.44731075387
8873.727982	0.468223319946
8954.439795	0.492123395764
9115.863423	0.516023471582
9277.28705	0.542911056081
9438.710677	0.577267414407
9680.846118	0.607142508649
9761.557932	0.641498868035
9922.981559	0.672867716618
10245.82881	0.713199094428
10407.25244	0.746061697351
10730.0997	0.784899320821
11295.08239	0.81029315098
12102.20053	0.835686981139
12909.31866	0.865562075381
13797.14861	0.898424679365
14523.55494	0.919337245441
15653.52033	0.93278103769
16864.19753	0.94771858428
17752.02748	0.95966862219
18881.99287	0.965643641675
20011.95826	0.971618660099
20819.0764	0.974606169841
21949.04179	0.982074943667
22675.44811	0.985062452348
23643.98988	0.991037471834
24612.53164	0.997012490257
24935.37889	0.998506245659
25742.49703	0.998506245659
27033.88605	1.00149375434
28809.54595	1.00149375434
30181.64678	1.00149375434
32199.44212	1.00149375434
34297.94927	0.998506245659
36073.60917	1.0
37768.55726	1.0
40512.75892	1.0
43741.23147	1.0
46485.43313	1.0
49633.19386	1.0
53749.49636	1.00597501842
57058.68072	1.0
