X	Sanchez2016_CE.txt: CE
7670.185005	0.0154374241386
10030.4670858	0.0261608974738
12390.7491665	0.0394681786457
14751.0312473	0.0551779504889
17111.313328	0.0730838840337
19471.5954088	0.0929608409608
21831.8774895	0.114571188112
24192.1595703	0.13767092985
26552.4416511	0.162015410212
28912.7237318	0.187364394615
31273.0058126	0.213486403179
33633.2878933	0.240162228438
35993.5699741	0.267187624406
38353.8520548	0.294375198588
40714.1341356	0.321555572052
43074.4162164	0.348577895123
45434.6982971	0.375309818475
47794.9803779	0.401637023061
50155.2624586	0.427462409344
52515.5445394	0.452705038577
54875.8266202	0.477298908187
57236.1087009	0.501191631177
59596.3907817	0.524343076945
61956.6728624	0.546724018942
64316.9549432	0.56831482362
66677.2370239	0.589104205529
69037.5191047	0.609088065295
71397.8011855	0.628268420547
73758.0832662	0.646652434566
76118.365347	0.664251543368
78478.6474277	0.681080678941
80838.9295085	0.697157584214
83199.2115892	0.71250221395
85559.49367	0.727136214912
87919.7757508	0.741082478253
90280.0578315	0.754364757024
92640.3399123	0.767007341821
95000.621993	0.779034787966
97360.9040738	0.790471687989
99721.1861545	0.801342483717
102081.468235	0.811671312735
104441.750316	0.821481884559
106802.032397	0.830797382303
109162.314478	0.839640386135
111522.596558	0.848032815252
113882.878639	0.855995885507
116243.16072	0.863550080176
118603.442801	0.870715131726
120963.724881	0.877510012688
123324.006962	0.883952934046
125684.289043	0.890061349755
128044.571124	0.895851966221
130404.853204	0.901340755729
132765.135285	0.906542972999
135125.417366	0.911473174129
137485.699447	0.916145237341
139845.981527	0.920572385028
142206.263608	0.924767206678
144566.545689	0.928741682338
146926.82777	0.932507206317
149287.10985	0.936074610921
151647.391931	0.939454190005
154007.674012	0.942655722212
156367.956093	0.945688493757
158728.238173	0.948561320694
161088.520254	0.951282570556
163448.802335	0.95386018335
165809.084416	0.956301691846
168169.366497	0.958614241146
170529.648577	0.960804607521
172889.930658	0.962879216496
175250.212739	0.964844160202
177610.49482	0.966705213989
179970.7769	0.96846785232
182331.058981	0.970137263948
184691.341062	0.971718366417
187051.623143	0.973215819875
189411.905223	0.974634040247
191772.187304	0.975977211779
194132.469385	0.977249298975
196492.751466	0.97845405795
198853.033546	0.979595047229
201213.315627	0.980675638007
203573.597708	0.981699023899
205933.879789	0.982668230195
208294.161869	0.983586122653
210654.44395	0.98445541584
213014.726031	0.985278681051
215375.008112	0.986058353821
217735.290192	0.98679674105
220095.572273	0.987496027759
222455.854354	0.988158283503
224816.136435	0.988785468441
227176.418515	0.989379439102
229536.700596	0.989941953842
231896.982677	0.990474678018
234257.264758	0.990979188897
236617.546838	0.991456980302
238977.828919	0.991909467016
241338.111	0.992337988958
