Pilkington2017_Fig1A.txt: 50 uM X	Pilkington2017_Fig1A.txt: 50 uM Y
338.4716733	-5.49495976147e-17
1145.454545	-5.49495976147e-17
2298.28722	0.00843881856361
3451.119895	0.0126582278461
4488.669302	0.0126582278461
5756.785244	0.0168776371287
7255.467721	0.0337552742588
8177.73386	0.0337552742588
9215.283267	0.0421940928238
10137.54941	0.0548523206714
10944.53228	0.067510548519
12097.36495	0.0886075949316
13019.63109	0.0928270042141
13826.61397	0.105485232062
14633.59684	0.126582278474
15440.57971	0.139240506336
16593.41238	0.151898734241
17054.54545	0.168776371256
17630.96179	0.194092827067
18553.22793	0.206751054828
19244.92754	0.240506329146
19936.62714	0.270042194066
20628.32675	0.291139240478
21320.02635	0.324894514796
22011.72596	0.350210970462
22818.70883	0.375527426129
23395.12516	0.4135021097
24086.82477	0.447257384018
24663.24111	0.472573839684
25470.22398	0.506329113858
26046.64032	0.531645569669
26507.77339	0.556962025335
27430.03953	0.594936708906
28352.30567	0.632911392334
29044.00527	0.666666666652
29850.98814	0.696202531716
30542.68775	0.721518987382
31349.67062	0.746835443049
32271.93676	0.772151898715
32963.63636	0.797468354381
33655.33597	0.810126582286
34577.60211	0.831223628699
35269.30171	0.843881856604
36076.28458	0.856540084365
37113.83399	0.877637130778
38266.66667	0.890295358683
39188.93281	0.907172995842
40226.48221	0.919831223603
41264.03162	0.932489451508
42186.29776	0.94514767927
43223.84717	0.966244725682
44030.83004	0.966244725682
44953.09618	0.974683544334
45875.36232	0.987341772095
46797.62846	1.0
47835.17787	1.00843881851
48872.72727	1.01265822791
50140.84321	1.0
