Kakkar2016_Fig1_10uM.txt: 10 uM X	Kakkar2016_Fig1_10uM.txt: 10 uM Y	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM X	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM Y	Kakkar2016_Fig1_16uM.txt: 16 uM X	Kakkar2016_Fig1_16uM.txt: 16 uM Y	Kakkar2016_Fig1_20uM.txt: 20 uM X	Kakkar2016_Fig1_20uM.txt: 20 uM Y
1454.545455	7.14996292587e-18	727.2727273	4.24159454642e-17	969.6969697	-3.48229675583e-17	2666.666664	2.81713895511e-17
2909.090909	7.14996292587e-18	2909.090909	0.00375939859965	2666.666667	0.00740740760815	4848.48486	0.0149812758792
5333.333333	7.14996292587e-18	4606.060606	0.00375939859965	4363.636364	0.0185185180167	6303.0303	0.0449438174877
7030.30303	0.00380228147461	6545.454545	0.0150375933798	5818.181818	0.033333333233	7030.30302	0.0636704047243
8727.272727	0.00380228147461	7515.151515	0.0187969919795	7030.30303	0.0481481484493	7757.57574	0.0861423236179
10424.24242	0.015209124868	8727.272727	0.0300751877784	8484.848485	0.0592592588578	8242.424244	0.0936329564826
11393.93939	0.0190114063426	9454.545455	0.0338345863781	8969.69697	0.0777777778781	8484.848496	0.112359543719
13333.33333	0.0304182507664	10666.66667	0.0488721807767	10181.81818	0.107407407307	8484.848496	0.116104865226
14303.0303	0.0380228137156	11636.36364	0.0601503755568	11151.51515	0.125925926327	8969.696964	0.127340819598
15757.57576	0.049429657109	12363.63636	0.0714285713558	11636.36364	0.151851851952	8969.696964	0.134831462613
16727.27273	0.0570342200582	13333.33333	0.0864661657544	12363.63636	0.177777777577	9212.121216	0.153558049849
17454.54545	0.0722433459567	13575.75758	0.0939849619349	13090.90909	0.196296296597	9212.121216	0.153558049849
18424.24242	0.0874524708247	14303.0303	0.109022556334	13090.90909	0.237037037439	9454.545468	0.179775280101
19393.93939	0.102661596723	14545.45455	0.120300752132	14060.60606	0.266666666867	9696.969684	0.19475655598
20121.21212	0.121673004096	15272.72727	0.142857142712	14060.60606	0.285185184884	10181.81819	0.209737821709
20848.48485	0.129277566015	16484.84848	0.15789473711	14060.60606	0.314814814313	10666.66666	0.232209740603
21575.75758	0.148288973388	16484.84848	0.16917293189	15272.72727	0.337037037137	10666.66666	0.250936327839
22303.0303	0.167300379731	16969.69697	0.187969924889	15515.15152	0.359259258958	10909.09091	0.262172282211
22787.87879	0.17490494268	17454.54545	0.199248120688	16242.42424	0.385185185587	11151.51516	0.284644190955
23757.57576	0.201520911972	18424.24242	0.225563909866	16242.42424	0.407407407407	11151.51516	0.29213483397
24000.0	0.212927756395	18424.24242	0.240601503246	16727.27273	0.429629629228	11393.93938	0.329588008443
24727.27273	0.231939163768	18666.66667	0.266917293444	17212.12121	0.451851852053	11636.36363	0.307116099699
