Kakkar2016_Fig1_10uM.txt: 10 uM X	Kakkar2016_Fig1_10uM.txt: 10 uM Y	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM X	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM Y	Kakkar2016_Fig1_16uM.txt: 16 uM X	Kakkar2016_Fig1_16uM.txt: 16 uM Y	Kakkar2016_Fig1_20uM.txt: 20 uM X	Kakkar2016_Fig1_20uM.txt: 20 uM Y
1454.545455	0.0020044115827	727.2727273	0.000825544888704	969.6969697	0.00229973759512	2666.666664	0.0267271530982
2909.090909	0.00797751677998	2909.090909	0.00931388272877	2666.666667	0.00976748394939	4848.48486	0.0690331381767
5333.333333	0.0263971893464	4606.060606	0.0284828676857	4363.636364	0.0263869602801	6303.0303	0.0904469178609
7030.30303	0.0413295888687	6545.454545	0.0483270410249	5818.181818	0.0442275219211	7030.30302	0.100209055925
8727.272727	0.0643520293259	7515.151515	0.0633437308859	7030.30303	0.0618023420149	7757.57574	0.107575142649
10424.24242	0.0797102943724	8727.272727	0.07809891257	8484.848485	0.0944071870192	8242.424244	0.120542857306
11393.93939	0.092655615334	9454.545455	0.0911473105448	8969.69697	0.0913793080635	8484.848496	0.112176034566
13333.33333	0.117372329914	10666.66667	0.105774371678	10181.81818	0.101941093747	8484.848496	0.108430713059
14303.0303	0.128915129874	11636.36364	0.119445043053	11151.51515	0.116636886146	8969.696964	0.118113358331
15757.57576	0.147272459268	12363.63636	0.127435778726	11636.36364	0.107533073008	8969.696964	0.110622715316
16727.27273	0.160050379632	13333.33333	0.138655107081	12363.63636	0.106979360241	9212.121216	0.102431251588
17454.54545	0.160339098671	13575.75758	0.13777936261	13090.90909	0.113873809795	9212.121216	0.102431251588
18424.24242	0.165998108264	14303.0303	0.142809727555	13090.90909	0.0731330689532	9454.545468	0.0867845482138
19393.93939	0.171807893649	14545.45455	0.138257106435	14060.60606	0.0772301358559	9696.969684	0.0823983573073
20121.21212	0.168608683675	15272.72727	0.135946027612	14060.60606	0.0587116178389	10181.81819	0.0886396889242
20848.48485	0.176820504756	16484.84848	0.154719603497	14060.60606	0.0290819884099	10666.66666	0.0873691503689
21575.75758	0.173598707224	16484.84848	0.143441408717	15272.72727	0.048399014118	10666.66666	0.0686425631329
22303.0303	0.170321323511	16969.69697	0.138135511101	15515.15152	0.0343669553028	10909.09091	0.0679768043335
22787.87879	0.173161964868	17454.54545	0.140302339014	16242.42424	0.0327224999294	11151.51516	0.0560436078276
23757.57576	0.167297457629	18424.24242	0.140673778351	16242.42424	0.0105002781094	11151.51516	0.0485529648126
24000.0	0.161044557199	18424.24242	0.125636184971	16727.27273	0.00419932203658	11393.93938	0.0215991911906
24727.27273	0.157400926934	18666.66667	0.105939088198	17212.12121	-0.00233584754325	11636.36363	0.0545237903848
24969.69697	0.147280591974	19151.51515	0.107822587888	18181.81818	0.00234937524938	11636.36363	0.0208159171188
25454.54545	0.142194181292	19878.78788	0.104796377677	18181.81818	-0.0161691437716	11636.36363	0.0020893298828
25939.39394	0.133228024663	20363.63636	0.106380230371	18909.09091	-0.0198527845067	12121.21213	0.00784578193903
26666.66667	0.129128712094	21090.90909	0.0840576055021	19393.93939	-0.0201987335145	12363.63635	0.00313680517304
