X	Yang2017_5uM.txt: 5uM	Yang2017_20uM.txt: 20uM
318.2711198	0.000637002456058	0.00145981419373
674.048937277	0.00285332565828	0.00652771797698
1029.82675475	0.00664515501387	0.015157857654
1385.60457223	0.0119908989506	0.0272384909627
1741.38238971	0.0188602792402	0.0426150999664
2097.16020718	0.0272146661734	0.0610942333352
2452.93802466	0.0370075022928	0.0824482155251
2808.71584214	0.0481848072035	0.106420540069
3164.49365961	0.0606857546783	0.13273174476
3520.27147709	0.0744433121927	0.161085557899
3876.04929457	0.0893849321822	0.191175106808
4231.82711204	0.105433283737	0.222688991658
4587.60492952	0.122507013128	0.255317047783
4943.382747	0.140521521499	0.288755646311
5299.16056447	0.159389748259	0.322712413908
5654.93838195	0.179022949119	0.356910285654
6010.71619943	0.199331458364	0.391090838475
6366.49401691	0.220225425774	0.425016884334
6722.27183438	0.241615519544	0.458474331156
7078.04965186	0.263413587675	0.49127334411
7433.82746934	0.285533271434	0.523248859753
7789.60528681	0.307890565739	0.554260520446
8145.38310429	0.330404322494	0.58419210634
8501.16092177	0.352996694166	0.612950547536
8856.93873924	0.375593516035	0.640464600228
9212.71655672	0.39812462665	0.666683268356
9568.4943742	0.420524127058	0.691574047397
9924.27219167	0.442730580261	0.71512105989
10280.0500091	0.464687153199	0.737323144091
10635.8278266	0.486341704189	0.758191948109
10991.6056441	0.507646819359	0.777750072732
11347.3834616	0.528559802043	0.796029297222
11703.1612791	0.549042619395	0.813068913915
12058.9390965	0.569061810754	0.828914189887
12414.716914	0.588588362342	0.843614967167
12770.4947315	0.607597552922	0.857224407257
13126.272549	0.626068774985	0.869797880919
13482.0503664	0.643985335864	0.881392000344
13837.8281839	0.661334243011	0.892063787869
14193.6060014	0.678105977407	0.901869973208
14549.3838189	0.694294258801	0.910866409662
14905.1616363	0.709895806166	0.919107598893
15260.9394538	0.724910096426	0.926646313352
15616.7172713	0.739339124197	0.933533305485
15972.4950888	0.753187164922	0.939817093017
16328.2729063	0.766460543469	0.945543810149
16684.0507237	0.77916740994	0.950757115122
17039.8285412	0.791317524139	0.955498145324
17395.6063587	0.802922049844	0.959805511939
17751.3841762	0.813993359795	0.963715326944
18107.1619936	0.824544852047	0.967261256063
18462.9398111	0.834590778113	0.970474592083
18818.7176286	0.844146083156	0.97338434367
19174.4954461	0.853226258292	0.976017335518
19530.2732635	0.861847204925	0.978398316297
19886.051081	0.870025110924	0.980550071413
20241.8288985	0.877776338313	0.982493538151
20597.606716	0.885117322098	0.984247921166
20953.3845335	0.892064479756	0.985830806726
21309.1623509	0.898634130878	0.987258274424
21664.9401684	0.904842426391	0.988545005394
22020.7179859	0.910705286806	0.989704386276
22376.4958034	0.916238348868	0.990748608441
22732.2736208	0.921456920025	0.9916887621
23088.0514383	0.926375940097	0.992534925117
23443.8292558	0.931009949585	0.993296246427
23799.6070733	0.935373064002	0.993981024071
24155.3848907	0.939478953722	0.994596777929
24511.1627082	0.943340828763	0.995150317302
24866.9405257	0.946971428045	0.995647803497
25222.7183432	0.950383012605	0.996094807664
25578.4961607	0.953587362354	0.996496364089
25934.2739781	0.956595775924	0.996857019209
26290.0517956	0.959419073248	0.997180876595
26645.8296131	0.962067600481	0.997471638164
27001.6074306	0.964551236954	0.99773264187
27357.385248	0.966879403849	0.997966896119
27713.1630655	0.969061074317	0.998177111161
28068.940883	0.971104784788	0.99836572767
28424.7187005	0.973018647259	0.998534942748
28780.4965179	0.974810362337	0.998686733547
29136.2743354	0.976487232877	0.998822878717
29492.0521529	0.978056178033	0.998944977852
29847.8299704	0.979523747605	0.999054469112
30203.6077878	0.980896136532	0.999152645171
30559.3856053	0.982179199432	0.999240667655
30915.1634228	0.983378465108	0.99931958018
31270.9412403	0.984499150912	0.999390320145
31626.7190578	0.985546176918	0.999453729371
31982.4968752	0.986524179842	0.999510563703
32338.2746927	0.987437526653	0.999561501674
32694.0525102	0.988290327844	0.999607152311
33049.8303277	0.989086450324	0.999648062171
33405.6081451	0.989829529908	0.999684721681
33761.3859626	0.990522983393	0.999717570838
34117.1637801	0.991170020192	0.999747004349
34472.9415976	0.991773653532	0.999773376252
34828.719415	0.9923367112	0.999797004067
35184.4972325	0.992861845842	0.999818172537
35540.27505	0.993351544815	0.999837136986
