X	Yang2017_5uM.txt: 5uM	Yang2017_20uM.txt: 20uM
318.2711198	0.000460574773931	0.000716758688906
674.048937277	0.00205779627518	0.00321755169093
1029.82675475	0.00478521771566	0.00753635958979
1385.60457223	0.00863061566641	0.0137241598309
1741.38238971	0.0135822687394	0.0218573465239
2097.16020718	0.0196287851555	0.0320357445709
2452.93802466	0.0267589025069	0.0443799852067
2808.71584214	0.0349612613368	0.0590279953393
3164.49365961	0.0442241542911	0.0761303174474
3520.27147709	0.0545352528105	0.0958439554147
3876.04929457	0.0658813136317	0.118324445518
4231.82711204	0.078247867744	0.143715895592
4587.60492952	0.0916188949131	0.172138837225
4943.382747	0.105976487417	0.203675915104
5299.16056447	0.121300507243	0.238355711298
5654.93838195	0.137568241658	0.276135378066
6010.71619943	0.154754062748	0.316883220022
6366.49401691	0.172829097242	0.360362885124
6722.27183438	0.191760913645	0.406221314526
7078.04965186	0.211513234329	0.453982941837
7433.82746934	0.232045680839	0.503052668175
7789.60528681	0.253313561104	0.55272971301
8145.38310429	0.275267707521	0.602233443468
8501.16092177	0.297854374949	0.650740721501
8856.93873924	0.321015207442	0.697432354411
9212.71655672	0.344687282045	0.741544251748
9568.4943742	0.368803237088	0.782417374538
9924.27219167	0.393291491197	0.819540004773
10280.0500091	0.418076557595	0.85257657859
10635.8278266	0.443079456199	0.881379296917
10991.6056441	0.468218223679	0.905981552002
11347.3834616	0.493408518831	0.926575205404
11703.1612791	0.518564317694	0.943476182922
12058.9390965	0.543598689664	0.957084169075
12414.716914	0.568424642654	0.967842205993
12770.4947315	0.592956022303	0.976200927336
13126.272549	0.617108447366	0.982590442347
13482.0503664	0.640800261023	0.987401048642
13837.8281839	0.663953475996	0.990972411359
14193.6060014	0.686494690218	0.99358982475
14549.3838189	0.708355949509	0.995485701638
14905.1616363	0.729475534304	0.996844413553
15260.9394538	0.749798649009	0.997808869145
15616.7172713	0.769277995029	0.998487613582
15972.4950888	0.787874211797	0.998961638827
16328.2729063	0.805556174151	0.999290443832
16684.0507237	0.822301138948	0.999517146131
17039.8285412	0.838094738684	0.999672621413
17395.6063587	0.852930824866	0.999778749846
17751.3841762	0.866811168666	0.999850896366
18107.1619936	0.879745030851	0.999899765392
18462.9398111	0.891748616758	0.999932763055
18818.7176286	0.902844435185	0.999954982737
19174.4954461	0.913060582201	0.999969908993
19530.2732635	0.922429972099	0.999979914917
19886.051081	0.930989537967	0.999986610294
20241.8288985	0.938779423705	0.999991083385
20597.606716	0.945842187826	0.999994067708
20953.3845335	0.952222037274	0.999996056402
21309.1623509	0.957964106808	0.999997380265
21664.9401684	0.963113796542	0.999998260768
22020.7179859	0.967716177097	0.999998845939
22376.4958034	0.971815468638	0.999999234577
22732.2736208	0.975454597138	0.999999492539
23088.0514383	0.978674828437	0.999999663677
23443.8292558	0.981515478306	0.999999777166
23799.6070733	0.984013694752	0.999999852397
24155.3848907	0.986204307235	0.999999902251
24511.1627082	0.988119736388	0.999999935278
24866.9405257	0.98978995706	0.999999957154
25222.7183432	0.991242507222	0.999999971639
25578.4961607	0.992502535194	0.99999998123
25934.2739781	0.993592877894	0.999999987579
26290.0517956	0.994534163269	0.999999991781
26645.8296131	0.9953449306	0.999999994562
27001.6074306	0.996041763086	0.999999996402
27357.385248	0.996639427813	0.99999999762
27713.1630655	0.997151018961	0.999999998425
28068.940883	0.997588100804	0.999999998958
28424.7187005	0.997960847755	0.999999999311
28780.4965179	0.998278179311	0.999999999544
29136.2743354	0.998547888308	0.999999999699
29492.0521529	0.998776761386	0.999999999801
29847.8299704	0.998970690973	0.999999999868
30203.6077878	0.999134778422	0.999999999913
30559.3856053	0.999273428233	0.999999999942
30915.1634228	0.999390433489	0.999999999962
31270.9412403	0.999489052816	0.999999999975
31626.7190578	0.999572079275	0.999999999983
31982.4968752	0.999641901702	0.999999999989
32338.2746927	0.999700559037	0.999999999993
32694.0525102	0.999749788214	0.999999999995
33049.8303277	0.999791066205	0.999999999997
33405.6081451	0.999825646765	0.999999999998
33761.3859626	0.999854592448	0.999999999999
34117.1637801	0.999878802386	0.999999999999
34472.9415976	0.999899036326	0.999999999999
34828.719415	0.999915935368	1.0
35184.4972325	0.999930039798	1.0
35540.27505	0.999941804395	1.0
