Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM Y
0.0	-4.37606112824e-17
106.2730627	0.00221486314423
398.5239852	0.0283609904704
637.6383764	0.0599132011633
743.9114391	0.0370736337827
850.1845018	0.0342294356626
983.0258303	0.0324571479411
1062.730627	0.0137384645714
1195.571956	0.00802737936073
1275.276753	-0.00970428451153
1381.549815	-0.00847031131597
1487.822878	-0.0131450302145
1594.095941	-0.0177376923141
1700.369004	-0.0223762107931
1806.642066	-0.0394451879057
1912.915129	-0.0506327140819
2045.756458	-0.0497615499386
2178.597786	-0.0434210421348
2338.00738	-0.0196679495048
2470.848708	-0.0151597177603
2603.690037	-0.036148979239
2736.531365	-0.0826857010071
2869.372694	-0.0750322887958
3081.918819	-0.0662247149978
3214.760148	0.0184241180177
3294.464945	0.093243589439
3453.874539	0.0883216402062
3666.420664	0.120318413984
3825.830258	0.093508555725
4011.808118	0.105436842376
4091.512915	0.0293267468189
4171.217712	0.0510651036245
4304.059041	0.0599824284956
4410.332103	0.0652585277528
4569.741697	0.0690953935048
4702.583026	0.0386792396384
4808.856089	0.0174737147075
4941.697417	-0.00816231351644
5101.107011	-0.0324881230627
5233.948339	-0.0657635325291
5499.630996	-0.054393265824
5685.608856	-0.0680394937919
5845.01845	-0.0595108821347
6004.428044	-0.00872452682126
6216.97417	-0.0483735881274
6402.95203	-0.040971468633
6509.225092	-0.0554831586216
6615.498155	-0.0640849819499
6774.907749	-0.0467053484613
6907.749077	-0.0427923822108
7120.295203	-0.0371268171252
7226.568266	-0.0529573931388
