X	Hasecke2018_Fig2C_450mMNaCl_70uM.txt: 70 uM
2053.475936	1.4395592477e-06
5566.682872	1.06152578143e-05
9079.889808	2.84303325744e-05
12593.096744	5.52279419883e-05
16106.30368	9.15249556538e-05
19619.510616	0.000138021779588
23132.717552	0.000195615682767
26645.924488	0.000265417863141
30159.131424	0.000348774557723
33672.33836	0.000447292571605
37185.545296	0.000562869675637
40698.752232	0.000697730402646
44211.959168	0.000854467857897
47725.166104	0.00103609225141
51238.37304	0.00124608695744
54751.579976	0.00148847300979
58264.786912	0.00176788304882
61777.993848	0.00208964584633
65291.200784	0.00245988264305
68804.40772	0.00288561663754
72317.614656	0.00337489705654
75830.821592	0.00393693930736
79344.028528	0.00458228274851
82857.235464	0.00532296759997
86370.4424	0.00617273242566
89883.649336	0.00714723342822
93396.856272	0.0082642864644
96910.063208	0.00954413216808
100423.270144	0.0110097238021
103936.47708	0.0126870363755
107449.684016	0.0146053940811
110962.890952	0.0167978111268
114476.097888	0.0193013384629
117989.304824	0.0221574056261
121502.51176	0.0254121428501
125015.718696	0.0291166636622
128528.925632	0.0333272823855
132042.132568	0.0381056343958
135555.339504	0.0435186598755
139068.54644	0.0496384046101
142581.753376	0.056541584824
146094.960312	0.0643088582089
149608.167248	0.0730237416208
153121.374184	0.0827711192268
156634.58112	0.0936352952498
160147.788056	0.105697564993
163660.994992	0.11903330825
167174.201928	0.133708651274
170687.408864	0.149776796255
174200.6158	0.167274177454
177713.822736	0.18621666457
181227.029672	0.206596087541
184740.236608	0.228377391891
188253.443544	0.251496738542
191766.65048	0.275860828076
195279.857416	0.301347653055
198793.064352	0.327808767353
202306.271288	0.35507302098
205819.478224	0.382951562063
209332.68516	0.411243777466
212845.892096	0.439743751027
216359.099032	0.468246778295
219872.305968	0.496555493486
223385.512904	0.524485232102
226898.71984	0.551868356703
230411.926776	0.57855739464
233925.133712	0.604426955949
237438.340648	0.629374501758
240951.547584	0.653320109086
244464.75452	0.676205423332
247977.961456	0.697992007207
251491.168392	0.718659289429
255004.375328	0.73820229514
258517.582264	0.756629309402
262030.7892	0.773959591141
265543.996136	0.790221221725
269057.203072	0.80544914282
272570.410008	0.819683413597
276083.616944	0.832967698246
279596.82388	0.845347980729
283110.030816	0.856871494199
286623.237752	0.867585846626
290136.444688	0.87753832117
293649.651624	0.886775328841
297162.85856	0.895341991446
300676.065496	0.903281834207
304189.272432	0.910636569307
307702.479368	0.917445953744
311215.686304	0.923747707071
314728.89324	0.929577476673
318242.100176	0.93496884017
321755.307112	0.939953336288
325268.514048	0.944560517053
328781.720984	0.948818015492
332294.92792	0.952751624156
335808.134856	0.956385380714
339321.341792	0.959741657661
342834.548728	0.962841253836
346347.755664	0.965703485981
349860.9626	0.968346278991
