Yang2017_5uM.txt: 5uM X	Yang2017_5uM.txt: 5uM Y
318.2711198	0.000208949691744
1096.267191	0.00249636554935
2015.717092	0.00868658267351
3005.89391	0.0203768684117
4278.978389	0.0341381362605
5198.428291	0.0332439436162
6117.878193	0.0252279290929
6825.147348	-0.000690481023486
7532.416503	0.00879206183602
8168.958743	-0.0141411457998
8876.227898	-0.00358929673038
9442.043222	-0.023362498811
10290.76621	-0.00418818042454
11068.76228	-0.00179065390996
11988.21218	-0.000755623827219
13049.11591	0.0157929315463
13756.38507	-0.0078882192805
14958.74263	-0.0150202465178
16019.64637	-0.0320956712649
17222.00393	0.00163130047951
19060.90373	0.0218131558539
19980.35363	0.0333880236143
21324.16503	0.0354657512783
22880.15717	0.0338410779838
24082.51473	0.025206327279
25497.05305	0.0209414141028
26911.59136	0.00321515100519
28467.5835	0.00126864920905
30660.11788	-0.00678929528208
32003.92927	-0.0168501568497
33559.92141	-0.0271626286843
35115.91356	-0.0208171444205
