Nielsen2001_Fig6_344uMtotal_0-05pcseeds_43deg.txt: "344 uM total, 0.05% seeds" X	Nielsen2001_Fig6_344uMtotal_0-05pcseeds_43deg.txt: "344 uM total, 0.05% seeds" Y	Nielsen2001_Fig6_344uMtotal_0-1pcseeds_43deg.txt: "344 uM total, 0.1% seeds" X	Nielsen2001_Fig6_344uMtotal_0-1pcseeds_43deg.txt: "344 uM total, 0.1% seeds" Y	Nielsen2001_Fig6_344uMtotal_noseeds_43deg.txt: "344 uM total, no seeds" X	Nielsen2001_Fig6_344uMtotal_noseeds_43deg.txt: "344 uM total, no seeds" Y
47.13105157	0.000748268136808	0.0	-9.99000999035e-07	1779.484581	3.69069459518e-09
920.7798124	-0.00379240977943	1507.810471	-0.00250494412957	3368.52906	0.000118438877989
1644.222295	0.00643411651758	2245.047408	-0.0150607311292	5103.181665	-0.00310602089954
2666.927796	-0.00100037615664	3578.511306	-0.03706804794	6548.917093	-0.00635200112088
3400.71612	-0.00947677694812	4487.79574	-0.0891408985509	7992.353445	-0.00289061405099
4579.375588	-0.0205447194734	5090.919928	-0.105729487282	9148.022156	-0.00280440570188
5337.304206	-0.0718613463091	6136.616186	-0.0906347020392	10448.14946	-0.0027073546953
6237.392337	-0.0926702582424	7034.405242	-0.0690370427783	12470.5697	-0.00255610297385
7273.892293	-0.0591008703117	7933.343835	-0.0479816434469	14494.13949	-0.00575772407444
7727.959741	-0.0641908204307	8973.292404	-0.0100191169424	15794.26679	-0.00565905077728
8918.114588	-0.0129597066598	9716.27703	0.00319232564512	17094.39409	-0.00555893831029
9671.445054	-0.00558063004523	10599.12209	0.0249942683858	18827.89715	-0.00542107880849
11582.74331	0.0953668643803	11334.05995	0.0308876901821	20560.25068	-0.00191912234417
12049.45567	0.0380725940232	12492.02774	0.0679550397326	22582.67093	-0.00171541543522
12504.67266	0.00623209445337	13810.54765	0.043050133003	24027.25682	-0.0015257277354
13394.41495	-0.0152351582528	14394.12969	0.0338724463026	26050.8266	-0.00447087146444
14556.98089	-0.000470538115077	15702.30376	0.0205788504419	28362.16403	-0.0034992771996
16149.47398	0.0128306550954	17004.73014	0.0184827037174	30385.73381	-0.00484513283541
17597.50848	0.0121590676446	18449.31602	0.020676894099	32265.99454	-0.00725015173316
19624.52688	0.00418783826272	21054.16878	0.00908057198092	33715.17858	-0.013848800111
21649.2462	-0.000652954168828	22791.12046	-0.000318289508494	35167.81124	-0.0244026137163
23527.20786	-0.000163460547626	24381.31448	-0.00338021490725	35900.45002	-0.0442495027766
		25824.75083	-1.52186534222e-05	36923.15552	-0.0567943358897
				37655.79431	-0.0655107796488
				38394.18078	-0.0836216431113
				38982.36098	-0.0844843410429
				39573.98979	-0.0886043933611
				40311.22673	-0.0768136613424
				40902.85554	-0.0638873157065
				41359.22206	-0.0848055367499
				42104.50576	-0.068218021359
				43139.85618	-0.0120231118244
				44018.10309	0.0613468553812
				44466.42285	0.0688127675044
				45200.21117	0.110353466913
				46522.17969	0.149178443216
				47254.81848	0.157876144844
				47990.90588	0.145960664336
				49161.51858	0.130882093487
				50329.83221	0.10929662796
				51347.93956	0.0963637006887
				52656.11363	0.0776475562276
				53965.43723	0.0530426200979
				54849.43183	0.00352890858161
				56298.61587	-0.00918325317935
				58324.48473	-0.0187993014261
				61507.17184	-0.0318757604113
