Nielsen2001_Fig6_344uMtotal_0-05pcseeds_43deg.txt: "344 uM total, 0.05% seeds" X	Nielsen2001_Fig6_344uMtotal_0-05pcseeds_43deg.txt: "344 uM total, 0.05% seeds" Y	Nielsen2001_Fig6_344uMtotal_0-1pcseeds_43deg.txt: "344 uM total, 0.1% seeds" X	Nielsen2001_Fig6_344uMtotal_0-1pcseeds_43deg.txt: "344 uM total, 0.1% seeds" Y	Nielsen2001_Fig6_344uMtotal_noseeds_43deg.txt: "344 uM total, no seeds" X	Nielsen2001_Fig6_344uMtotal_noseeds_43deg.txt: "344 uM total, no seeds" Y
47.13105157	0.0005	0.0	0.001	1779.484581	4.36094823558e-17
920.7798124	0.0192692432763	1507.810471	0.0527090754339	3368.52906	-0.000118428119404
1644.222295	0.0223571519729	2245.047408	0.0947636409793	5103.181665	0.00310604819537
2666.927796	0.0536694491703	3578.511306	0.188600068115	6548.917093	0.0063520566656
3400.71612	0.0850018944426	4487.79574	0.308379416508	7992.353445	0.00289072411202
4579.375588	0.147686936612	5090.919928	0.379595072051	9148.022156	0.00280459422581
5337.304206	0.244923305293	6136.616186	0.476691261763	10448.14946	0.00270769826187
6237.392337	0.335873034479	7034.405242	0.564080951125	12470.5697	0.00255697190927
7273.892293	0.404844716144	7933.343835	0.654709606146	14494.13949	0.00575991606858
7727.959741	0.461303567774	8973.292404	0.735610966343	15794.26679	0.00566302010464
8918.114588	0.555371429544	9716.27703	0.793860361403	17094.39409	0.0055661241407
9671.445054	0.640054669675	10599.12209	0.83914349476	18827.89715	0.00543692994356
11582.74331	0.730933876457	11334.05995	0.874720128987	20560.25068	0.00195406523452
12049.45567	0.821913830713	12492.02774	0.8811148763	22582.67093	0.00180333761756
12504.67266	0.881510964186	13810.54765	0.932844748651	24027.25682	0.00169567557589
13394.41495	0.944216155613	14394.12969	0.948997985553	26050.8266	0.0048986197352
14556.98089	0.962965249631	15702.30376	0.971577164533	28362.16403	0.00472636122714
16149.47398	0.972269273054	17004.73014	0.977961513998	30385.73381	0.00792930412209
17597.50848	0.981583372289	18449.31602	0.977857534297	32265.99454	0.014496684871
19624.52688	0.993995453666	21054.16878	0.990626234448	33715.17858	0.0278037061414
21649.2462	1.00013097136	22791.12046	1.00021835725	35167.81124	0.0511717389474
23527.20786	1.0	24381.31448	1.00334294536	35900.45002	0.0813009444303
		25824.75083	1.0	36923.15552	0.114762287005
				37655.79431	0.144891492488
				38394.18078	0.19178905053
				38982.36098	0.221929022091
				39573.98979	0.262130006452
				40311.22673	0.305673893982
				40902.85554	0.345874877079
				41359.22206	0.412915991612
				42104.50576	0.479935575255
				43139.85618	0.550287295989
				44018.10309	0.583759405906
				44466.42285	0.627324825592
				45200.21117	0.660807701587
				46522.17969	0.724430549143
				47254.81848	0.754559753361
				47990.90588	0.794749971644
				49161.51858	0.838261559677
				50329.83221	0.87506580795
				51347.93956	0.895112468478
				52656.11363	0.918491267362
				53965.43723	0.945223738022
				54849.43183	0.995464200498
				56298.61587	1.00877122177
				58324.48473	1.01868150695
				61507.17184	1.03185933276
