X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	Kar2011_Fig3B_22uM.txt: 22 uM Q37	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37
7701.716814	0.000100620801081	0.000154352338325	0.000252450757206	0.000278366871964	0.000527230209294	0.00126770767554	0.00163984459271	0.00185153156987	0.00526182355163	0.0102037332845
17095.3813866	0.00049626484132	0.000761482699766	0.00124593989522	0.00137396981892	0.002604090576	0.0062685328214	0.00811131442864	0.00915969814597	0.0260321520585	0.0503220744101
26489.0459592	0.00119465350084	0.00183452122229	0.00300505222097	0.00331471045444	0.00629522457281	0.0152111625983	0.0197078432495	0.0222685499852	0.0635225256497	0.122330348988
35882.7105318	0.00220158858985	0.00338499835892	0.00555501960895	0.00613003610798	0.0116805119264	0.0283935097222	0.0368587326021	0.0416855745219	0.11936187897	0.227309325157
45276.3751043	0.00352581434047	0.00543029178447	0.00893382207705	0.00986425008057	0.0188792963498	0.0462454839699	0.0601691709113	0.0681155258853	0.194893011333	0.361520694937
54670.0396769	0.00517903635386	0.00799365023593	0.0131921425729	0.0145764210104	0.0280488383058	0.0693008587304	0.0903590373545	0.10237293756	0.289799972392	0.512570191309
64063.7042495	0.00717595413087	0.0111042399545	0.0183933260572	0.0203402779815	0.0393820068992	0.0981533645323	0.128167992021	0.145247408928	0.400618171596	0.660347652868
73457.3688221	0.00953430421724	0.0147972016788	0.0246132833996	0.0272440099381	0.0531036052703	0.133390397477	0.174216659301	0.197310773832	0.519946734404	0.784828248458
82851.0333947	0.0122749104238	0.0191137035087	0.0319402665279	0.0353898685922	0.0694645987653	0.175499249126	0.228821715978	0.258670495556	0.637381184577	0.875332756337
92244.6979673	0.0154217368867	0.0241009717977	0.0404744250215	0.0448934519844	0.0887334115071	0.224745495735	0.291779700466	0.328702314143	0.742365802853	0.933027064956
