X	Kar2011_Fig1C_67uM.txt: 67 uM Q30	Kar2011_Fig1C_86uM.txt: 86 uM Q30	Kar2011_Fig1C_143uM.txt: 143 uM Q30	Kar2011_Fig1C_166uM.txt: 166 uM Q30	Kar2011_Fig1C_177uM.txt: 177 uM Q30
47407.40741	0.00333056681201	0.00572641358004	0.0171702699218	0.0236296174758	0.0270925691693
64287.3176281	0.00610984445025	0.0104868154936	0.0311865634187	0.0427212623842	0.0488615622508
81167.2278462	0.00970917400216	0.0166274210677	0.048931090643	0.0666404109068	0.0759841480803
98047.1380642	0.0141131000821	0.0241034911631	0.0700399334646	0.0947356175572	0.107629426451
114927.048282	0.0193029079345	0.0328615201165	0.0941026108028	0.126295627706	0.142905809295
131806.9585	0.0252568179363	0.0428401609815	0.120680181255	0.160588585223	0.180914440496
148686.868718	0.0319502077391	0.0539712522021	0.149322650053	0.19689658048	0.220793979243
165566.778937	0.0393558578969	0.0661809148402	0.179584608118	0.234543374843	0.26175415965
182446.689155	0.047444216524	0.0793906891557	0.21103836885	0.272914385525	0.303097578895
199326.599373	0.0561836783557	0.0935186803443	0.243284218129	0.311469069864	0.344230712399
216206.509591	0.0655408735296	0.108480685401	0.275957706311	0.349746591775	0.38466608319
233086.419809	0.0754809614782	0.124191276172	0.308734157356	0.387366065011	0.424017873972
249966.330027	0.0859679254946	0.140564817412	0.341330737706	0.424022795784	0.461993209825
266846.240245	0.0969648638081	0.157516402863	0.37350651882	0.45948187134	0.498381024656
283726.150463	0.108434273355	0.174962696662	0.405060994793	0.493570244842	0.533040000569
300606.060681	0.120338322841	0.192822671684	0.435831496722	0.526168220266	0.565886638361
317485.970899	0.132639112158	0.211018240394	0.465689895584	0.557200993244	0.596884138785
334365.881117	0.145298915679	0.229474777383	0.494538919912	0.58663068405	0.626032473482
351245.791335	0.158280407487	0.248121535893	0.522308344905	0.614449120664	0.653359804363
368125.701554	0.171546867047	0.266891963131	0.548951243377	0.6406714951	0.678915261465
385005.611772	0.185062364323	0.285723921199	0.574440430682	0.665330921298	0.702762997551
401885.52199	0.198791923787	0.304559821876	0.598765187451	0.688473860777	0.724977388093
418765.432208	0.21270166716	0.323346684411	0.621928305989	0.710156345404	0.745639224795
