Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4 Y
2456.606435	0.0246569405831
15387.11628	0.00923419744324
25085.67878	-0.00392010988812
33973.53396	0.00264359618434
42053.4023	0.0129293966411
52562.67213	0.00274030369157
63069.22147	0.0272631209441
71976.1201	-0.0350045443617
80874.85726	-0.0246966359761
90587.02223	-0.0173556613539
101107.174	0.0142450619374
108392.658	0.0209786986075
116488.8493	0.0120821441811
123771.6128	0.0159959614193
134286.3236	0.0306362268327
146425.1696	-0.0196999541038
155321.1863	-0.0354366761842
171489.0844	-0.0448765438238
180379.6601	-0.0475047635896
