X	Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4
2456.6	4.96192408986e-05
4322.49292929	0.000154149249359
6188.38585859	0.00031773809486
8054.27878788	0.00054244170128
9920.17171717	0.000831110658553
11786.0646465	0.00118742090328
13651.9575758	0.00161591371571
15517.8505051	0.00212204509402
17383.7434343	0.00271224458388
19249.6363636	0.0033939836328
21115.5292929	0.00417585349934
22981.4222222	0.00506765266978
24847.3151515	0.00608048361143
26713.2080808	0.00722685851204
28579.1010101	0.00852081340665
30444.9939394	0.00997802976418
32310.8868687	0.0116159621796
34176.779798	0.0134539702788
36042.6727273	0.0155134522733
37908.5656566	0.0178179767878
39774.4585859	0.0203934086066
41640.3515152	0.0232680228402
43506.2444444	0.0264726006961
45372.1373737	0.0300404985628
47238.030303	0.034007680506
49103.9232323	0.0384127025956
50969.8161616	0.043296635803
52835.7090909	0.0487029126718
54701.6020202	0.0546770817312
56567.4949495	0.0612664529255
58433.3878788	0.0685196174489
60299.2808081	0.0764858266205
62165.1737374	0.0852142171708
64031.0666667	0.094752874869
65896.959596	0.105147735094
67762.8525253	0.116441327915
69628.7454545	0.128671386435
71494.6383838	0.141869350316
73360.5313131	0.156058810723
75226.4242424	0.171253957511
77092.3171717	0.187458102631
78958.210101	0.204662363873
80824.1030303	0.222844598139
82689.9959596	0.241968671825
84555.8888889	0.261984146257
86421.7818182	0.282826438141
88287.6747475	0.304417489169
90153.5676768	0.326666947257
92019.4606061	0.349473827161
93885.3535354	0.372728584086
95751.2464646	0.396315504225
97617.1393939	0.420115294285
99483.0323232	0.444007740455
101348.925253	0.467874306958
103214.818182	0.491600554881
105080.711111	0.515078281556
106946.60404	0.538207306606
108812.49697	0.560896859587
110678.389899	0.583066552848
112544.282828	0.604646949024
114410.175758	0.62557975368
116276.068687	0.645817678938
118141.961616	0.665324033335
120007.854545	0.684072097031
121873.747475	0.702044340871
123739.640404	0.719231543614
125605.533333	0.73563185526
127471.426263	0.751249846656
129337.319192	0.766095577487
131203.212121	0.78018370694
133069.105051	0.793532664155
134934.99798	0.806163889434
136800.890909	0.818101152044
138666.783838	0.8293699464
140532.676768	0.839996965348
142398.569697	0.850009647044
144264.462626	0.85943579046
146130.355556	0.868303233675
147996.248485	0.876639588634
149862.141414	0.884472026046
151728.034343	0.891827104178
153593.927273	0.89873063572
155459.820202	0.905207587247
157325.713131	0.911282006376
159191.606061	0.916976972183
161057.49899	0.922314564958
162923.391919	0.927315851904
164789.284848	0.932000885785
166655.177778	0.936388713995
168521.070707	0.940497395865
170386.963636	0.94434402637
172252.856566	0.947944764702
174118.749495	0.951314866407
175984.642424	0.954468718025
177850.535354	0.957419873362
179716.428283	0.960181090673
181582.321212	0.962764370187
183448.214141	0.965180991499
185314.107071	0.967441550491
187180.0	0.969555995474
