time s	3.66mM
0.01033218	0.467841091
127.2201271	0.497597768
261.5177972	0.996848685
381.6810456	1.492793305
466.5908973	3.851836545
530.4644315	9.948649068
559.0432402	16.97287803
587.7253707	26.33631245
623.6400269	39.44412874
673.6684404	52.08741024
730.8467221	66.60370925
794.823578	75.03972723
865.8263161	82.54171618
1028.599473	87.7259906
1177.093558	89.63207109
1325.566978	91.07031048
