data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y
8.5	0.84845123	8.5	0.889793937	8.5	0.823704139	8.5	0.890720255	8.5	0.890584735	8.5	0.91439278	8.5	0.852598916	8.5	0.908360795	8.5	1.011552499	8.5	0.905888377	8.5	1.00875
8.58	0.833552535	8.58	0.931559404	8.58	0.793595774	8.58	0.891887725	8.58	0.885562526	8.58	0.893567161	8.58	0.843147207	8.58	0.900179955	8.58	0.970201366	8.58	0.92718334	8.58	0.958703271
8.67	0.837012062	8.67	0.918814318	8.67	0.81975716	8.67	0.907184585	8.67	0.9037221	8.67	0.903416219	8.67	0.885634313	8.67	0.900041882	8.67	0.94760003	8.67	0.940909002	8.67	1.000204439
8.75	0.864056982	8.75	0.969223601	8.75	0.854343827	8.75	0.909070499	8.75	0.883112667	8.75	0.881131481	8.75	0.844605991	8.75	0.885992931	8.75	0.94226713	8.75	0.932936007	8.75	0.985689252
8.83	0.871354817	8.83	0.957153407	8.83	0.833116165	8.83	0.896827024	8.83	0.936366462	8.83	0.884381339	8.83	0.881653046	8.83	0.934215008	8.83	0.940235549	8.83	0.940269817	8.83	1.008790888
8.92	0.84458767	8.92	0.943941087	8.92	0.847664325	8.92	0.932629458	8.92	0.927179493	8.92	0.935748987	8.92	0.900526074	8.92	0.876534914	8.92	0.943960114	8.92	0.929841005	8.92	1.006910047
9	0.87786984	9	0.926575582	9	0.851079979	9	0.943465981	9	0.941082439	9	0.903814161	9	0.887579359	9	0.894139251	9	0.982179227	9	0.931960409	9	1.019707944
9.08	0.867718526	9.08	0.952273415	9.08	0.807283694	9.08	0.937269406	9.08	0.924668389	9.08	0.933295013	9.08	0.903018165	9.08	0.896521015	9.08	0.986750284	9.08	0.919378551	9.08	0.989859813
9.17	0.883324278	9.17	0.935582802	9.17	0.837594468	9.17	0.94747729	9.17	0.92714887	9.17	0.923777573	9.17	0.902835817	9.17	0.926759053	9.17	0.97557659	9.17	0.960151844	9.17	1.010017523
9.25	0.899738094	9.25	0.953337668	9.25	0.862516098	9.25	0.909848813	9.25	0.917716916	9.25	0.936511709	9.25	0.921344149	9.25	0.897211381	9.25	0.93545287	9.25	0.945215093	9.25	1.034304907
9.33	0.918576106	9.33	0.961072975	9.33	0.874205228	9.33	0.93804772	9.33	0.963314903	9.33	0.929813023	9.33	0.88353731	9.33	0.895416429	9.33	1.010536709	9.33	0.959714506	9.33	1.028171729
9.42	0.875167873	9.42	0.978801884	9.42	0.876659439	9.42	0.932509718	9.42	0.956792156	9.42	0.915221825	9.42	0.921465714	9.42	0.949230472	9.42	0.997331434	9.42	0.914029579	9.42	1.009935748
9.5	0.865041811	9.5	0.977685716	9.5	0.895584697	9.5	0.98133394	9.5	0.959823855	9.5	0.945233266	9.5	0.92587246	9.5	0.891239714	9.5	0.981121112	9.5	0.94868015	9.5	1.015332944
9.58	0.873475988	9.58	0.953130009	9.58	0.879467866	9.58	0.963163307	9.58	0.982760653	9.58	0.941618628	9.58	0.912165961	9.58	0.916127414	9.58	1.035169626	9.58	0.937645793	9.58	1.003189252
9.67	0.927313307	9.67	0.959489574	9.67	0.885666647	9.67	0.958074332	9.67	1.000307763	9.67	0.936379062	9.67	0.927999854	9.67	0.922478783	9.67	1.020186718	9.67	0.972767343	9.67	1.04223715
9.75	0.884839399	9.75	0.988873358	9.75	0.925389448	9.75	0.9916915	9.75	0.974645498	9.75	0.98171126	9.75	0.915569792	9.75	0.946261897	9.75	1.051041351	9.75	0.980975827	9.75	1.035981308
9.83	0.904636987	9.83	0.959982764	9.83	0.874078722	9.83	0.971605018	9.83	0.934498445	9.83	0.959957111	9.83	0.897547722	9.83	0.914608608	9.83	0.933929184	9.83	0.957359613	9.83	0.979801402
9.92	0.909056092	9.92	0.973610403	9.92	0.882149788	9.92	0.964630129	9.92	0.980984506	9.92	0.951069745	9.92	0.883446136	9.92	0.94926499	9.92	1.000167182	9.92	0.984878222	9.92	1.026904206
10	0.935444459	10	0.9986593	10	0.927160528	10	0.997319308	10	0.99050833	10	0.979622066	10	0.968845828	10	0.9592753	10	0.972571543	10	0.960454616	10	1.022488318
10.08	0.915040822	10.08	0.969742749	10.08	0.920835241	10.08	0.964360713	10.08	0.931956717	10.08	0.951600334	10.08	0.924261718	10.08	0.933904343	10.08	0.969566497	10.08	0.95803244	10.08	1.021711449
10.17	0.931328379	10.17	0.954583624	10.17	0.946465303	10.17	0.975526522	10.17	0.986649803	10.17	0.986088619	10.17	0.964439082	10.17	0.96089766	10.17	0.968085136	10.17	0.957191407	10.17	1.012757009
10.25	0.960696485	10.25	0.994246541	10.25	0.936977373	10.25	0.942059029	10.25	0.991273911	10.25	1.008439681	10.25	0.911679699	10.25	0.930452512	10.25	0.987808399	10.25	0.961194725	10.25	1.01083528
10.33	0.945520017	10.33	1.000190787	10.33	0.952891795	10.33	0.975346911	10.33	1.037055638	10.33	0.992090908	10.33	0.944532748	10.33	0.989858521	10.33	0.984168484	10.33	0.99493698	10.33	1.029848131
10.42	0.939030246	10.42	1.002267379	10.42	0.942315915	10.42	0.994445534	10.42	0.983985583	10.42	0.961913658	10.42	0.951735498	10.42	0.974808538	10.42	0.938500241	10.42	0.999276711	10.42	1.02453271
10.5	0.989584802	10.5	1.009509496	10.5	0.934320753	10.5	0.971395472	10.5	0.973543062	10.5	0.957503137	10.5	0.956354983	10.5	0.98150509	10.5	0.97401058	10.5	0.980403925	10.5	1.008504673
10.58	0.964585297	10.58	1.035518817	10.58	0.94881831	10.58	0.941520196	10.58	0.983250625	10.58	0.943575175	10.58	0.978175972	10.58	0.978467479	10.58	0.984634054	10.58	0.973541093	10.58	1.01921729
10.67	0.988296949	10.67	0.989236761	10.67	0.961595389	10.67	0.97714302	10.67	0.962151221	10.67	0.990764435	10.67	0.923349978	10.67	1.000317568	10.67	1.031106464	10.67	0.975593215	10.67	1.017540888
10.75	0.9527926	10.75	0.998737172	10.75	0.974220661	10.75	0.963582399	10.75	1.004748132	10.75	0.98499428	10.75	0.944137661	10.75	0.980573096	10.75	0.960170436	10.75	0.988242355	10.75	1.017459112
10.83	0.973373001	10.83	1.037880941	10.83	0.987529065	10.83	0.975556457	10.83	1.012220199	10.83	1.008108063	10.83	0.97610936	10.83	1.04947164	10.83	1.031318087	10.83	0.986291158	10.83	1.05307243
10.92	1.002412831	10.92	1.005096737	10.92	0.958609854	10.92	0.982710957	10.92	1.007718585	10.92	0.97385191	10.92	0.956841245	10.92	1.042567978	10.92	0.983618264	10.92	0.982153274	10.92	0.975385514
11	0.959989428	11	1.023111177	11	0.940266522	11	0.985943952	11	0.976237906	11	0.973752425	11	0.99434417	11	1.042222795	11	0.96977812	11	1.003683726	11	1.062476636
11.08	0.970140742	11.08	1.018386929	11.08	0.94881831	11.08	0.999714119	11.08	1.000093401	11.08	1.020013154	11.08	0.98015141	11.08	0.979641102	11.08	0.965799607	11.08	0.985147352	11.08	1.028294393
11.17	0.974307326	11.17	0.998970789	11.17	0.957876121	11.17	0.978998999	11.17	0.966714082	11.17	0.961913658	11.17	0.985834592	11.17	1.003320661	11.17	1.025096371	11.17	0.978284521	11.17	1.022242991
11.25	0.959282371	11.25	0.99575207	11.25	0.955801426	11.25	0.995253783	11.25	0.969194563	11.25	0.951335039	11.25	0.979361235	11.25	0.994138791	11.25	0.982644798	11.25	1.014751724	11.25	1.014065421
11.33	0.990039338	11.33	0.967899773	11.33	0.940721943	11.33	0.974269246	11.33	0.992988812	11.33	0.983767293	11.33	0.944623922	11.33	0.99579567	11.33	1.051464597	11.33	0.978822782	11.33	1.035408879
11.42	0.993827142	11.42	0.964265736	11.42	0.94616169	11.42	0.954691661	11.42	0.957557736	11.42	0.984364205	11.42	0.928273376	11.42	1.00559887	11.42	0.95864675	11.42	0.996787253	11.42	1.001267523
11.5	1.013574226	11.5	0.95702362	11.5	0.960633946	11.5	0.992888906	11.5	0.974676121	11.5	0.975576325	11.5	0.977507362	11.5	1.033109962	11.5	0.993225948	11.5	1.022287382	11.5	0.985280374
11.58	1.009937935	11.58	0.949470015	11.58	0.97022308	11.58	0.944423906	11.58	0.974982353	11.58	0.975410516	11.58	0.973282965	11.58	1.002871923	11.58	1.044057792	11.58	0.982321481	11.58	1.047429907
11.67	1.01736203	11.67	1.01537587	11.67	0.968806216	11.67	0.978041074	11.67	0.975809181	11.67	0.972260143	11.67	0.964256734	11.67	0.973289733	11.67	0.997373759	11.67	0.981312241	11.67	1.032955607
11.75	1.02496289	11.75	0.982955069	11.75	0.949197827	11.75	1.002019126	11.75	1.016262466	11.75	0.997960548	11.75	0.979361235	11.75	1.010707579	11.75	1.00511916	11.75	1.006812369	11.75	1.025227804
11.83	1.016402453	11.83	1.010521835	11.83	0.938267732	11.83	0.957864786	11.83	0.96803088	11.83	0.981810746	11.83	0.974164314	11.83	1.039771995	11.83	1.025858214	11.83	0.998435678	11.83	1.031606308
11.92	0.995771548	11.92	0.998944831	11.92	0.976447162	11.92	0.990943122	11.92	1.000613996	11.92	1.024357352	11.92	1.019204294	11.92	1.053165099	11.92	1.021456456	11.92	0.98709855	11.92	1.054748832
12	1.016124681	12	1.00356525	12	0.990463998	12	0.98336953	12	1.029399831	12	1.03530075	12	0.989116858	12	1.035905945	12	0.996569591	12	1.019730641	12	1.054871495
12.08	0.977640594	12.08	0.983422302	12.08	0.970779705	12.08	0.937299341	12.08	0.953699209	12.08	0.995473413	12.08	1.005254664	12.08	1.014539112	12.08	1.01836676	12.08	0.985147352	12.08	1.010549065
12.17	1.01125104	12.17	0.974311253	12.17	1.003063969	12.17	0.979208545	12.17	0.959364507	12.17	0.996037163	12.17	0.995559824	12.17	1.004183619	12.17	0.981163437	12.17	0.993624968	12.17	1.010998832
12.25	1.015543884	12.25	1.006732053	12.25	0.961797798	12.25	0.998337103	12.25	0.968582099	12.25	0.98555803	12.25	0.970183047	12.25	0.99600278	12.25	0.972021324	12.25	0.987434963	12.25	1.002248832
12.33	1.001907791	12.33	1.006057161	12.33	0.944896632	12.33	0.97301197	12.33	1.007442976	12.33	0.984695823	12.33	0.981002367	12.33	0.995726633	12.33	1.040714148	12.33	0.993254913	12.33	0.995502336
12.42	0.979079959	12.42	0.99175463	12.42	0.991880862	12.42	0.975945614	12.42	0.99268258	12.42	0.981379642	12.42	1.020936601	12.42	0.976396381	12.42	1.01146785	12.42	1.003414595	12.42	1.019871495
12.5	0.992261517	12.5	0.980463158	12.5	1.001014576	12.5	0.980615497	12.5	0.999603429	12.5	1.030989714	12.5	1.01057315	12.5	0.99375909	12.5	1.010155788	12.5	1.006711445	12.5	1.027353972
12.58	1.010089447	12.58	0.993389946	12.58	0.999977229	12.58	0.997139697	12.58	0.991763883	12.58	1.027938828	12.58	1.028473655	12.58	1.002008966	12.58	1.00723539	12.58	0.983297079	12.58	0.991004673
12.67	1.010417723	12.67	0.986615063	12.67	0.981406187	12.67	0.975975549	12.67	0.988548444	12.67	1.034305896	12.67	0.99996657	12.67	1.014642666	12.67	1.002283412	12.67	1.02528146	12.67	1.064766355
12.75	1.001049222	12.75	0.989807824	12.75	1.0037471	12.75	0.990613835	12.75	0.986098585	12.75	1.022400805	12.75	1.001060658	12.75	1.010534988	12.75	0.982771772	12.75	0.990563607	12.75	1.048901869
12.83	1.004710765	12.83	1.013480979	12.83	0.984164012	12.83	0.995403458	12.83	0.974431135	12.83	1.035765015	12.83	1.013521111	12.83	0.973427806	12.83	0.985438222	12.83	1.01794765	12.83	1.012021028
12.92	0.992589793	12.92	1.003772909	12.92	1.022191636	12.92	0.989416429	12.92	1.001747055	12.92	1.026114928	12.92	1.013825025	12.92	1.047642169	12.92	1.015065441	12.92	1.010983894	12.92	1.008259346
13	0.988549469	13	0.966965307	13	0.977611015	13	0.957116407	13	0.999450313	13	1.038517446	13	1.003613531	13	1.040600434	13	0.973756632	13	1.016467431	13	1.050005841
13.08	0.993397858	13.08	1.017063101	13.08	0.998636268	13.08	0.994325793	13.08	1.014210709	13.08	1.058580343	13.08	0.993462821	13.08	1.053303172	13.08	1.027170277	13.08	1.031908802	13.08	1.010876168
13.17	0.998220995	13.17	1.003305676	13.17	0.997194103	13.17	1.001210877	13.17	0.986159832	13.17	1.033244718	13.17	1.004312532	13.17	1.043638046	13.17	0.992929676	13.17	0.99470149	13.17	1.05953271
13.25	1.013018682	13.25	0.999204405	13.25	0.992639896	13.25	1.013095129	13.25	0.982148189	13.25	1.043093776	13.25	0.991548166	13.25	1.026793111	13.25	0.965884257	13.25	1.001833453	13.25	1.009363318
13.33	1.000241157	13.33	1.007926094	13.33	0.997548319	13.33	1.001151006	13.33	1.019569774	13.33	0.996833047	13.33	1.026011956	13.33	0.999385574	13.33	1.020525315	13.33	0.997022742	13.33	1.010181075
13.42	0.951403739	13.42	1.021527775	13.42	0.989553156	13.42	1.005102446	13.42	0.993693146	13.42	1.053672394	13.42	0.986199288	13.42	0.99845358	13.42	1.018028163	13.42	0.972161799	13.42	0.976571262
13.5	0.970645783	13.5	0.988016763	13.5	1.029883185	13.5	1.01827391	13.5	0.980494535	13.5	0.988675241	13.5	0.948058145	13.5	0.96559215	13.5	1.002410386	13.5	0.97801539	13.5	0.994643692
13.58	0.994685711	13.58	1.003902696	13.58	1.004126617	13.58	1.021087813	13.58	1.008331049	13.58	1.024655808	13.58	0.977203449	13.58	1.041635984	13.58	1.013838028	13.58	0.97320468	13.58	1.012389019
13.67	1.01486208	13.67	1.020515436	13.67	1.024949461	13.67	1.018094299	13.67	1.04608949	13.67	1.01225329	13.67	0.99975383	13.67	1.108187283	13.67	1.029794402	13.67	1.024305861	13.67	1.040029206
13.75	1.029912287	13.75	0.994817604	13.75	0.987706173	13.75	1.026745556	13.75	0.991120795	13.75	1.004493426	13.75	1.010056498	13.75	1.063071853	13.75	1.036650987	13.75	0.982826101	13.75	1.007073598
13.83	1.032235473	13.83	1.008393327	13.83	1.052300001	13.83	1.015549811	13.83	1.01298578	13.83	1.026943973	13.83	1.00516349	13.83	1.066178501	13.83	1.051930167	13.83	0.981446806	13.83	1.02036215
13.92	1.02072055	13.92	1.003020144	13.92	1.018573572	13.92	1.050124904	13.92	1.023428301	13.92	1.010959979	13.92	1.024857085	13.92	1.025723044	13.92	0.992040859	13.92	1.004221987	13.92	1.023469626
										14	1.017061753	14	1.016681812	14	1.040911099	14	1.046597268	14	1.009335469	14	1.010712617
										14.08	1.015569471	14.08	0.981762151	14.08	1.011743129	14.08	1.004018721	14.08	0.970816146	14.08	0.986629673
										14.17	1.034007439	14.17	1.033883315	14.17	0.999937867	14.17	0.983110369	14.17	0.985820179	14.17	0.995952103
										14.25	0.99451172	14.25	0.975957403	14.25	1.006530864	14.25	0.98027462	14.25	0.991169151	14.25	1.026413551
										14.33	1.038318475	14.33	1.019021946	14.33	1.009775585	14.33	1.042407132	14.33	0.993658609	14.33	1.031647196
										14.42	1.010926817	14.42	1.026862914	14.42	0.991446363	14.42	0.991194367	14.42	1.004726607	14.42	1.015292056
										14.5	1.007146371	14.5	0.975866229	14.5	0.990031113	14.5	1.012610614	14.5	1.003616443	14.5	1.006787383
										14.58	1.001442539	14.58	1.004829185	14.58	0.956997091	14.58	1.025519617	14.58	0.981749578	14.58	1.022774533
										14.67	1.010296743	14.67	1.011849587	14.67	0.999005873	14.67	0.98404151	14.67	0.984373602	14.67	0.999918224
										14.75	1.061299611	14.75	1.012153501	14.75	1.024411348	14.75	1.021752728	14.75	0.981783219	14.75	1.012961449
										14.83	1.036627223	14.83	0.953194283	14.83	0.972392257	14.83	0.962752236	14.83	0.981110393	14.83	0.998037383
										14.92	1.008373358	14.92	0.978267146	14.92	1.00335518	14.92	0.985649845	14.92	1.023162056	14.92	1.016641355
										15	1.001409377	15	0.992004036	15	1.063106372	15	0.974137554	15	1.021614555	15	0.964672897
										15.08	1.015337339	15.08	1.018110205	15.08	1.039599404	15.08	1.018790006	15.08	0.99342312	15.08	0.980905374
										15.17	1.026910811	15.17	0.976352491	15.17	1.046882767	15.17	0.997543057	15.17	1.011555797	15.17	1.001635514
										15.25	1.016166384	15.25	1.023823779	15.25	1.087648889	15.25	1.000632753	15.25	0.990563607	15.25	1.01369743
										15.33	1.000215552	15.33	1.001577311	15.33	0.991239253	15.33	1.001182973	15.33	1.007552479	15.33	1.009649533
										15.42	0.968214402	15.42	1.027045262	15.42	1.019854931	15.42	0.992591079	15.42	1.022792002	15.42	0.978492991
										15.5	1.028403093	15.5	1.003947836	15.5	0.992619986	15.5	1.014049651	15.5	1.024978688	15.5	1.04109229
										15.58	1.027142944	15.58	1.01686416	15.58	1.066040428	15.58	0.995850073	15.58	1.024238579	15.58	0.994725467
										15.67	1.013878219	15.67	0.997778392	15.67	1.019613303	15.67	0.996823539	15.67	1.029385702	15.67	1.032178738
										15.75	0.968645506	15.75	1.003552749	15.75	0.969906939	15.75	0.974772423	15.75	0.963953314	15.75	1.015251168
										15.83	0.983236703	15.83	1.019386642	15.83	1.010914689	15.83	0.993564545	15.83	0.983734417	15.83	0.989491822
										15.92	0.952462541	15.92	0.981427846	15.92	0.970355677	15.92	0.991617613	15.92	0.998637526	15.92	1.006174065
										16	1.018454549	16	1.006379144	16	1.001387636	16	1.011086929	16	1.011488514	16	1.016273364
										16.08	0.984198396	16.08	1.025677651	16.08	1.01702443	16.08	0.963768027	16.08	0.993355837	16.08	0.966226636
										16.17	0.980948538	16.17	1.035615622	16.17	0.981988347	16.17	0.984337782	16.17	0.999949538	16.17	0.97489486
										16.25	1.032714129	16.25	1.015678897	16.25	0.983507152	16.25	0.993818492	16.25	0.994163229	16.25	0.98953271
										16.33	0.974680956	16.33	0.950945323	16.33	0.961898691	16.33	0.996230994	16.33	0.962405813	16.33	0.977879673
										16.42	1.002669526	16.42	0.949638495	16.42	0.974635947	16.42	0.997923978	16.42	1.006442315	16.42	0.970478972
										16.5	0.965461972	16.5	1.000695962	16.5	0.980504059	16.5	1.040290902	16.5	0.987334039	16.5	0.991495327
										16.58	0.989504286	16.58	1.003218444	16.58	0.989893039	16.58	0.989924629	16.58	1.011925852	16.58	0.989123832
										16.67	1.021704407	16.67	0.984315025	16.67	0.994622048	16.67	1.039402086	16.67	0.983498927	16.67	1.013533879
										16.75	1.044387087	16.75	0.976078969	16.75	0.939461791	16.75	1.024588476	16.75	0.992043825	16.75	1.028171729
