data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y
1.67	0.065587928	1.67	0.081428384	1.67	0.079344397	1.67	0.046159994	1.67	0.065656202	1.67	0.10249211	1.67	0.064520835	1.67	0.078678731	1.67	0.234938424	1.67	0.153029036	1.67	0.158241822
1.75	0.0689717	1.75	0.076652221	1.75	0.07610585	1.75	0.051099293	1.75	0.097289997	1.75	0.096257689	1.75	0.069018755	1.75	0.057588045	1.75	0.267486041	1.75	0.183911777	1.75	0.147283879
1.83	0.042911609	1.83	0.099131335	1.83	0.091160032	1.83	0.048614676	1.83	0.077783001	1.83	0.089857459	1.83	0.089715263	1.83	0.052720963	1.83	0.27235337	1.83	0.198108419	1.83	0.201255841
1.92	0.065764692	1.92	0.094640704	1.92	0.083088966	1.92	0.089146863	1.92	0.103108411	1.92	0.103884906	1.92	0.083819342	1.92	0.062213498	1.92	0.274046354	1.92	0.193028578	1.92	0.15676986
2	0.093314652	2	0.106970472	2	0.094398579	2	0.101120922	2	0.117501328	2	0.128391486	2	0.085399692	2	0.116441761	2	0.278532762	2	0.205274022	2	0.228896028
2.08	0.072203959	2.08	0.086853482	2.08	0.107327465	2.08	0.091421934	2.08	0.099158014	2.08	0.108063295	2.08	0.093848487	2.08	0.088067711	2.08	0.311757572	2.08	0.238175244	2.08	0.217856308
2.17	0.067557586	2.17	0.110786211	2.17	0.089641963	2.17	0.101629819	2.17	0.087949913	2.17	0.098678502	2.17	0.121018353	2.17	0.096800843	2.17	0.294700759	2.17	0.229058443	2.17	0.235397196
2.25	0.094956034	2.25	0.11449812	2.25	0.11051541	2.25	0.119201749	2.25	0.120900507	2.25	0.144773422	2.25	0.113238168	2.25	0.088102229	2.25	0.354844014	2.25	0.243793346	2.25	0.247254673
2.33	0.091799531	2.33	0.120442366	2.33	0.102115429	2.33	0.110640298	2.33	0.125524614	2.33	0.138273707	2.33	0.100017931	2.33	0.098388685	2.33	0.352897083	2.33	0.253482049	2.33	0.259725467
2.42	0.09465301	2.42	0.138768295	2.42	0.131768373	2.42	0.123572281	2.42	0.10329215	2.42	0.145436658	2.42	0.12408788	2.42	0.106914708	2.42	0.352600811	2.42	0.270033584	2.42	0.289900701
2.5	0.102657902	2.5	0.132564475	2.5	0.136196074	2.5	0.128032617	2.5	0.13734518	2.5	0.156479542	2.5	0.14077273	2.5	0.137083709	2.5	0.379773203	2.5	0.300949967	2.5	0.286956776
2.58	0.099122618	2.58	0.137781914	2.58	0.106720238	2.58	0.134857831	2.58	0.1257696	2.58	0.163443523	2.58	0.139587468	2.58	0.135288757	2.58	0.379222984	2.58	0.294154418	2.58	0.292435748
2.67	0.113819297	2.67	0.15003381	2.67	0.151022546	2.67	0.119770517	2.67	0.151646228	2.67	0.162647639	2.67	0.151196963	2.67	0.11116046	2.67	0.408003711	2.67	0.319385416	2.67	0.28973715
2.75	0.130914919	2.75	0.16044273	2.75	0.128909343	2.75	0.158716141	2.75	0.174950505	2.75	0.181649358	2.75	0.170130774	2.75	0.144090926	2.75	0.408553931	2.75	0.315483022	2.75	0.32338785
2.83	0.145308573	2.83	0.184894606	2.83	0.142470758	2.83	0.140755054	2.83	0.175195491	2.83	0.168981545	2.83	0.171559167	2.83	0.160590677	2.83	0.448508353	2.83	0.333144721	2.83	0.344240654
2.92	0.134197682	2.92	0.158703583	2.92	0.162129749	2.92	0.15533347	2.92	0.188669712	2.92	0.227843764	2.92	0.163110372	2.92	0.18748044	2.92	0.454433797	2.92	0.343001631	2.92	0.309077103
3	0.158490131	3	0.185829073	3	0.165039381	3	0.179790484	3	0.202143932	3	0.185263996	3	0.175783565	3	0.169323809	3	0.44304848	3	0.377786767	3	0.338311916
3.08	0.168186909	3.08	0.203220535	3.08	0.166683956	3.08	0.186316346	3.08	0.193722544	3.08	0.223234272	3.08	0.228846861	3.08	0.186513927	3.08	0.464083806	3.08	0.341790543	3.08	0.427570093
3.17	0.160990081	3.17	0.192136723	3.17	0.188012823	3.17	0.190267785	3.17	0.21635311	3.17	0.214114773	3.17	0.200491732	3.17	0.184166682	3.17	0.477712327	3.17	0.371428555	3.17	0.388440421
3.25	0.149904442	3.25	0.184635032	3.25	0.182345366	3.25	0.194189289	3.25	0.214883195	3.25	0.220316032	3.25	0.196480074	3.25	0.204221819	3.25	0.460570864	3.25	0.361336156	3.25	0.386273364
3.33	0.170459591	3.33	0.225673692	3.33	0.203876642	3.33	0.210174657	3.33	0.219966651	3.33	0.235338333	3.33	0.208636614	3.33	0.200355769	3.33	0.508736258	3.33	0.407122007	3.33	0.394450935
3.42	0.171419168	3.42	0.217341365	3.42	0.206001938	3.42	0.241696365	3.42	0.213107048	3.42	0.231524725	3.42	0.234864348	3.42	0.196524236	3.42	0.5122492	3.42	0.428114197	3.42	0.437546729
3.5	0.21071132	3.5	0.21157882	3.5	0.222295877	3.5	0.224872813	3.5	0.24262784	3.5	0.249796884	3.5	0.230153689	3.5	0.225485097	3.5	0.524142412	3.5	0.434203278	3.5	0.462570093
3.58	0.194120739	3.58	0.230917088	3.58	0.225559725	3.58	0.233254654	3.58	0.218159881	3.58	0.271318901	3.58	0.231186995	3.58	0.238878201	3.58	0.565408897	3.58	0.440595131	3.58	0.461384346
3.67	0.194449016	3.67	0.233850275	3.67	0.209544099	3.67	0.282378228	3.67	0.252243534	3.67	0.263724845	3.67	0.275011321	3.67	0.251201237	3.67	0.57188456	3.67	0.456810253	3.67	0.447646028
3.75	0.20311046	3.75	0.247322169	3.75	0.233807899	3.75	0.234392189	3.75	0.264094724	3.75	0.278946118	3.75	0.272245708	3.75	0.27298229	3.75	0.557578846	3.75	0.490317018	3.75	0.493481308
