Time /s	6.4 uM Ex45
559.4451244	0.007017544
1861.117911	0.003508772
2979.355365	0.014035088
4467.727458	0.014035088
5772.011424	0.024561404
6889.596083	0.031578947
8007.180743	0.038596491
9125.418197	0.049122807
10243.65565	0.059649123
11363.19869	0.077192982
12482.08894	0.09122807
13600.97919	0.105263158
14533.82293	0.119298246
15840.06528	0.140350877
16400.81599	0.154385965
17146.96042	0.164912281
18080.45696	0.18245614
19572.74582	0.203508772
20506.89514	0.224561404
21254.99796	0.245614035
21817.05426	0.266666667
22939.20849	0.298245614
23500.612	0.315789474
24248.06202	0.333333333
25182.21134	0.354385965
26117.01346	0.378947368
26865.11628	0.4
27799.26561	0.421052632
28920.11424	0.445614035
29856.22195	0.477192982
30791.02407	0.501754386
31727.13178	0.533333333
32849.28601	0.564912281
33786.04651	0.6
34722.15422	0.631578947
35471.56263	0.659649123
36406.36475	0.684210526
37154.46756	0.705263158
37901.26479	0.719298246
38650.0204	0.743859649
39397.47042	0.761403509
40890.41208	0.785964912
42383.35373	0.810526316
44062.9947	0.838596491
45740.67727	0.856140351
47605.05916	0.877192982
48908.69033	0.884210526
50585.06732	0.894736842
52820.23664	0.90877193
55055.40596	0.922807018
57662.0155	0.933333333
58964.99388	0.936842105
60826.76459	0.943859649
63432.06854	0.947368421
65665.27948	0.950877193
67153.65157	0.950877193
70503.14157	0.954385965
70689.18809	0.954385965
