Pilkington2017_Fig1A.txt: 50 uM X	Pilkington2017_Fig1A.txt: 50 uM Y
338.4716733	0.000181131009585
1145.454545	0.00207118629198
2298.28722	-0.000143952584837
3451.119895	0.00588426418937
4488.669302	0.0183774762239
5756.785244	0.0333324770535
7255.467721	0.0440789309786
8177.73386	0.0634135976718
9215.283267	0.0785448130475
10137.54941	0.088219826545
10944.53228	0.0959968226149
12097.36495	0.105253816927
13019.63109	0.126068228292
13826.61397	0.135701185675
14633.59684	0.137132926491
15440.57971	0.147131939673
16593.41238	0.166866728693
17054.54545	0.162902948427
17630.96179	0.153659817453
18553.22793	0.166496181985
19244.92754	0.151630371289
19936.62714	0.140744263682
20628.32675	0.138024807606
21320.02635	0.122346607509
22011.72596	0.114782239966
22818.70883	0.109738195757
23395.12516	0.0859403402133
24086.82477	0.0688504207983
24663.24111	0.0571249471121
25470.22398	0.0419332962047
26046.64032	0.029540090712
26507.77339	0.0143582461736
27430.03953	-0.00389464521809
28352.30567	-0.0228792521436
29044.00527	-0.0428710576298
29850.98814	-0.0568649958148
30542.68775	-0.0692973577323
31349.67062	-0.0800861116298
32271.93676	-0.0894525103571
32963.63636	-0.10325460232
33655.33597	-0.104774595654
34577.60211	-0.111592334487
35269.30171	-0.113959258487
36076.28458	-0.115051492113
37113.83399	-0.121953742159
38266.66667	-0.119697723859
39188.93281	-0.125267129689
40226.48221	-0.125837112341
41264.03162	-0.127048964247
42186.29776	-0.13004756699
43223.84717	-0.140830463375
44030.83004	-0.133195699335
44953.09618	-0.133305927841
45875.36232	-0.138040840143
46797.62846	-0.143162774756
47835.17787	-0.143563929521
48872.72727	-0.140189001351
50140.84321	-0.118817125142
