X	Zurdo2001_Fig8_pH2.txt: pH 1.5
376.85	5.43143721869e-05
924.083838384	0.000326401191305
1471.31767677	0.000828304773975
2018.55151515	0.00156311799583
2565.78535354	0.00253607593149
3113.01919192	0.00375453428142
3660.2530303	0.00522795713159
4207.48686869	0.00696791109296
4754.72070707	0.00898806257801
5301.95454545	0.0113041746042
5849.18838384	0.0139340990742
6396.42222222	0.016897759978
6943.65606061	0.0202171224071
7490.88989899	0.0239161416853
8038.12373737	0.0280206863342
8585.35757576	0.0325584280467
9132.59141414	0.0375586913847
9679.82525253	0.0430522556236
10227.0590909	0.0490711011103
10774.2929293	0.0556480927752
11321.5267677	0.0628165941538
11868.7606061	0.070610006531
12415.9944444	0.079061229722
12963.2282828	0.0882020436437
13510.4621212	0.0980624132452
14057.6959596	0.108669723569
14604.929798	0.120047956618
15152.1636364	0.132216827145
15699.3974747	0.145190900186
16246.6313131	0.158978718727
16793.8651515	0.173581974884
17341.0989899	0.188994761733
17888.3328283	0.205202945015
18435.5666667	0.222183693642
18982.8005051	0.239905205033
19530.0343434	0.258326655378
20077.2681818	0.277398396282
20624.5020202	0.297062408015
21171.7358586	0.317253006704
21718.969697	0.337897789085
22266.2035354	0.358918785086
22813.4373737	0.380233776716
23360.6712121	0.401757732558
23907.9050505	0.423404301399
24455.1388889	0.445087306696
25002.3727273	0.466722185618
25549.6065657	0.488227322087
26096.840404	0.509525231759
26644.0742424	0.530543567391
27191.3080808	0.551215924469
27738.5419192	0.571482438377
28285.7757576	0.591290174888
28833.009596	0.610593324708
29380.2434343	0.629353219842
29927.4772727	0.64753819451
30474.7111111	0.665123316183
31021.9449495	0.682090013376
31569.1787879	0.698425626339
32116.4126263	0.714122905053
32663.6464646	0.729179476473
33210.880303	0.743597299913
33758.1141414	0.757382126251
34305.3479798	0.770542973466
34852.5818182	0.783091627942
35399.8156566	0.795042178326
35947.0494949	0.806410586291
36494.2833333	0.817214296621
37041.5171717	0.827471887399
37588.7510101	0.837202759841
38135.9848485	0.846426866339
38683.2186869	0.855164474663
39230.4525253	0.863435965757
39777.6863636	0.871261662383
40324.920202	0.87866168568
40872.1540404	0.885655836767
41419.3878788	0.892263500552
41966.6217172	0.898503569093
42513.8555556	0.904394381988
43061.0893939	0.909953681512
43608.3232323	0.915198580386
44155.5570707	0.920145540322
44702.7909091	0.924810359637
45250.0247475	0.929208168472
45797.2585859	0.933353430294
46344.4924242	0.937259948557
46891.7262626	0.940940877535
47438.960101	0.944408736462
47986.1939394	0.947675426278
48533.4277778	0.950752248343
49080.6616162	0.953649924599
49627.8954545	0.956378618745
50175.1292929	0.958947958054
50722.3631313	0.961367055527
51269.5969697	0.963644532133
51816.8308081	0.965788538927
52364.0646465	0.967806778893
52911.2984848	0.969706528361
53458.5323232	0.971494657918
54005.7661616	0.973177652718
54553.0	0.974761632132
