data3.txt: C19S X	data3.txt: C19S Y
2.054212065	0.000243228933446
4.800690938	0.00135187152116
9.237310656	0.00532358707483
13.04062583	0.0095553057373
15.7871047	0.0162529565946
18.95811188	0.0192065894077
21.28305209	0.0259569562911
23.6114802	0.0218073403482
26.1516742	0.0209587968029
27.84779431	0.0126117457389
29.11888786	0.0119026316056
29.96844273	0.00370811686194
31.02826867	0.0028039856685
31.87832182	-0.00578984248989
33.15190672	-0.0114042180586
34.42549163	-0.0153509032149
35.90835105	-0.00603936225453
37.39021393	0.0094180730303
37.81823014	-0.00403561168676
38.45701568	-0.0111169820864
39.94386128	-0.0118394404649
41.21644964	-0.00377548342317
41.85473691	-0.00718755536237
42.91655594	-0.00448821761546
43.34058597	-0.000498968559573
44.1946253	-0.0158706026692
45.25345469	-0.000383710310562
46.52903269	-0.00116414179638
47.59234653	-0.00306557825782
48.44239968	-0.00229615819897
49.29095801	0.00423014440207
50.35477013	-0.000182920437091
51.20482328	-9.51096691614e-05
52.0553747	-0.0023094002011
53.5422203	-0.000757484306629
54.60304279	0.00427393250779
55.45259766	0.00419970177412
56.08988839	0.0033070546951
57.57573744	0.00460966268088
59.06058995	0.00810551723344
60.33367659	0.00828395310856
61.8185291	0.00848321212054
63.30238507	0.0108726017512
65.20877624	0.0170922082446
68.17698645	0.01084344523
70.71867526	0.0107685230057
72.4142971	0.00402056019487
74.53145761	0.00283820124153
76.85938746	0.00286416150429
78.34125033	-9.06926527042e-05
81.09171539	-0.00150637845093
83.4201435	-0.00899761251501
86.5961334	-0.0249702424452
88.92406325	-0.0336609678817
90.82696652	-0.0345455911091
93.78521127	-0.0298623520429
96.53169014	-0.0247677578754
