X	data3.txt: C19S
2.054212065	0.000243228933446
3.00853002535	0.000523930316303
3.96284798571	0.00091469513299
4.91716594606	0.00141982638176
5.87148390641	0.00204494490385
6.82580186677	0.00279703225829
7.78011982712	0.00368448457176
8.73443778747	0.0047171766018
9.68875574783	0.00590653509092
10.6430737082	0.00726562025888
11.5973916685	0.00880921397297
12.5517096289	0.0105539127387
13.5060275892	0.0125182231564
14.4603455496	0.014722656883
15.4146635099	0.0171898214103
16.3689814703	0.0199445021232
17.3232994307	0.0230137301279
18.277617391	0.0264268292521
19.2319353514	0.0302154344414
20.1862533117	0.0344134725441
21.1405712721	0.0390570952463
22.0948892324	0.044184552788
23.0492071928	0.0498359961614
24.0035251531	0.0560531949278
24.9578431135	0.0628791577667
25.9121610738	0.0703576436148
26.8664790342	0.0785325529897
27.8207969945	0.0874471920744
28.7751149549	0.0971434065668
29.7294329153	0.107660588325
30.6837508756	0.119034565496
31.638068836	0.131296395969
32.5923867963	0.144471094284
33.5467047567	0.158576332945
34.501022717	0.173621169554
35.4553406774	0.189604860176
36.4096586377	0.206515825575
37.3639765981	0.2243308392
38.3182945584	0.243014502841
39.2726125188	0.26251906711
40.2269304791	0.282784639183
41.1812484395	0.303739800106
42.1355663998	0.325302630028
43.0898843602	0.34738211383
44.0442023206	0.369879874474
44.9985202809	0.392692159558
45.9528382413	0.415711990317
46.9071562016	0.438831373448
47.861474162	0.461943475252
48.8157921223	0.484944664612
49.7701100827	0.507736344999
50.724428043	0.530226514186
51.6787460034	0.552331011523
52.6330639637	0.573974434138
53.5873819241	0.595090723464
54.5416998844	0.615623440406
55.4960178448	0.635525760541
56.4503358052	0.654760229471
57.4046537655	0.673298323135
58.3589717259	0.691119858917
59.3132896862	0.708212301534
60.2676076466	0.724570003772
61.2219256069	0.740193416839
62.1762435673	0.755088299229
63.1305615276	0.769264946956
64.084879488	0.78273746232
65.0391974483	0.795523073226
65.9935154087	0.807641510632
66.947833369	0.819114448066
67.9021513294	0.829965004216
68.8564692897	0.840217307398
69.8107872501	0.849896119116
70.7651052105	0.859026512812
71.7194231708	0.867633603303
72.6737411312	0.875742322
73.6280590915	0.883377232993
74.5823770519	0.890562385163
75.5366950122	0.897321195703
76.4910129726	0.903676360789
77.4453309329	0.909649789458
78.3996488933	0.915262557172
79.3539668536	0.920534875902
80.308284814	0.925486077955
81.2626027743	0.930134611113
82.2169207347	0.934498042981
83.1712386951	0.938593072718
84.1255566554	0.942435548618
85.0798746158	0.946040490224
86.0341925761	0.949422113853
86.9885105365	0.952593860637
87.9428284968	0.955568426281
88.8971464572	0.958357791913
89.8514644175	0.960973255523
90.8057823779	0.963425463538
91.7601003382	0.965724442225
92.7144182986	0.967879628636
93.6687362589	0.969899900894
94.6230542193	0.971793607656
95.5773721796	0.97356859664
96.53169014	0.975232242125
