X	Daval2010_Fig2.txt: 50 uM
241.0041841	0.000553537489501
814.920108705	0.00629857781549
1388.83603331	0.0181130856291
1962.75195792	0.0356390200233
2536.66788252	0.0583639647195
3110.58380713	0.0856562128632
3684.49973173	0.116804821387
4258.41565634	0.15106026734
4832.33158094	0.187671931388
5406.24750555	0.225919681951
5980.16343015	0.265138050488
6554.07935476	0.304732623596
7127.99527936	0.344189166285
7701.91120397	0.383076565879
8275.82712857	0.421044959648
8849.74305318	0.457820442116
9423.65897778	0.493197618476
9997.57490239	0.527031053398
10571.490827	0.559226418566
11145.4067516	0.589731906971
11719.3226762	0.618530279505
12293.2386008	0.645631748426
12867.1545254	0.671067782813
13441.07045	0.694885838428
14014.9863746	0.717144961458
14588.9022992	0.737912185356
15162.8182238	0.757259626048
15736.7341484	0.775262177729
16310.650073	0.791995715438
16884.5659976	0.807535718471
17458.4819223	0.821956238441
18032.3978469	0.835329146137
18606.3137715	0.847723601295
19180.2296961	0.85920569859
19754.1456207	0.869838251354
20328.0615453	0.879680681595
20901.9774699	0.888788990933
21475.8933945	0.8972157921
22049.8093191	0.905010384853
22623.7252437	0.912218863533
23197.6411683	0.918884246322
23771.5570929	0.925046618463
24345.4730175	0.930743283499
24919.3889421	0.936008918047
25493.3048667	0.940875726711
26067.2207913	0.945373594657
26641.1367159	0.949530236063
27215.0526405	0.953371337195
27788.9685651	0.956920693268
28362.8844897	0.960200338596
28936.8004144	0.963230669767
29510.716339	0.966030561731
30084.6322636	0.968617476897
30658.5481882	0.971007567344
31232.4641128	0.973215770399
31806.3800374	0.975255897821
32380.295962	0.977140718913
32954.2118866	0.978882037853
33528.1278112	0.980490765579
34102.0437358	0.981976986545
34675.9596604	0.983350020669
35249.875585	0.984618480771
35823.7915096	0.985790325816
36397.7074342	0.986872910223
36971.6233588	0.987873029538
37545.5392834	0.988796962697
38119.455208	0.989650511142
38693.3711326	0.990439035013
39267.2870572	0.991167486612
39841.2029818	0.991840441363
40415.1189065	0.992462126427
40989.0348311	0.993036447165
41562.9507557	0.993567011595
42136.8666803	0.994057153006
42710.7826049	0.994509950846
43284.6985295	0.994928250043
43858.6144541	0.99531467884
44432.5303787	0.995671665299
45006.4463033	0.996001452529
45580.3622279	0.996306112772
46154.2781525	0.996587560413
46728.1940771	0.996847563999
47302.1100017	0.997087757346
47876.0259263	0.997309649801
48449.9418509	0.997514635721
49023.8577755	0.997704003233
49597.7737001	0.997878942325
50171.6896247	0.998040552322
50745.6055493	0.998189848794
51319.5214739	0.998327769933
51893.4373986	0.998455182452
52467.3533232	0.998572887027
53041.2692478	0.998681623333
53615.1851724	0.998782074685
54189.101097	0.998874872336
54763.0170216	0.998960599444
55336.9329462	0.999039794733
55910.8488708	0.999112955883
56484.7647954	0.999180542651
57058.68072	0.999242979768
