m0:35uM_M0:0_L0:10000 X	m0:35uM_M0:0_L0:10000 Y	m0:28uM_M0:0_L0:10000 X	m0:28uM_M0:0_L0:10000 Y	m0:22.4uM_M0:0_L0:10000 X	m0:22.4uM_M0:0_L0:10000 Y	m0:17.5uM_M0:0_L0:10000 X	m0:17.5uM_M0:0_L0:10000 Y	m0:14uM_M0:0_L0:10000 X	m0:14uM_M0:0_L0:10000 Y	m0:11.2uM_M0:0_L0:10000 X	m0:11.2uM_M0:0_L0:10000 Y	m0:9.1uM_M0:0_L0:10000 X	m0:9.1uM_M0:0_L0:10000 Y	m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:5.6uM_M0:0_L0:10000 X	m0:5.6uM_M0:0_L0:10000 Y	m0:4.5uM_M0:0_L0:10000 X	m0:4.5uM_M0:0_L0:10000 Y	m0:3.5uM_M0:0_L0:10000 X	m0:3.5uM_M0:0_L0:10000 Y
0.23333	-0.000481558	0.23333	-0.000594744	0.23333	-0.000642537	0.23333	-0.000229271	0.23333	-0.00289296	0.23333	-0.00100958	0.23333	-0.001437979	0.23333	-0.003664736	1.5333	0.007871193	4.7333	-0.001029238	5.7667	0.002145265
0.23333	0	0.23333	2.46E-05	0.23333	-0.000345025	0.23333	-0.001143542	0.23333	-0.001562183	0.23333	-0.000883403	0.23333	-0.000810441	0.23333	-0.001917644	1.5667	-0.000564607	4.7333	-0.000538531	5.8	-0.003575442
0.26667	-0.000651278	0.26667	-0.000952688	0.26667	-0.001445709	0.26667	-0.002777173	0.26667	-0.001939923	0.26667	-0.005791198	0.26667	-0.004243281	0.26667	-0.003515681	1.5667	0.004448935	4.7667	-0.000538531	5.8	-0.002269815
0.26667	-0.000481558	0.26667	-0.000714156	0.26667	-0.001471667	0.26667	-0.000802447	0.26667	-0.000961343	0.26667	-0.002323795	0.26667	-0.004052486	0.26667	-0.003664736	1.6	0.002258429	4.7667	0.003545153	5.8	0.002156469
0.26667	-0.0002278	0.26667	-0.000966459	0.26667	-0.000658685	0.26667	-0.000890753	0.26667	-0.00096432	0.26667	-0.001850898	0.26667	-0.003511912	0.26667	-0.003978682	1.6	0.004448935	4.8	-0.005603629	5.8667	-0.003575442
0.3	-0.000368114	0.3	-0.000467895	0.3	-0.000972344	0.3	-0.001375624	0.3	-0.002763862	0.3	-0.003073406	0.3	-0.004862647	0.3	-0.003664736	1.6333	-0.000564607	4.8	0.002217529	5.8667	-0.002269815
0.3	-0.000481558	0.3	-8.66E-05	0.3	-0.001471667	0.3	-0.001688085	0.3	-0.001333697	0.3	-0.001864962	0.3	-0.004243281	0.3	-0.001917644	1.6333	0.001026677	4.8	0.001615592	5.8667	-0.000924201
0.3	-0.0004556	0.3	-0.000966459	0.3	-0.000642537	0.3	-0.001633047	0.3	-0.00096432	0.3	-0.001850898	0.3	-0.002745233	0.3	-0.003978682	1.6667	-0.006712267	4.8333	0	5.9333	-0.002269815
0.33333	-0.000368114	0.33333	-0.000714156	0.33333	-0.000972344	0.33333	-0.001375624	0.33333	-0.00225008	0.33333	-0.00382808	0.33333	-0.002828854	0.33333	-0.005113718	1.6667	-0.000564607	4.8333	0.001257958	5.9333	0.002156469
0.33333	8.50E-05	0.33333	-8.66E-05	0.33333	-0.001044123	0.33333	-0.002375341	0.33333	-0.001333697	0.33333	-0.001574183	0.33333	-0.002745233	0.33333	-0.003664736	1.6667	0.007871193	4.8333	0.003769714	5.9333	0.002145265
0.33333	0.0002278	0.33333	-0.000966459	0.33333	-0.000456724	0.33333	-0.001143542	0.33333	-0.000961343	0.33333	-0.00100958	0.33333	-0.002161176	0.33333	-0.000518958	1.7	-0.001342453	4.8667	-0.000538531	6	-0.005512407
0.36667	0.000198215	0.36667	-0.000375301	0.36667	-0.001286003	0.36667	-0.002232629	0.36667	-0.001333697	0.36667	-0.002323795	0.36667	-0.002828854	0.36667	-0.005113718	1.7	0.005081465	4.8667	0.002217529	6	-0.000715088
0.36667	8.50E-05	0.36667	2.46E-05	0.36667	-0.000456724	0.36667	-0.000802447	0.36667	-0.000360504	0.36667	-0.002692215	0.36667	-0.002161176	0.36667	-0.005258099	1.7	0.001026677	4.8667	0.005832349	6	0.005237138
0.36667	0	0.36667	-0.000223029	0.36667	-0.000240952	0.36667	-0.002375341	0.36667	-0.00096432	0.36667	-0.001864962	0.36667	-0.000130725	0.36667	-0.003978682	1.7333	-0.006210679	4.9	-0.002217529	6.0667	-0.002269815
0.4	-0.000368114	0.4	-0.000714156	0.4	-0.000972344	0.4	-0.000802447	0.4	-0.002546149	0.4	-0.002846521	0.4	-0.003511912	0.4	-0.006711755	1.7333	-0.001342453	4.9	0.001257958	6.0667	0.002145265
0.4	-0.0004556	0.4	0.000202085	0.4	-0.000964196	0.4	-0.000890753	0.4	-0.00225008	0.4	-0.002692215	0.4	-0.002745233	0.4	-0.005258099	1.7333	0.007871193	4.9	-0.000538531	6.0667	0.005237138
0.4	0.00036825	0.4	-0.000594744	0.4	0.000160634	0.4	-0.000598998	0.4	-0.000961343	0.4	-0.000824572	0.4	-0.001414427	0.4	-0.003978682	1.7667	-0.00402736	4.9333	-0.004435058	6.1333	-0.000924201
0.43333	0.000198215	0.43333	-0.000594744	0.43333	-0.001044123	0.43333	-0.000802447	0.43333	-0.002163023	0.43333	-0.003073406	0.43333	-0.005657709	0.43333	-0.005113718	1.7667	0.005081465	4.9333	0.001615592	6.1333	0.000972778
0.43333	8.50E-05	0.43333	2.46E-05	0.43333	-0.000658685	0.43333	-0.002375341	0.43333	-0.001939923	0.43333	-0.00382808	0.43333	-0.004052486	0.43333	-0.003664736	1.7667	0.004448935	4.9333	0.005832349	6.1333	0.002145265
0.43333	0	0.43333	0.000779472	0.43333	-0.000964196	0.43333	-0.001143542	0.43333	-0.00225008	0.43333	-0.001850898	0.43333	0.000540294	0.43333	-0.003978682	1.8	-0.001342453	4.9667	-0.002217529	6.2	-0.003575442
0.46667	0.000198215	0.46667	-0.000467895	0.46667	-0.000972344	0.46667	-0.001375624	0.46667	-0.001939923	0.46667	-0.004809639	0.46667	-0.00535974	0.46667	-0.009168266	1.8	-0.000564607	4.9667	0.001257958	6.2	-0.002269815
0.46667	8.50E-05	0.46667	0.000490779	0.46667	-0.001471667	0.46667	-0.001633047	0.46667	-0.000961343	0.46667	-0.002323795	0.46667	-0.004243281	0.46667	-0.003515681	1.8	0.001026677	4.9667	-0.000538531	6.2	0.002156469
0.46667	0.0006834	0.46667	0.000520401	0.46667	-0.001044123	0.46667	-0.000598998	0.46667	-0.0016072	0.46667	-0.001850898	0.46667	-0.003511912	0.46667	-0.002071372	1.8333	-0.001342453	5	0	6.2667	-0.000715088
0.5	0.000198215	0.5	-8.66E-05	0.5	-0.000972344	0.5	-0.000229271	0.5	-0.002163023	0.5	-0.001574183	0.5	-0.004052486	0.5	-0.008309792	1.8333	0.002258429	5	-0.000538531	6.2667	0.000972778
0.5	0.0004556	0.5	-0.000221635	0.5	-0.001044123	0.5	-0.001633047	0.5	-0.001939923	0.5	-0.001850898	0.5	-0.002828854	0.5	-0.007438405	1.8333	0.004448935	5	0.005832349	6.2667	0.002156469
0.5	0.000934789	0.5	0.000148686	0.5	5.07E-05	0.5	-0.001143542	0.5	-0.00225008	0.5	-0.000883403	0.5	-0.002161176	0.5	-0.003664736	1.8667	-0.000564607	5.0333	0	6.3333	-0.000924201
0.53333	0.000651519	0.53333	-0.000221635	0.53333	-0.000972344	0.53333	-0.001633047	0.53333	-0.002763862	0.53333	-0.00382808	0.53333	-0.004862647	0.53333	-0.005113718	1.8667	0.00402736	5.0333	0.003545153	6.3333	-0.000715088
0.53333	0.001047708	0.53333	0.000490779	0.53333	-0.001471667	0.53333	0.000343906	0.53333	-0.0016072	0.53333	-0.002692215	0.53333	-0.004243281	0.53333	-0.007438405	1.8667	-0.00239558	5.0333	0.003769714	6.3333	0.00421537
0.53333	0.000911199	0.53333	-0.000223029	0.53333	-0.000642537	0.53333	-0.000598998	0.53333	-0.000727471	0.53333	-0.000824572	0.53333	-0.002745233	0.53333	-0.002071372	1.9	0.002258429	5.0667	-0.001029238	6.4	-0.003575442
0.56667	0.001047708	0.56667	-0.000221635	0.56667	-0.000972344	0.56667	-0.001375624	0.56667	-0.001562183	0.56667	-0.00382808	0.56667	-0.005657709	0.56667	-0.006851463	1.9	0.00402736	5.0667	0	6.4	-0.002269815
0.56667	0.0006834	0.56667	0.000490779	0.56667	-0.000964196	0.56667	-0.002375341	0.56667	-0.0016072	0.56667	-0.002692215	0.56667	-0.002161176	0.56667	-0.001917644	1.9	0.001026677	5.0667	0.001615592	6.4	0.008317808
0.56667	0.001218058	0.56667	0.000520401	0.56667	0.000160634	0.56667	-0.001143542	0.56667	-0.000727471	0.56667	-0.000824572	0.56667	-0.001437979	0.56667	-0.003978682	1.9333	0.005081465	5.1	-0.006652587	6.4667	-0.002269815
0.6	0.001330872	0.6	0.000270887	0.6	-0.001044123	0.6	-0.000802447	0.6	-0.001939923	0.6	-0.002692215	0.6	-0.002828854	0.6	-0.019496051	1.9333	0.006712267	5.1	-0.001029238	6.4667	0.002156469
0.6	0.001218058	0.6	0.000779472	0.6	-0.000345025	0.6	-0.000890753	0.6	-0.000961343	0.6	-0.001864962	0.6	-0.002161176	0.6	-0.008444826	1.9333	0.007871193	5.1	-0.000538531	6.4667	0.002145265
0.6	0.001138999	0.6	0.000520401	0.6	-0.000456724	0.6	-0.000598998	0.6	-0.0016072	0.6	-7.50E-05	0.6	-0.001437979	0.6	-0.005708543	1.9667	0.001342453	5.1333	0	6.5333	-0.00400487
0.63333	0.001330872	0.63333	0.000517148	0.63333	-0.001044123	0.63333	-0.001375624	0.63333	-0.00289296	0.63333	-0.002846521	0.63333	-0.00535974	0.63333	-0.006711755	1.9667	0.005081465	5.1333	-0.000538531	6.5333	-0.002269815
0.63333	0.001784597	0.63333	0.001068166	0.63333	-0.000964196	0.63333	-0.001633047	0.63333	-0.001333697	0.63333	-0.001574183	0.63333	-0.002828854	0.63333	-0.006851463	1.9667	0.004448935	5.1333	0.003545153	6.5333	0.005005619
0.63333	0.001366799	0.63333	0.000520401	0.63333	-3.14E-05	0.63333	-0.000598998	0.63333	-0.000961343	0.63333	-0.001850898	0.63333	-0.002161176	0.63333	-0.003978682	2	0.001342453	5.1667	0.001257958	6.6	0.000972778
0.66667	0.001501328	0.66667	0.000490779	0.66667	-0.000345025	0.66667	-0.001633047	0.66667	-0.001939923	0.66667	-0.001864962	0.66667	-0.003511912	0.66667	-0.005258099	2	0.002258429	5.1667	0.004435058	6.6	0.002156469
0.66667	0.001897201	0.66667	0.000517148	0.66667	-0.000240952	0.66667	-0.001143542	0.66667	-0.00225008	0.66667	-0.001850898	0.66667	-0.002745233	0.66667	-0.003515681	2	0.007871193	5.1667	0.003769714	6.6	0.005005619
0.66667	0.001366799	0.66667	0.000892116	0.66667	5.07E-05	0.66667	0.000343906	0.66667	-0.000360504	0.66667	-7.50E-05	0.66667	-0.001414427	0.66667	-0.005708543	2.0333	-0.001342453	5.2	0.001257958	6.6667	-0.00708554
