X	Romero2010_1min.txt: acid 1min
-756.302521	0.00426906769166
563.789151939	0.00213705947455
1883.88082488	0.0215242247196
3203.97249782	0.0562398033982
4524.06417076	0.101435195236
5844.1558437	0.153344997379
7164.24751664	0.209074909257
8484.33918958	0.266428356348
9804.43086252	0.323765067375
11124.5225355	0.379885985556
12444.6142084	0.433939850563
13764.7058813	0.485347588581
15084.7975543	0.533741310906
16404.8892272	0.578915275199
17724.9809002	0.620786623252
19045.0725731	0.659364092315
20365.164246	0.694723213131
21685.255919	0.726986771987
23005.3475919	0.756309532378
24325.4392648	0.7828663916
25645.5309378	0.806843298089
26965.6226107	0.828430377885
28285.7142837	0.847816820843
29605.8059566	0.865187161031
30925.8976295	0.880718654467
32245.9893025	0.894579514538
33566.0809754	0.906927811437
34886.1726484	0.917910880338
36206.2643213	0.927665114002
37526.3559942	0.936316040788
38846.4476672	0.943978609752
40166.5393401	0.950757621205
41486.6310131	0.95674825457
42806.722686	0.962036656328
44126.8143589	0.966700559525
45446.9060319	0.970809913407
46766.9977048	0.974427507197
48087.0893778	0.977609576514
49407.1810507	0.98040638438
50727.2727236	0.982862771422
52047.3643966	0.985018672029
53367.4560695	0.986909594758
54687.5477425	0.988567066526
56007.6394154	0.990019040988
57327.7310883	0.991290272167
58647.8227613	0.992402654822
59967.9144342	0.993375533347
61288.0061072	0.99422598119
62608.0977801	0.994969052837
63928.189453	0.995618010445
65248.281126	0.996184527191
66568.3727989	0.996678869318
67888.4644718	0.99711005878
69208.5561448	0.997486018301
70528.6478177	0.997813700509
71848.7394907	0.998099202735
73168.8311636	0.998347868901
74488.9228365	0.998564379846
75809.0145095	0.99875283329
77129.1061824	0.998916814545
78449.1978554	0.99905945898
79769.2895283	0.999183507136
81089.3812012	0.999291353322
82409.4728742	0.999385088415
83729.5645471	0.999466537521
85049.6562201	0.999537293102
86369.747893	0.999598744073
87689.8395659	0.999652101359
89009.9312389	0.999698420311
90330.0229118	0.999738620373
91650.1145848	0.999773502306
92970.2062577	0.999803763281
94290.2979306	0.999830010085
95610.3896036	0.999852770678
96930.4812765	0.999872504296
98250.5729495	0.999889610285
99570.6646224	0.999904435812
100890.756295	0.999917282604
102210.847968	0.999928412829
103530.939641	0.999938054219
104851.031314	0.999946404555
106171.122987	0.999953635556
107491.21466	0.999959896285
108811.306333	0.999965316107
110131.398006	0.999970007269
111451.489679	0.999974067144
112771.581352	0.999977580186
114091.673025	0.999980619625
115411.764698	0.999983248955
116731.856371	0.999985523209
118051.948044	0.999987490085
119372.039716	0.99998919091
120692.131389	0.99999066149
122012.223062	0.999991932841
123332.314735	0.999993031823
124652.406408	0.999993981695
125972.498081	0.999994802597
127292.589754	0.99999551196
128612.681427	0.999996124872
129932.7731	0.999996654393
