Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4 X	Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4 Y
0.0	8.98416483533e-17
3037.974684	-0.00535202552104
7594.936709	-0.00958478172447
11772.1519	-0.00423555931857
15569.62025	-0.00216803413957
18227.8481	-0.00655924558021
22405.06329	0.00606280044954
25063.29114	0.021801604266
26962.02532	0.0128878863749
29620.25316	0.0159834009095
31139.24051	0.00391141872614
33797.46835	-0.00864482940904
34936.70886	-0.0174018667113
37215.18987	-0.0299843738505
39493.67089	-0.018548050282
42531.64557	-0.00287764984808
45569.62025	0.00143227756828
48607.59494	0.0160991528946
53544.3038	0.0204515876953
57341.77215	0.0254753711954
64936.70886	0.0182426392572
69493.67089	0.0121225760844
74810.12658	0.00250849947003
78987.34177	-0.00558059251935
84303.79747	-0.014573130118
90379.74684	-0.032242562849
