X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM
0.0	0.0
72.9956390505	0.000739511513739
145.991278101	0.00295258697098
218.986917152	0.00662294715615
291.982556202	0.0117237835683
364.978195253	0.0182182324619
437.973834303	0.0260600166223
510.969473354	0.035194234372
583.965112404	0.0455582712983
656.960751455	0.0570828073786
729.956390505	0.0696928906429
802.952029556	0.0833090482299
875.947668606	0.0978484065985
948.943307657	0.113225794588
1021.93894671	0.129354805795
1094.93458576	0.146148800121
1167.93022481	0.163521828132
1240.92586386	0.181389465825
1313.92150291	0.199669551278
1386.91714196	0.218282818434
1459.91278101	0.237153426583
1532.90842006	0.256209387099
1605.90405911	0.275382891451
1678.89969816	0.294610546445
1751.89533721	0.313833524155
1824.89097626	0.332997634954
1897.88661531	0.352053332663
1970.88225436	0.37095566102
2043.87789341	0.38966415057
2116.87353246	0.408142674745
2189.86917152	0.426359273353
2262.86481057	0.44428595107
2335.86044962	0.461898457741
2408.85608867	0.479176056573
2481.85172772	0.496101285457
2554.84736677	0.512659715943
2627.84300582	0.5288397136
2700.83864487	0.544632202882
2773.83428392	0.56003043893
2846.82992297	0.575029788251
2919.82556202	0.589627519676
2992.82120107	0.603822606605
3065.81684012	0.61761554118
3138.81247917	0.631008160724
3211.80811822	0.64400348652
3284.80375727	0.656605574838
3357.79939632	0.668819379916
3430.79503537	0.680650628497
3503.79067442	0.692105705451
3576.78631347	0.703191549904
3649.78195253	0.71391556129
3722.77759158	0.724285514696
3795.77323063	0.734309484885
3868.76886968	0.743995778334
3941.76450873	0.753352872718
4014.76014778	0.762389363194
4087.75578683	0.771113914949
4160.75142588	0.779535221447
4233.74706493	0.787661967865
4306.74270398	0.795502799236
4379.73834303	0.803066292849
4452.73398208	0.810360934484
4525.72962113	0.817395098102
4598.72526018	0.824177028627
4671.72089923	0.830714827497
4744.71653828	0.837016440685
4817.71217733	0.843089648917
4890.70781638	0.848942059839
4963.70345543	0.854581101912
5036.69909448	0.860014019827
5109.69473354	0.865247871256
5182.69037259	0.870289524781
5255.68601164	0.875145658842
5328.68165069	0.879822761582
5401.67728974	0.884327131458
5474.67292879	0.88866487852
5547.66856784	0.89284192626
5620.66420689	0.896864013944
5693.65984594	0.900736699354
5766.65548499	0.90446536187
5839.65112404	0.908055205842
5912.64676309	0.911511264186
5985.64240214	0.914838402165
6058.63804119	0.918041321318
6131.63368024	0.921124563495
6204.62931929	0.924092514968
6277.62495834	0.926949410597
6350.62059739	0.929699338013
6423.61623644	0.932346241818
6496.61187549	0.934893927763
6569.60751455	0.937346066909
6642.6031536	0.939706199736
6715.59879265	0.941977740217
6788.5944317	0.944163979811
6861.59007075	0.946268091411
6934.5857098	0.948293133198
7007.58134885	0.950242052428
7080.5769879	0.95211768913
7153.57262695	0.953922779716
7226.568266	0.95565996051
