X	1.txt: 3.95mM
0.28164	8.47428682782e-10
1.05859313131	1.21252824448e-08
1.83554626263	3.75845466971e-08
2.61249939394	7.97827437449e-08
3.38945252525	1.42958912819e-07
4.16640565657	2.33459441668e-07
4.94335878788	3.60375586816e-07
5.72031191919	5.36456726041e-07
6.49726505051	7.79391073236e-07
7.27421818182	1.11358249766e-06
8.05117131313	1.57260191458e-06
8.82812444444	2.20255945338e-06
9.60507757576	3.06673606376e-06
10.3820307071	4.25193965992e-06
11.1589838384	5.87722398371e-06
11.9359369697	8.10584543587e-06
12.712890101	1.11616578478e-05
13.4898432323	1.53515899777e-05
14.2667963636	2.10964596276e-05
15.0437494949	2.89732121782e-05
15.8207026263	3.97728121962e-05
16.5976557576	5.45795765535e-05
17.3746088889	7.48798675535e-05
18.1515620202	0.000102710969169
18.9285151515	0.000140864922004
19.7054682828	0.000193167455627
20.4824214141	0.000264859404723
21.2593745455	0.000363117735352
22.0363276768	0.000497766292639
22.8132808081	0.000682243495954
23.5902339394	0.000934916392503
24.3671870707	0.00128085852521
25.144140202	0.00175424315508
25.9210933333	0.00240154213344
26.6980464646	0.00328575944953
27.474999596	0.00449195597521
28.2519527273	0.00613431513705
29.0289058586	0.00836491515395
29.8058589899	0.0113841386328
30.5828121212	0.0154521519215
31.3597652525	0.0208999778099
32.1367183838	0.0281372332899
32.9136715152	0.0376516311975
33.6906246465	0.0499933074092
34.4675777778	0.0657361954218
35.2445309091	0.0854112166533
36.0214840404	0.109414233073
36.7984371717	0.137905327316
37.575390303	0.170729428414
38.3523434343	0.207391182007
39.1292965657	0.24710172376
39.906249697	0.288886725819
40.6832028283	0.3317208598
41.4601559596	0.374648613386
42.2371090909	0.416865181868
43.0140622222	0.45775160114
43.7910153535	0.496873294763
44.5679684848	0.533956670797
45.3449216162	0.568856825628
46.1218747475	0.601525038088
46.8988278788	0.631980504117
47.6757810101	0.660287811256
48.4527341414	0.686540010145
49.2296872727	0.710846428487
50.006640404	0.733324197695
50.7835935354	0.754092543024
51.5605466667	0.773269060315
52.337499798	0.790967384645
53.1144529293	0.807295814358
53.8914060606	0.82235657897
54.6683591919	0.836245533099
55.4453123232	0.849052126339
56.2222654545	0.860859546916
56.9992185859	0.871744970339
57.7761717172	0.88177986724
58.5531248485	0.891030340215
59.3300779798	0.899557470135
60.1070311111	0.907417659481
60.8839842424	0.914662965069
61.6609373737	0.921341415681
62.4378905051	0.927497312189
63.2148436364	0.933171509154
63.9917967677	0.938401677707
64.768749899	0.943222550106
65.5457030303	0.947666146647
66.3226561616	0.951761985846
67.0996092929	0.955537278833
67.8765624242	0.959017109003
68.6535155556	0.96222459791
69.4304686869	0.965181058387
70.2074218182	0.967906135813
70.9843749495	0.970417938431
71.7613280808	0.972733157516
72.5382812121	0.974867178189
73.3152343434	0.976834181585
74.0921874747	0.97864723904
74.8691406061	0.980318398926
75.6460937374	0.981858766692
76.4230468687	0.983278578649
77.2	0.98458726999
