time	M0:1e-6_P0:1e-9_cd:2e-6_m0:3e-6	M0:1e-6_P0:1e-9_cd:2e-6_m0:3e-6	M0:1e-6_P0:1e-9_cd:2e-6_m0:3e-6	M0:1e-6_P0:1e-9_cd:1e-6_m0:3e-6	M0:1e-6_P0:1e-9_cd:1e-6_m0:3e-6	M0:1e-6_P0:1e-9_cd:1e-6_m0:3e-6	M0:1e-6_P0:1e-9_cd:5e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:5e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:5e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:2.5e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:2.5e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:2.5e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:1.25e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:1.25e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:1.25e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:2e-6_m0:3e-6	M0:3e-8_P0:3e-11_cd:2e-6_m0:3e-6	M0:3e-8_P0:3e-11_cd:2e-6_m0:3e-6	M0:3e-8_P0:3e-11_cd:1e-6_m0:3e-6	M0:3e-8_P0:3e-11_cd:1e-6_m0:3e-6	M0:3e-8_P0:3e-11_cd:1e-6_m0:3e-6	M0:3e-8_P0:3e-11_cd:5e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:5e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:5e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:2.5e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:2.5e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:2.5e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:1.25e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:1.25e-7_m0:3e-6	M0:3e-8_P0:3e-11_cd:1.25e-7_m0:3e-6	M0:0_P0:0_cd:2e-6_m0:3e-6	M0:0_P0:0_cd:2e-6_m0:3e-6	M0:0_P0:0_cd:2e-6_m0:3e-6	M0:0_P0:0_cd:1e-6_m0:3e-6	M0:0_P0:0_cd:1e-6_m0:3e-6	M0:0_P0:0_cd:1e-6_m0:3e-6	M0:0_P0:0_cd:5e-7_m0:3e-6	M0:0_P0:0_cd:5e-7_m0:3e-6	M0:0_P0:0_cd:5e-7_m0:3e-6	M0:0_P0:0_cd:2.5e-7_m0:3e-6	M0:0_P0:0_cd:2.5e-7_m0:3e-6	M0:0_P0:0_cd:2.5e-7_m0:3e-6	M0:0_P0:0_cd:1.25e-7_m0:3e-6	M0:0_P0:0_cd:1.25e-7_m0:3e-6	M0:0_P0:0_cd:1.25e-7_m0:3e-6	M0:1e-6_P0:1e-9_cd:0_m0:12e-6	M0:1e-6_P0:1e-9_cd:0_m0:12e-6	M0:1e-6_P0:1e-9_cd:0_m0:12e-6	M0:1e-6_P0:1e-9_cd:0_m0:6e-6	M0:1e-6_P0:1e-9_cd:0_m0:6e-6	M0:1e-6_P0:1e-9_cd:0_m0:6e-6	M0:1e-6_P0:1e-9_cd:0_m0:3e-6	M0:1e-6_P0:1e-9_cd:0_m0:3e-6	M0:1e-6_P0:1e-9_cd:0_m0:3e-6	M0:1e-6_P0:1e-9_cd:0_m0:3e-6	M0:1e-6_P0:1e-9_cd:0_m0:3e-6	M0:1e-6_P0:1e-9_cd:0_m0:1.5e-6	M0:1e-6_P0:1e-9_cd:0_m0:1.5e-6	M0:1e-6_P0:1e-9_cd:0_m0:1.5e-6	M0:1e-6_P0:1e-9_cd:0_m0:7.5e-7	M0:1e-6_P0:1e-9_cd:0_m0:7.5e-7	M0:1e-6_P0:1e-9_cd:0_m0:7.5e-7	M0:3e-8_P0:3e-11_cd:0_m0:12e-6	M0:3e-8_P0:3e-11_cd:0_m0:12e-6	M0:3e-8_P0:3e-11_cd:0_m0:12e-6	M0:3e-8_P0:3e-11_cd:0_m0:6e-6	M0:3e-8_P0:3e-11_cd:0_m0:6e-6	M0:3e-8_P0:3e-11_cd:0_m0:6e-6	M0:3e-8_P0:3e-11_cd:0_m0:3e-6	M0:3e-8_P0:3e-11_cd:0_m0:3e-6	M0:3e-8_P0:3e-11_cd:0_m0:3e-6	M0:3e-8_P0:3e-11_cd:0_m0:3e-6	M0:3e-8_P0:3e-11_cd:0_m0:3e-6	M0:3e-8_P0:3e-11_cd:0_m0:1.5e-6	M0:3e-8_P0:3e-11_cd:0_m0:1.5e-6	M0:3e-8_P0:3e-11_cd:0_m0:1.5e-6	M0:3e-8_P0:3e-11_cd:0_m0:7.5e-7	M0:3e-8_P0:3e-11_cd:0_m0:7.5e-7	M0:3e-8_P0:3e-11_cd:0_m0:7.5e-7	M0:0_P0:0_cd:0_m0:12e-6	M0:0_P0:0_cd:0_m0:12e-6	M0:0_P0:0_cd:0_m0:12e-6	M0:0_P0:0_cd:0_m0:6e-6	M0:0_P0:0_cd:0_m0:6e-6	M0:0_P0:0_cd:0_m0:6e-6	M0:0_P0:0_cd:0_m0:3e-6	M0:0_P0:0_cd:0_m0:3e-6	M0:0_P0:0_cd:0_m0:3e-6	M0:0_P0:0_cd:0_m0:3e-6	M0:0_P0:0_cd:0_m0:3e-6	M0:0_P0:0_cd:0_m0:1.5e-6	M0:0_P0:0_cd:0_m0:1.5e-6	M0:0_P0:0_cd:0_m0:1.5e-6	M0:0_P0:0_cd:0_m0:7.5e-7	M0:0_P0:0_cd:0_m0:7.5e-7	M0:0_P0:0_cd:0_m0:7.5e-7
0.0	0.25000000000000006	0.25000000000000006	0.25000000000000006	0.24999999999999994	0.25000000000000006	0.25000000000000006	0.25000000000000006	0.25	0.24669048568012295	0.24999999999999997	0.25	0.24999999999999997	0.24999999999999997	0.24999999999999997	0.24999999999999997	0.01602721912727397	0.037939886480908035	-0.0036281832267291213	0.021484918793503498	0.019646707550374384	0.012104754541940311	0.012266341293358938	0.03165758320869988	0.01761957887898777	0.01424463715198533	0.016030410118106443	0.0035642562813321664	-0.008368748496201983	-0.00916489534171565	0.00895906616095204	0.02733257344902206	-0.01336818521284548	-0.004337736598958167	0.0039012102967376167	-0.010194032171674411	-0.000611675473225168	0.00594827631585864	0.004456615435135829	-0.02118403093721538	-0.01610767177137081	0.018070090762475535	0.00511932413220132	-0.034693638986815406	0.0118356256136638	0.018498652502682005	0.07700000000000003	0.07700000000000003	0.07699999999999997	0.14290000000000008	0.14289999999999994	0.14290000000000003	0.25	0.25	0.25	0.24999999999999997	0.25	0.4000000000000001	0.4000000000000001	0.4	0.571	0.5709999999999998	0.5910427435387673	0.010000000000000002	0.009999999999999995	0.010000000000000002	0.009999999999999992	0.009999999999999962	0.009999999999999998	0.0011571704832205982	0.010607365511922462	0.013290587606959009	-0.0017810499151544473	0.007229653880619669	0.04555892340407399	0.03173039604750001	0.026005339809081714	0.020875485987363936	-0.06218184183584048	0.013372856096574256	0.0006758301466388119	0.00020860016771453486	-0.004415024416670161	0.006015960270694243	-0.005527967689454114	-5.969388124922547e-05	0.013677890681010836	0.0021941465831474744	0.0019116733839055031	-0.0070492942233066885	-0.02513457144730158	0.0386919645704045	0.006673628976795082	0.01769415650481428	0.027929786159286225	-0.00925433754480673	0.051316869828838485
0.033333	0.2604035757475162	0.2672624834549565	0.2482837092222025	0.2399518963186769	0.2519062411748094	0.2617592295345105	0.2666867936416261	0.26654876200101063	0.2524234185503615	0.2687182796449064	0.24494692453104552	0.2270299326177496	0.28628089271278434	0.27190515659226805	0.260913030256956	-0.0020398090819084202	-0.00015995872033034995	0.01121926025982286	0.0008550438712851892	0.0048447640843179915	0.011817742558948428	0.01330172564057874	0.011016375573525352	-0.0012546073350185318	0.008356914650844297	0.015339905142750727	0.01777591003079292	-0.057914687381844576	-0.020162121266707543	0.018952031015813935	-0.0764730512456673	-0.02531740104555646	0.000277786087617928	0.01781655096147928	0.0014686317535463136	0.01350391237043058	-0.00431644830000378	0.0077990770114876205	0.012298111919927458	0.0024174646051650607	-0.02095424205681179	0.009244036718717898	-0.01740526772365686	0.0034441289969021176	-0.012585363300975858	0.4348203985892439	0.386874233978998	0.3786575909458367	0.30417085320358817	0.26199419412156655	0.2529522763724613	0.2940915682235912	0.331819384749592	0.2901062724459603	0.3150150408967822	0.34611730689797604	0.4465686157660128	0.42936681173776053	0.4236089049435176	0.5725832954803542	0.5743041392513697	0.5685479622266401	0.03922119198771384	0.030681173920293472	0.029751179295065336	-0.004258281325012012	-0.0006095983906890248	0.002747792683471553	0.018842829516779545	0.009392634488077742	0.006709412393040983	0.021781049915154622	0.00809438619533953	0.053154579510956874	-0.007519661865285237	0.007874809651906178	-0.004083002591933016	0.031895345351290155	0.06445268746287884	0.0016126705568071194	0.0022528818113169767	-0.000764587121788722	-0.010857490050296782	0.003554908452602749	0.0018590380160483048	-0.006568591717967029	-0.004574087836642313	0.024133354438856978	-0.01840272482334397	-0.00770159009185086	-0.007558492731831158	-0.013130747089839316	0.032955366490216596	-0.03281276309142937	0.057665835275517385	-0.004473778395334637
0.066667	0.2758222085220402	0.30120764176027554	0.294737979607923	0.24645185656356836	0.25323483350876747	0.25323595505617985	0.27723048449129073	0.2689805457301668	0.2508860957695154	0.2932835690740708	0.2645048713101643	0.2626849625842278	0.3332804018939831	0.28222870167544845	0.25673939486087877	0.00044715026672397407	-0.015201238390092988	0.016135632275237424	0.007660037335211368	0.005508528365307067	0.006077502899110777	0.027164371622799412	-0.016024233820882614	0.013635028456030884	0.018215426745778116	-0.00944155119501548	0.005331508561057855	-0.020006599525659242	0.013542890081781129	0.0020889028232344855	0.04914047779664588	0.030787901418969324	0.0040599505113400065	-0.02171776125821723	0.008725400418128098	-0.012892236897205669	-0.0016318280158551474	-0.01225569244662313	0.008885919017288697	-0.011929662290705275	0.0028841512943365757	-0.014363360850919537	-0.00836117314826787	-0.015279754610566123	-0.005913289201705862	0.7781086754754553	0.7416719890370462	0.7313823767178658	0.5290032216977145	0.4447728155771081	0.46808838716653356	0.34313607773231486	0.4090442398074954	0.37366453594741716	0.39829601374532225	0.46788517141676994	0.49651259803103626	0.48697094245413686	0.4363325565831593	0.545180104474222	0.5924297031445985	0.495093439363817	0.10802189499273178	0.10418876104719024	0.112966179209071	0.023857074274741093	0.017557116172138763	0.027187141729821476	0.01907630356342719	0.0010052059901022943	-0.0021217372529857676	0.018560717364315114	0.014675959924040685	-0.001515389752163121	0.005789265817785623	-0.0038801494609878484	-0.036408755872347744	0.021311661792737954	0.02910082677150985	-0.002288500703445982	-0.0024614819790315114	0.005179611538458832	0.004841529779602539	0.0019730592368512726	-0.001799344134798986	-0.0015219907639191337	0.008210354956293952	0.01591437651442287	-0.010099469608391332	0.006817801064917288	0.020836200212792474	-0.012748669094984634	-0.022707500847844994	-0.01096565078295994	-0.008300282127816368	-0.027526895303059004
0.1	0.27963685296279617	0.3172577981328992	0.3242867858323375	0.27301820783970737	0.25447677851659783	0.2677688603531301	0.3023049761757873	0.26121147043961596	0.2762839492114103	0.31451331600885984	0.29809509960738695	0.29015000169302135	0.3777464199099203	0.3211547569711681	0.2800707009274745	-0.0009426211339823639	0.006793085655314644	0.009351038893965326	0.015539503451336418	0.015996004004934467	-0.005905247390800316	-0.0005609203416419338	0.007628456995107649	0.038171470534239076	-0.0017754450022821294	0.0036780433367430997	0.0029015366764350327	-0.004761695253153827	0.019071225276506783	0.008675175113938918	0.05856149247481937	-0.007300224047796934	-0.021581842191860524	0.06214290102598748	-0.01045320248112376	-0.021785057238708792	-0.025714451153070826	0.006655603314314639	0.03191822111010033	0.011955939079892041	-0.018923564104676927	-0.029370293878458575	0.009665491549616307	0.008296354931764314	-0.02459509667966185	0.9376660760390828	0.9119010100699043	0.9375762489894907	0.7374084179454056	0.6662849707559043	0.6492691874260382	0.4103644625885526	0.5594875200321495	0.5264664694057326	0.5114780669806441	0.5934531185460553	0.5784939572358228	0.5228457838993498	0.4702461679876795	0.5928007608448784	0.562031622031996	0.6293158548707752	0.2678684822154513	0.2841898727141348	0.2787770198115317	0.06450243467526233	0.05937315899130681	0.06173830829474561	0.039680388180081676	0.01199562953917357	0.034834092794400064	0.03890248464378468	0.06141954560306422	-0.03199178771187838	0.04721988250350338	-0.022608389403564775	0.017567734488902895	0.03559123484792743	-0.018515965180130017	0.005639686051261934	0.0033097893277372866	0.011683264190259097	0.001198398460297658	-0.00032317349569119274	-0.0026435861696098993	0.0028637457794796323	0.0028134621509713765	0.010861227123844864	0.007580250679228913	-0.0036225638136952597	-0.022930560543459554	-0.009883084133574511	0.007003936949822319	0.027929786159286225	-0.01824971719071588	-0.0031053285332322774
0.13333	0.30713963910558895	0.3290384547807855	0.3319242797935366	0.3012244573427685	0.2724705399091166	0.2708603531300161	0.35596852316133526	0.30675214754926733	0.3110018220121847	0.3548537593525995	0.3411371237458194	0.3407755730877324	0.43582183277514724	0.3714774140074596	0.32813592823475746	0.02100113782453876	0.02062822497420009	0.016922251797703753	-0.006809527714400085	-0.006903863689188653	0.009162881716273514	-0.0021715182150949582	0.01572181804354994	0.01908757114007715	0.010958466453674055	0.024393192597414542	0.020426788450381452	-0.023681710377066796	0.04671290125013506	0.037859174746887866	0.07129730861383168	0.015197908887229213	-0.05337766514382918	0.024543834859003393	0.028767904348877788	0.004328780272054344	0.010212085002447645	0.05186679411023098	-0.007961783439490182	0.021809735024857932	-0.01901185445042192	0.004856044605402389	6.767689818309339e-05	0.01463279115258436	-0.060938276773332536	0.9761380381039169	0.9650531672466357	1.017863071948262	0.8503807977882142	0.8114722662323239	0.8048354812549934	0.528403790558701	0.6554948124696761	0.6475476023761662	0.6343352257246597	0.7096860801321768	0.6029796667540703	0.5493619710545071	0.5027084122850163	0.6267807176924823	0.5983771537970642	0.5835800198807156	0.5098986555850299	0.549529486965705	0.5222923432205974	0.13752211782456622	0.13150657374811406	0.13582284889001384	0.06419516307808418	0.0692615206632818	0.07111493051215327	0.0697640049226633	0.0582488604490914	0.02005252265009691	0.030376945774645347	0.016176334449147723	0.0034346144500238974	0.07859794899061572	0.02318480110479096	0.010267957331347154	0.01706349371904895	0.025949340974853227	0.006519287624019259	0.004907134395099978	0.008331560282931973	-0.006328277386821891	-0.008643875853770812	-0.05282063146102978	0.027971237975813284	0.029640924287930765	0.020634819411766776	0.004381161007666985	-0.029490260841357134	-0.01715356120559001	0.0124163497839744	0.022368891976673185
0.16667	0.3400576198041401	0.350781277453059	0.3483720664140965	0.3344398505207919	0.29762714692819187	0.3066292134831461	0.3847938516466929	0.32538529560384033	0.3308268803735125	0.4486021242827493	0.3901410498763996	0.3665645210442556	0.48740111444739576	0.4170638209697472	0.39597460848411126	-0.008476645043074616	0.04765995872033012	0.0355061380159708	-0.012540048526127393	-0.0160638107668379	-0.007842578275995523	-0.023166811922607597	0.017980430429161743	0.017829292059143395	0.02328160657234133	-0.015656095973216915	0.03272391889680604	0.030287973051936746	0.023767337968800623	0.0637500382344846	0.01983065435343947	-0.03801344286781188	-0.022479304936472544	0.07615039626466784	-0.018833042486652726	-0.01860904997388625	-0.03353143374515067	0.049052089624882105	0.06870592584167447	-0.008145804647838373	-0.004090786019517945	-0.014977679746783708	-0.0023933012175690127	0.015032386229573012	-0.012742353279782211	0.9870410233044771	0.9684640008622548	1.030547793047696	0.8896766633666952	0.8999045280225069	0.8914356818905396	0.5879429938394184	0.7067330075913884	0.7448275472635693	0.7289177226803377	0.7732548533663776	0.682329384281662	0.5958863156573694	0.540056925843204	0.6135053940495117	0.6532258653698036	0.6405099403578528	0.7469041498649015	0.7653290534155966	0.7428368593617344	0.28041355188258693	0.26617142036065805	0.2696643985527746	0.08479924769473866	0.08863937271032851	0.08090231929182624	0.09869332567103822	0.10427183586584839	-0.006672934022268781	0.05752114291356388	0.015645036862124265	0.05861392353798764	-0.045214349146732995	-0.02356623099318273	0.032360611780092315	0.042957727871346545	0.06049562495323313	0.0034753555348632083	-0.002185673378753415	0.002063702751760041	-0.0021227765917819783	-0.021649502778072757	-0.011116928659271526	0.02966577985641586	0.019103439736028797	-0.0036651305786676337	-0.011411396112993244	0.017841607809021068	0.005072402761407796	0.007373485437025331	0.0076317396155708515
0.2	0.3640125198586774	0.382222716783995	0.3647054336494699	0.34749940367337195	0.3162852044876897	0.32049759229534514	0.4412631426958771	0.36817837291561395	0.37006063884302226	0.5094659643859986	0.450159953468082	0.4344462127112044	0.5132881972514147	0.47800603871884434	0.43292154477725403	0.020050241603002845	0.03815273477812165	-0.018770609034205975	0.0017862535031908768	0.018385555416495142	0.02480503478933111	0.06748683981174834	0.007565717762173988	0.04320458685797409	0.037863989046097606	0.04188598530642598	0.047892834297784875	0.009190114460523004	0.07405735490146627	0.060854349554950754	0.06030612482262927	-0.0006721433905900607	-0.029402588966336685	0.028967254408060344	0.059781951379649936	0.0012233509464500793	0.00594827631585864	0.030580591439780095	0.03533041401273909	-0.009091769058555098	-0.022013726205751715	0.017230182364952124	-0.007007635184604212	0.018000806801488706	-0.05183285800256407	0.9918694881790109	0.9882184122193822	1.045470994341148	0.9352588326552294	0.9474965173613682	0.9392665893759274	0.6696492070675816	0.7407692835474181	0.7870090122648116	0.8043168207825714	0.8022098306484924	0.7289552096493529	0.6598371199727489	0.5925964151232452	0.6131400181694299	0.6548307330061833	0.5779296719681908	0.8875789032793213	0.9092871435717859	0.8916517792228301	0.4693820725601811	0.43814767583878145	0.40288685734705115	0.11655171803881809	0.19246995308181766	0.18929483755866414	0.18585699338042758	0.16888655604908237	-0.01051764884180209	0.09421468364429032	0.06034044637047274	-0.0177650656082946	0.010055998325706255	-0.013032819440244215	0.09208069225514964	0.08980932554003107	0.12666504580413002	0.004505978210719195	-0.008717179817985317	-0.0016458455830151836	-0.026334445454654618	-0.016960399193120354	-0.0009497485601567416	0.03661340156688644	-0.013528770489216004	-0.026756795762947847	-0.0273313125652717	0.00044235391262035704	-0.0387481057417072	-0.027926564991618146	-0.008894924103665337
0.23333	0.3794578284684514	0.3887850959905357	0.38927699661827153	0.3961298401844637	0.3681580703961388	0.34086677367576246	0.4806321620308993	0.41075037897928246	0.39552254740078574	0.5610295271814011	0.4922931510833212	0.4994328378424136	0.5936128594525927	0.5229264105144752	0.4931313668845978	0.02626763997458383	0.0018975748194013317	0.06972408724325617	0.00013872876981927567	0.02694811464125422	0.026168341708542552	0.07450444483179366	0.017666734264493437	0.035934529945912404	0.06257873117298031	0.035211103877987406	0.035522068339705046	0.03185329804420293	0.04635623446337857	0.07374300308934649	0.030472911675079893	-0.07731516056758785	-0.03164624582786673	0.053941143945444386	0.02444839919138863	-0.016562289736556164	0.010685841523179758	0.045797587563697464	0.0012084849863514863	0.00013138394593297412	0.01215463759756094	-0.007781372680946274	0.015879461291890374	0.02633521840725201	-0.02420262173264597	0.9745804687895511	0.9711642441412867	1.0292047049312854	0.9342757892767025	0.9614568342341009	0.9501044860666423	0.6995400345435905	0.8021522002283789	0.8611653829647867	0.8506906023587238	0.8567740603056588	0.7522967271340374	0.7011442837357525	0.6324606316672177	0.7000994776288892	0.6854176220760071	0.5813412027833001	0.9668029697034403	0.9874414985270412	0.9520507616752948	0.6201741993004596	0.603189165888354	0.5717807423730327	0.19756721222555018	0.287450350279581	0.27670634424608814	0.26577491285042804	0.26540029050864894	-0.008360857601576089	0.09323719178056196	0.06273128551207831	-0.014006257087316142	-0.09981271671069274	0.005003844177801189	0.15121349963726566	0.16903566923801142	0.23905935270706966	0.011936048664564674	0.0027129564506705116	0.010608455467725042	-0.02753601711038031	0.0017517783204161158	-0.01129957261314784	0.026389665553917543	0.008954433877284507	-0.005611811655249396	0.025395450724674546	-0.02543534997567053	0.0022941572655330706	-0.03119761213558511	-0.03731657508579127
0.26667	0.40087852417423475	0.39961697492181375	0.40057591090543876	0.4389460920728313	0.3824548792072091	0.37698234349919746	0.50101072417731	0.43756316321374433	0.4418664237317087	0.5887341507229188	0.5416606078231787	0.536116378288694	0.6331418177618663	0.5708069386063584	0.5389387258628554	0.014198572547397212	0.04567337461300297	0.013972428588455016	0.013175663616498901	0.012876311884285811	-0.02456102628527268	0.06150461913892282	0.006938325432837376	0.01713024812529131	0.04471017800091276	0.04802380730958789	0.022562218288383326	0.0748657065273432	0.074592355081601	0.07414045055516487	0.055246691013980546	-0.047908887229275665	-0.014979080570786387	0.015328377465134742	0.055376056119011	-0.01684460149342928	0.02023993135794401	0.0011141538587840373	0.01645672202001845	-0.042752336006558575	-2.9430115248224248e-05	0.01582602488869116	0.03206039240296047	0.01274898578963786	-0.04947800832046877	0.982679829224253	0.9845233424691282	1.0138338075990299	0.9496164398942398	0.9693253764714592	0.9600413699683429	0.7482381845218853	0.7967490333109529	0.8788680459873965	0.8920600190165866	0.8805658818669971	0.7815308335915712	0.7177101775365405	0.6785657267720789	0.6669720645014762	0.6305689105032676	0.6582072564612326	0.9896985948112317	1.0174467789450279	0.980609480953818	0.7684356354159523	0.7519013578561677	0.7264944984589728	0.30146316298375125	0.3981644064528569	0.37953017579345694	0.3609357397277355	0.3585511770776383	0.018458372602973342	0.08271035632502569	0.10802440480582817	-0.02723726308116031	-0.14029950619658288	-0.004952394139359874	0.2498893619440977	0.2921932082566728	0.37107650836372064	0.015171724507368351	0.015316722782625823	0.030333019371943652	0.007549875236809821	-0.001964115086527297	0.03344819608654897	0.011590666463321684	0.015558571660965002	-0.017023390380039034	0.01246847856542444	0.006856485645615534	-0.00742970197002847	0.022229491215875287	-0.06468557232783846
0.3	0.4224592748915183	0.4138749956075106	0.42243001347606096	0.44410431740478645	0.4196265821159919	0.39847833065810595	0.5262328866019979	0.48155634158665994	0.46434976940158285	0.6359811291138356	0.5761960157045223	0.5520392442352623	0.6643232474881626	0.6236827304481677	0.5625095028128325	0.013467113915446508	0.04993034055727542	0.006106233363791715	0.0231324435268751	0.0037163648066365624	-0.01774449168921547	0.08468572424612171	0.022999569063854638	-0.005448870938131043	0.058881789137380125	0.08047754115130648	0.05753908632462093	0.06853634894991908	0.040352343552977586	0.10088298718380095	0.0746121100746705	-0.04464152352501875	-0.032736022017752754	0.04196104933341514	0.027817613214230173	-0.030042676127247404	-0.0034478946786615757	-0.013311206628628959	0.07531704959053706	-0.013742760744578999	0.018776413528435485	0.018546579998946777	0.012187994118262217	0.045458697091708904	-0.03809623485700819	0.9772283366239728	0.9687482369968897	1.018161535974131	0.9663281773291962	0.9743003257570149	0.9715485904451827	0.7759469469561924	0.8384673629114862	0.8763269938788879	0.8981069599595202	0.8813919867823213	0.7890252914114085	0.7207221582275929	0.7267027358269971	0.7037532364297069	0.6513377857975924	0.6499982604373756	1.001162668462505	1.0278714357178589	1.009369426980645	0.849386873328304	0.8205673898986996	0.8287329333114958	0.39175925052472715	0.5177864901343274	0.4722853717571392	0.47745810585894505	0.4451204899179265	0.021834219761587958	0.12196041423781093	0.1230335616392409	0.012004697877854778	-0.03345470074834166	0.05117770303999743	0.38815022725371295	0.44239923568898554	0.5278355167967902	0.03822891088349529	0.04149377593360993	0.03516822375313343	0.013978283594942258	-0.016429557277842725	-0.005698491360940893	0.021983856664350838	0.035856583378453585	0.0033831974572318497	0.02558648972210189	-0.005160795647237499	0.01227058427344686	-0.004756647721852157	-0.0036316554032716467
