m0:1e-06_M0:0.0_L0:1000.0 X	m0:1e-06_M0:0.0_L0:1000.0 Y	m0:3e-06_M0:0.0_L0:1000.0 X	m0:3e-06_M0:0.0_L0:1000.0 Y
0.0	0.0	0.0	0.0
0.6896551724137931	1.4610261476755149e-05	0.6896551724137931	0.00023514470993302172
1.3793103448275863	6.270420215992445e-05	1.3793103448275863	0.004236079710002061
2.0689655172413794	0.00015831631202323226	2.0689655172413794	0.06300951958130319
2.7586206896551726	0.0003293323968065476	2.7586206896551726	0.4609475524957981
3.4482758620689657	0.0006255719606731436	3.4482758620689657	0.8642112002245872
4.137931034482759	0.0011331536609692217	4.137931034482759	0.9721812380754301
4.827586206896552	0.001999101720165042	4.827586206896552	0.9943924599719022
5.517241379310345	0.003472692408513667	5.517241379310345	0.9988708258690286
6.206896551724139	0.005973645503999814	6.206896551724139	0.9997726360322229
6.8965517241379315	0.01020150265944364	6.8965517241379315	0.999954219490044
7.586206896551724	0.017302715452375383	7.586206896551724	0.9999907819405545
8.275862068965518	0.02910313272350551	8.275862068965518	0.9999981439127981
8.965517241379311	0.04837103155310363	8.965517241379311	0.9999996262706139
9.655172413793103	0.07895840553602529	9.655172413793103	0.9999999247483341
10.344827586206897	0.12545063911061805	10.344827586206897	0.9999999848478246
11.03448275862069	0.19178476066049155	11.03448275862069	0.9999999969490586
11.724137931034484	0.2787202172811515	11.724137931034484	0.9999999993856827
12.413793103448278	0.38153953395074613	12.413793103448278	0.9999999998763052
13.10344827586207	0.49052140168124847	13.10344827586207	0.9999999999750936
13.793103448275863	0.5947626896257852	13.793103448275863	0.999999999994985
14.482758620689657	0.6863443143291883	14.482758620689657	0.9999999999989903
15.172413793103448	0.7618660856033027	15.172413793103448	0.9999999999997967
15.862068965517242	0.8214934758002477	15.862068965517242	0.999999999999959
16.551724137931036	0.8672628646034765	16.551724137931036	0.9999999999999918
17.24137931034483	0.9017826422474954	17.24137931034483	0.9999999999999983
17.931034482758623	0.92754072832741	17.931034482758623	0.9999999999999997
18.620689655172416	0.9466380930605282	18.620689655172416	0.9999999999999999
19.310344827586206	0.9607432719782232	19.310344827586206	1.0
20.0	0.971137834959168	20.0	1.0
