m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:6uM_M0:0_L0:10000 X	m0:6uM_M0:0_L0:10000 Y	m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y
7.75	0.871338121	7.75	0.891299001	7.75	0.874327708	7.75	0.86055569	7.75	0.733476753	7.75	0.526976985
8	0.892157474	8	0.894264759	8	0.874998671	8	0.83609223	8	0.639784496	8	0.394268253
8	0.890885603	8	0.889874487	8	0.864609814	8	0.840713583	8	0.674772068	8	0.399451306
8	0.876221584	8	0.889450356	8	0.877186981	8	0.82838081	8	0.70120345	8	0.47823964
8	0.878130293	8	0.889767072	8	0.873756865	8	0.818196059	8	0.736686292	8	0.516368391
8	0.890816198	8	0.902035774	8	0.869062349	8	0.802803853	8	0.782461261	8	0.542034803
8	0.898197178	8	0.908914406	8	0.880883847	8	0.842834889	8	0.771318652	8	0.554459049
8	0.883786221	8	0.897909593	8	0.880299766	8	0.8633793	8	0.753088191	8	0.571449672
8.25	0.90495319	8.25	0.900921321	8.25	0.877350032	8.25	0.842528246	8.25	0.647773301	8.25	0.406822248
8.25	0.885241147	8.25	0.895714311	8.25	0.874137604	8.25	0.845285436	8.25	0.69993311	8.25	0.426041967
8.25	0.911194017	8.25	0.897159146	8.25	0.888574318	8.25	0.841059411	8.25	0.723260929	8.25	0.487803978
8.25	0.889152071	8.25	0.896936775	8.25	0.880662644	8.25	0.827485507	8.25	0.74251283	8.25	0.522660202
8.25	0.902355243	8.25	0.912402246	8.25	0.884871189	8.25	0.815381418	8.25	0.785339744	8.25	0.56443314
8.25	0.899498087	8.25	0.918102383	8.25	0.873301445	8.25	0.855287698	8.25	0.786093311	8.25	0.563855973
8.25	0.892255819	8.25	0.90555309	8.25	0.878914603	8.25	0.870748075	8.25	0.76591725	8.25	0.578710298
8.5	0.911576951	8.5	0.912074624	8.5	0.890869867	8.5	0.853814301	8.5	0.684656064	8.5	0.46642664
8.5	0.892144923	8.5	0.905998262	8.5	0.88799062	8.5	0.863241109	8.5	0.720436904	8.5	0.454686335
8.5	0.915380439	8.5	0.912766859	8.5	0.893463352	8.5	0.843053935	8.5	0.743033213	8.5	0.520792578
8.5	0.89926141	8.5	0.907771814	8.5	0.893673059	8.5	0.860294812	8.5	0.778299975	8.5	0.560571542
8.5	0.907976702	8.5	0.916997729	8.5	0.893564897	8.5	0.833934974	8.5	0.808388672	8.5	0.59435207
8.5	0.914345976	8.5	0.929987829	8.5	0.890782264	8.5	0.867569674	8.5	0.810830645	8.5	0.597672503
8.5	0.90508286	8.5	0.918574696	8.5	0.904523161	8.5	0.881196453	8.5	0.792859105	8.5	0.615981871
8.75	0.914723278	8.75	0.913735017	8.75	0.905997722	8.75	0.864228712	8.75	0.688168959	8.75	0.468683471
8.75	0.894346432	8.75	0.911033832	8.75	0.898837656	8.75	0.871139363	8.75	0.729547496	8.75	0.487483814
8.75	0.919492688	8.75	0.914808313	8.75	0.898860904	8.75	0.85460403	8.75	0.751429497	8.75	0.567277931
8.75	0.905319917	8.75	0.910123012	8.75	0.896702278	8.75	0.852748689	8.75	0.784560349	8.75	0.568429388
8.75	0.912038336	8.75	0.918704166	8.75	0.898518028	8.75	0.841261627	8.75	0.813108332	8.75	0.593574574
8.75	0.919114398	8.75	0.929884423	8.75	0.906149346	8.75	0.881088582	8.75	0.822621976	8.75	0.623809926
8.75	0.910757104	8.75	0.918246442	8.75	0.897642519	8.75	0.887889405	8.75	0.802272064	8.75	0.597191891
9	0.911856679	9	0.91755242	9	0.90152371	9	0.868928718	9	0.714098308	9	0.498654177
9	0.913346647	9	0.914647909	9	0.904240734	9	0.878762764	9	0.742221848	9	0.494056213
9	0.901147341	9	0.921963671	9	0.901258745	9	0.869854159	9	0.763015748	9	0.58031789
9	0.908531442	9	0.912300047	9	0.903542957	9	0.858816544	9	0.799827572	9	0.614518569
9	0.905019884	9	0.927027708	9	0.910152107	9	0.841356148	9	0.828130855	9	0.602018913
9	0.922093008	9	0.931441753	9	0.904157621	9	0.890844032	9	0.82997937	9	0.634343045
9	0.912285018	9	0.924063974	9	0.901407899	9	0.887985402	9	0.811764737	9	0.646358014
9.25	0.923804241	9.25	0.924031887	9.25	0.911292418	9.25	0.884332769	9.25	0.724050047	9.25	0.481604576
9.25	0.924012492	9.25	0.916233386	9.25	0.909249504	9.25	0.883655415	9.25	0.763030592	9.25	0.510609518
9.25	0.92404615	9.25	0.926120669	9.25	0.916051613	9.25	0.877328698	9.25	0.787442868	9.25	0.566636715
9.25	0.914826104	9.25	0.92095805	9.25	0.915970629	9.25	0.866501712	9.25	0.802669111	9.25	0.595016023
9.25	0.921998846	9.25	0.933280797	9.25	0.906329673	9.25	0.859256761	9.25	0.827630631	9.25	0.638561158
9.25	0.930035448	9.25	0.941100405	9.25	0.919699524	9.25	0.888900649	9.25	0.831243521	9.25	0.649730583
9.25	0.917971412	9.25	0.925281576	9.25	0.919690217	9.25	0.897062934	9.25	0.813800779	9.25	0.659561857
9.5	0.942090127	9.5	0.936214033	9.5	0.915371128	9.5	0.891760261	9.5	0.749480315	9.5	0.516982648
9.5	0.9370822	9.5	0.931372341	9.5	0.919457804	9.5	0.895796792	9.5	0.785268448	9.5	0.542310253
9.5	0.920620058	9.5	0.932899334	9.5	0.914550181	9.5	0.89058155	9.5	0.802570655	9.5	0.612060941
9.5	0.935698951	9.5	0.940540701	9.5	0.917969808	9.5	0.884835601	9.5	0.81775312	9.5	0.646797568
9.5	0.933172027	9.5	0.933132735	9.5	0.915683276	9.5	0.873633964	9.5	0.845077048	9.5	0.667812691
9.5	0.940000478	9.5	0.948918253	9.5	0.928169669	9.5	0.908286956	9.5	0.854182989	9.5	0.678871356
9.5	0.927682631	9.5	0.941900843	9.5	0.922514604	9.5	0.910913467	9.5	0.838626877	9.5	0.693443877
9.75	0.940981817	9.75	0.931525205	9.75	0.921678787	9.75	0.901363584	9.75	0.786798609	9.75	0.555120071
9.75	0.936223222	9.75	0.924606657	9.75	0.921810458	9.75	0.908381865	9.75	0.784401902	9.75	0.545855854
9.75	0.917144611	9.75	0.931829959	9.75	0.929948513	9.75	0.8758472	9.75	0.808455982	9.75	0.668022053
9.75	0.925473153	9.75	0.936840165	9.75	0.921820118	9.75	0.893585424	9.75	0.832617619	9.75	0.688110344
9.75	0.932747761	9.75	0.929347773	9.75	0.917496192	9.75	0.86651501	9.75	0.85577307	9.75	0.69255873
9.75	0.935449262	9.75	0.942871678	9.75	0.917665375	9.75	0.906990939	9.75	0.852438152	9.75	0.725053935
9.75	0.930372429	9.75	0.933223565	9.75	0.933861319	9.75	0.910194125	9.75	0.848657624	9.75	0.716656779
10	0.944166474	10	0.940958146	10	0.916445778	10	0.902513721	10	0.768067554	10	0.536012241
10	0.948237751	10	0.932066045	10	0.930610699	10	0.901866797	10	0.795663798	10	0.561417251
10	0.933166242	10	0.943439561	10	0.928737883	10	0.898632992	10	0.811370209	10	0.649881361
10	0.92799362	10	0.946745836	10	0.925785927	10	0.888406461	10	0.839698997	10	0.685827835
10	0.935754869	10	0.935790038	10	0.919740797	10	0.910944497	10	0.865187817	10	0.667150496
10	0.94154895	10	0.948216116	10	0.933430617	10	0.882526438	10	0.869833488	10	0.694916852
10	0.939424488	10	0.942710535	10	0.926826154	10	0.909872853	10	0.849336858	10	0.704402444
10.25	0.946062589	10.25	0.94205914	10.25	0.932987887	10.25	0.905702422	10.25	0.781734281	10.25	0.559489294
10.25	0.942593379	10.25	0.928744927	10.25	0.92806201	10.25	0.910459703	10.25	0.803886609	10.25	0.569976154
10.25	0.92385409	10.25	0.944550891	10.25	0.934312537	10.25	0.897280254	10.25	0.820952175	10.25	0.637388989
10.25	0.941423654	10.25	0.937452501	10.25	0.933935943	10.25	0.892937804	10.25	0.856285013	10.25	0.673835199
10.25	0.943934329	10.25	0.946845284	10.25	0.932175514	10.25	0.91468612	10.25	0.869775838	10.25	0.706915363
10.25	0.942013744	10.25	0.953151658	10.25	0.931175444	10.25	0.886817212	10.25	0.870753804	10.25	0.715350802
10.25	0.93918148	10.25	0.940570321	10.25	0.927233012	10.25	0.916702762	10.25	0.855798718	10.25	0.729801109
10.5	0.947639831	10.5	0.94688571	10.5	0.933960858	10.5	0.913010493	10.5	0.81636969	10.5	0.60135801
10.5	0.949809753	10.5	0.936179441	10.5	0.942873682	10.5	0.916365616	10.5	0.804841364	10.5	0.682106742
10.5	0.926473401	10.5	0.948034843	10.5	0.936391409	10.5	0.916367119	10.5	0.843328479	10.5	0.663005836
10.5	0.941661503	10.5	0.949757414	10.5	0.944120838	10.5	0.901243311	10.5	0.861485859	10.5	0.718034708
10.5	0.946856107	10.5	0.953697214	10.5	0.941428942	10.5	0.916904377	10.5	0.87507646	10.5	0.710623199
10.5	0.947836474	10.5	0.941118716	10.5	0.935680794	10.5	0.899007985	10.5	0.880358957	10.5	0.73757949
10.5	0.942990635	10.5	0.945698957	10.5	0.934125727	10.5	0.926069567	10.5	0.874405421	10.5	0.733688411
10.75	0.955023668	10.75	0.946680503	10.75	0.942277505	10.75	0.916254101	10.75	0.807083712	10.75	0.626306517
10.75	0.950229272	10.75	0.942251421	10.75	0.943571302	10.75	0.925720179	10.75	0.830875543	10.75	0.612848623
10.75	0.941816675	10.75	0.951789263	10.75	0.93899481	10.75	0.915068756	10.75	0.853934129	10.75	0.710527383
10.75	0.937527574	10.75	0.953899209	10.75	0.941764662	10.75	0.911413745	10.75	0.874364391	10.75	0.741560957
10.75	0.9498642	10.75	0.947224091	10.75	0.934902532	10.75	0.929936476	10.75	0.888426303	10.75	0.720536813
10.75	0.950856132	10.75	0.959963081	10.75	0.933514055	10.75	0.929382124	10.75	0.887678717	10.75	0.750033371
10.75	0.948775751	10.75	0.946614566	10.75	0.950003937	10.75	0.903125885	10.75	0.874599725	10.75	0.754829168
11	0.961936128	11	0.955604645	11	0.946098409	11	0.920934889	11	0.841978231	11	0.614206897
11	0.961789986	11	0.94750625	11	0.940404058	11	0.925123981	11	0.825553211	11	0.59668778
11	0.943893056	11	0.954164563	11	0.946364491	11	0.920962449	11	0.856794932	11	0.705562212
11	0.955229647	11	0.960369573	11	0.95066332	11	0.913074065	11	0.88016846	11	0.740860356
11	0.953543821	11	0.959617815	11	0.946539812	11	0.933512404	11	0.896858153	11	0.752075535
11	0.956978397	11	0.951956394	11	0.943686792	11	0.935633487	11	0.89703412	11	0.736305075
11	0.951846009	11	0.953385346	11	0.94177517	11	0.911139061	11	0.88201982	11	0.768103345
11.25	0.968720549	11.25	0.9619117	11.25	0.955869265	11.25	0.936167356	11.25	0.844554964	11.25	0.626562291
11.25	0.97632243	11.25	0.955266888	11.25	0.9527203	11.25	0.939167448	11.25	0.844660619	11.25	0.646474036
11.25	0.949750255	11.25	0.9703025	11.25	0.952333927	11.25	0.93760245	11.25	0.866611277	11.25	0.731304498
11.25	0.958784765	11.25	0.970294763	11.25	0.962622696	11.25	0.929120779	11.25	0.884778183	11.25	0.769933065
11.25	0.967314178	11.25	0.961088507	11.25	0.957902553	11.25	0.943222897	11.25	0.909065379	11.25	0.770823882
11.25	0.968906849	11.25	0.971509604	11.25	0.952829073	11.25	0.943671685	11.25	0.904442833	11.25	0.758146567
11.25	0.956665926	11.25	0.965858112	11.25	0.947901014	11.25	0.920823774	11.25	0.897990961	11.25	0.775564153
11.5	0.971013829	11.5	0.963830709	11.5	0.957598715	11.5	0.936767211	11.5	0.86748031	11.5	0.684216782
11.5	0.963995255	11.5	0.958890177	11.5	0.959870053	11.5	0.94732688	11.5	0.856975961	11.5	0.698182282
11.5	0.950020208	11.5	0.966605209	11.5	0.965501391	11.5	0.941067846	11.5	0.888475738	11.5	0.740559578
11.5	0.961120108	11.5	0.962224963	11.5	0.968876432	11.5	0.935217305	11.5	0.917418246	11.5	0.776280598
11.5	0.966324473	11.5	0.971530912	11.5	0.965136099	11.5	0.951544893	11.5	0.907873466	11.5	0.795363146
11.5	0.966437391	11.5	0.975502502	11.5	0.958645127	11.5	0.950150883	11.5	0.913110564	11.5	0.780519293
11.5	0.963180067	11.5	0.965730312	11.5	0.955125431	11.5	0.931962375	11.5	0.905306431	11.5	0.831303794
11.75	0.965906959	11.75	0.961850794	11.75	0.961665609	11.75	0.945268128	11.75	0.874846014	11.75	0.709568509
11.75	0.96602506	11.75	0.965314998	11.75	0.957970983	11.75	0.954525012	11.75	0.864463929	11.75	0.712961442
11.75	0.949548177	11.75	0.967854897	11.75	0.959286925	11.75	0.949035737	11.75	0.880556829	11.75	0.785946619
11.75	0.958355714	11.75	0.971603384	11.75	0.961567457	11.75	0.941766053	11.75	0.900812829	11.75	0.789402679
11.75	0.96674763	11.75	0.970166295	11.75	0.964168817	11.75	0.94989822	11.75	0.920646009	11.75	0.800924907
11.75	0.968698985	11.75	0.964688752	11.75	0.95584767	11.75	0.955658584	11.75	0.928410386	11.75	0.78456719
11.75	0.962215628	11.75	0.970101776	11.75	0.966773526	11.75	0.935377583	11.75	0.919384351	11.75	0.815987227
12	0.973721399	12	0.969460302	12	0.958580527	12	0.946621288	12	0.877141255	12	0.680473453
12	0.977075332	12	0.96338313	12	0.961391261	12	0.952882302	12	0.871436999	12	0.710566347
12	0.954090322	12	0.975209312	12	0.970365025	12	0.941608941	12	0.889528721	12	0.791082325
12	0.968887575	12	0.975588361	12	0.961254561	12	0.940675247	12	0.918871529	12	0.7973556
12	0.965764415	12	0.979942718	12	0.962385358	12	0.947749663	12	0.906281582	12	0.775242915
12	0.973163786	12	0.968610934	12	0.959192868	12	0.952232078	12	0.927135971	12	0.814455672
12	0.965664827	12	0.971915487	12	0.95971246	12	0.927623096	12	0.915091391	12	0.824178425
12.25	0.976537435	12.25	0.974401188	12.25	0.962983643	12.25	0.948244066	12.25	0.881747978	12.25	0.734841999
12.25	0.966234819	12.25	0.966201243	12.25	0.96864073	12.25	0.954440231	12.25	0.87825191	12.25	0.740135421
12.25	0.95703589	12.25	0.975257514	12.25	0.963149112	12.25	0.953555472	12.25	0.898071491	12.25	0.78955589
12.25	0.970996348	12.25	0.974618835	12.25	0.971298757	12.25	0.939808597	12.25	0.906921101	12.25	0.795305059
12.25	0.968665361	12.25	0.982271136	12.25	0.962010115	12.25	0.954984669	12.25	0.927378851	12.25	0.826269422
12.25	0.977481446	12.25	0.969460637	12.25	0.971585334	12.25	0.959067139	12.25	0.928105894	12.25	0.803954489
12.25	0.971913937	12.25	0.970705763	12.25	0.960909429	12.25	0.939303952	12.25	0.91862042	12.25	0.821973727
12.5	0.984428535	12.5	0.97502243	12.5	0.966235224	12.5	0.940027291	12.5	0.888843016	12.5	0.702232306
12.5	0.967858663	12.5	0.965151936	12.5	0.968144115	12.5	0.95459475	12.5	0.899505014	12.5	0.762408998
12.5	0.956535321	12.5	0.974122083	12.5	0.965539537	12.5	0.951174919	12.5	0.89939849	12.5	0.81259996
12.5	0.966681483	12.5	0.974832146	12.5	0.965313819	12.5	0.942566239	12.5	0.920482363	12.5	0.83029241
12.5	0.972850291	12.5	0.97593906	12.5	0.967793299	12.5	0.958125166	12.5	0.944379454	12.5	0.831871977
12.5	0.972043498	12.5	0.971547952	12.5	0.962381295	12.5	0.95624481	12.5	0.933617525	12.5	0.867067075
12.5	0.969003153	12.5	0.970955236	12.5	0.968492229	12.5	0.948351889	12.5	0.919538798	12.5	0.853537432
12.75	0.975445436	12.75	0.971864686	12.75	0.969346086	12.75	0.947228294	12.75	0.893713186	12.75	0.715764261
12.75	0.975835117	12.75	0.960886533	12.75	0.967024069	12.75	0.956008669	12.75	0.878842372	12.75	0.704327273
12.75	0.953777948	12.75	0.973413331	12.75	0.970373364	12.75	0.945015984	12.75	0.902895219	12.75	0.797261836
12.75	0.9628014	12.75	0.972121305	12.75	0.968147739	12.75	0.944277384	12.75	0.911935277	12.75	0.822770913
12.75	0.969745313	12.75	0.971293858	12.75	0.965122142	12.75	0.950112484	12.75	0.937922174	12.75	0.80555926
12.75	0.974629422	12.75	0.967838636	12.75	0.973152927	12.75	0.955354592	12.75	0.929570189	12.75	0.85088663
12.75	0.967965052	12.75	0.976988101	12.75	0.962261598	12.75	0.93691853	12.75	0.921468554	12.75	0.854762865
13	0.978546093	13	0.963485389	13	0.960117697	13	0.956005116	13	0.906143939	13	0.740011645
13	0.979995219	13	0.980275342	13	0.964575314	13	0.954581076	13	0.907047458	13	0.789131376
13	0.962746544	13	0.97624566	13	0.971434984	13	0.959348373	13	0.935263087	13	0.867469852
13	0.97006036	13	0.975441867	13	0.974465524	13	0.949740539	13	0.920106567	13	0.865792551
13	0.97405441	13	0.979920433	13	0.970487504	13	0.958760972	13	0.923759467	13	0.871701876
13	0.975856032	13	0.968850188	13	0.960876968	13	0.962663849	13	0.952750854	13	0.862824696
13	0.971516011	13	0.973588268	13	0.974795844	13	0.944093451	13	0.933884094	13	0.877624098
13.25	0.982029236	13.25	0.971010127	13.25	0.969231148	13.25	0.962746275	13.25	0.902327559	13.25	0.774712668
13.25	0.972335399	13.25	0.969349166	13.25	0.97254011	13.25	0.963492592	13.25	0.899216812	13.25	0.848011562
13.25	0.955868923	13.25	0.976220666	13.25	0.975647979	13.25	0.960072486	13.25	0.92191094	13.25	0.867130943
13.25	0.966648897	13.25	0.976768307	13.25	0.969567325	13.25	0.963910597	13.25	0.941776533	13.25	0.880266987
13.25	0.972774699	13.25	0.980964298	13.25	0.9678375	13.25	0.959984876	13.25	0.939285954	13.25	0.831971588
13.25	0.972365026	13.25	0.970876455	13.25	0.965976904	13.25	0.966075954	13.25	0.945232662	13.25	0.876927317
13.25	0.973157836	13.25	0.978352617	13.25	0.963938369	13.25	0.949058312	13.25	0.93062078	13.25	0.899265308
13.5	0.981325431	13.5	0.976453253	13.5	0.969771467	13.5	0.961744229	13.5	0.907026307	13.5	0.794166545
13.5	0.976860786	13.5	0.971944336	13.5	0.973992654	13.5	0.969254926	13.5	0.917855015	13.5	0.836909439
13.5	0.961008821	13.5	0.977427508	13.5	0.968881682	13.5	0.962258085	13.5	0.940762043	13.5	0.799937529
13.5	0.967693206	13.5	0.975480044	13.5	0.98361394	13.5	0.956994337	13.5	0.93231151	13.5	0.860407224
13.5	0.973144864	13.5	0.980159336	13.5	0.974777057	13.5	0.959973499	13.5	0.936103915	13.5	0.862494443
13.5	0.979677645	13.5	0.972181271	13.5	0.967829228	13.5	0.965513057	13.5	0.941166509	13.5	0.854122962
13.5	0.97552261	13.5	0.97896025	13.5	0.967586081	13.5	0.949570717	13.5	0.940176561	13.5	0.878446464
13.75	0.986349115	13.75	0.980222869	13.75	0.975697787	13.75	0.970917752	13.75	0.913222737	13.75	0.763925019
13.75	0.980804749	13.75	0.97341742	13.75	0.972594254	13.75	0.968509679	13.75	0.910296754	13.75	0.777290306
13.75	0.971558548	13.75	0.98250749	13.75	0.979586491	13.75	0.968180955	13.75	0.942822616	13.75	0.823052355
13.75	0.967640398	13.75	0.984269723	13.75	0.97871798	13.75	0.962123864	13.75	0.932771651	13.75	0.851190837
13.75	0.984388535	13.75	0.982986769	13.75	0.975832742	13.75	0.963430549	13.75	0.937370854	13.75	0.853878572
13.75	0.984066151	13.75	0.976265068	13.75	0.974320523	13.75	0.968133653	13.75	0.952316356	13.75	0.862282394
13.75	0.972267059	13.75	0.982504377	13.75	0.973083009	13.75	0.96026656	13.75	0.942053174	13.75	0.872803519
14	0.979724539	14	0.978531555	14	0.980004226	14	0.969912658	14	0.917513683	14	0.822611634
14	0.976859989	14	0.973100509	14	0.976127242	14	0.992143276	14	0.91674087	14	0.882288269
14	0.974643748	14	0.980771316	14	0.978233366	14	0.962515371	14	0.938036562	14	0.836880054
14	0.973304236	14	0.980916161	14	0.975080818	14	0.954467367	14	0.956960532	14	0.864451603
14	0.978808003	14	0.983845315	14	0.977086817	14	0.965702492	14	0.944497171	14	0.892876621
14	0.983204322	14	0.975273981	14	0.971629757	14	0.97218483	14	0.95375328	14	0.908894368
14	0.971202378	14	0.978102413	14	0.973933059	14	0.962025156	14	0.951668741	14	0.905376245
14.25	0.990767674	14.25	0.984223928	14.25	0.978563734	14.25	0.969168779	14.25	0.934195685	14.25	0.828401156
14.25	0.983332234	14.25	0.973009305	14.25	0.975197655	14.25	0.978943726	14.25	0.928349767	14.25	0.864110067
14.25	0.97383415	14.25	0.982244163	14.25	0.983614821	14.25	0.964261994	14.25	0.958541943	14.25	0.844793153
14.25	0.982413022	14.25	0.987051879	14.25	0.978145736	14.25	0.963838919	14.25	0.943203241	14.25	0.875965356
14.25	0.984300485	14.25	0.984241293	14.25	0.981716615	14.25	0.976370875	14.25	0.946759686	14.25	0.889265631
14.25	0.988508504	14.25	0.984465028	14.25	0.977694691	14.25	0.974074762	14.25	0.959314519	14.25	0.85730422
14.25	0.978263288	14.25	0.988243265	14.25	0.981044881	14.25	0.963587246	14.25	0.949094625	14.25	0.881530337
14.5	0.991436412	14.5	0.990936712	14.5	0.987475236	14.5	0.972629465	14.5	0.936521602	14.5	0.825611714
14.5	0.991108499	14.5	0.982108524	14.5	0.982653956	14.5	0.97831139	14.5	0.939501759	14.5	0.827407198
14.5	0.983526211	14.5	0.993564552	14.5	0.989394089	14.5	0.984332909	14.5	0.969302907	14.5	0.908203627
14.5	0.988268646	14.5	0.995530277	14.5	0.989998013	14.5	0.972472841	14.5	0.953970889	14.5	0.914723423
14.5	0.99105335	14.5	0.992354416	14.5	0.990611296	14.5	0.977155678	14.5	0.97308022	14.5	0.920248916
14.5	0.991010579	14.5	0.984420168	14.5	0.982646588	14.5	0.977057088	14.5	0.971661803	14.5	0.906737328
14.5	0.992034264	14.5	0.985235586	14.5	0.9904896	14.5	0.979160891	14.5	0.96860476	14.5	0.926738824
14.75	0.977805589	14.75	0.976315512	14.75	0.973444131	14.75	0.96988531	14.75	0.931086643	14.75	0.801391411
14.75	0.982397487	14.75	0.97330687	14.75	0.976212498	14.75	0.980638967	14.75	0.92705286	14.75	0.854253492
14.75	0.970432773	14.75	0.978016337	14.75	0.978848985	14.75	0.961596305	14.75	0.955335242	14.75	0.850801712
14.75	0.979744598	14.75	0.982513739	14.75	0.977621791	14.75	0.966373708	14.75	0.938458789	14.75	0.909299378
14.75	0.982935929	14.75	0.982703547	14.75	0.977709742	14.75	0.969459213	14.75	0.94999185	14.75	0.91906943
14.75	0.983055462	14.75	0.97676668	14.75	0.976276887	14.75	0.96660103	14.75	0.95018834	14.75	0.889643085
14.75	0.977137856	14.75	0.978486689	14.75	0.972293821	14.75	0.964704091	14.75	0.94146528	14.75	0.917248581
15	0.99251944	15	0.985380206	15	0.982964701	15	0.974360396	15	0.931830071	15	0.92328432
15	0.983327449	15	0.97445383	15	0.983032951	15	0.981020261	15	0.943784363	15	0.938054237
15	0.980306386	15	0.985887004	15	0.982922031	15	0.977506888	15	0.94165565	15	0.890902752
15	0.985846597	15	0.985373315	15	0.980212115	15	0.97375392	15	0.970979097	15	0.947469419
15	0.985147512	15	0.983486626	15	0.981453465	15	0.974874742	15	0.959792049	15	0.921991283
15	0.98554751	15	0.985077237	15	0.97735809	15	0.98000075	15	0.967178257	15	0.975390207
15	0.980928785	15	0.986719292	15	0.979508094	15	0.976873722	15	0.958655388	15	0.966705974
15.25	0.987431328	15.25	0.984662452	15.25	0.983637145	15.25	0.974710957	15.25	0.937210896	15.25	0.808959315
15.25	0.988101677	15.25	0.97762202	15.25	0.984173245	15.25	0.995029991	15.25	0.93653715	15.25	0.829568429
15.25	0.978643715	15.25	0.986425263	15.25	0.97952712	15.25	0.976968446	15.25	0.944383753	15.25	0.892856991
15.25	0.987179444	15.25	0.988200933	15.25	0.980076666	15.25	0.967284669	15.25	0.948731825	15.25	0.919361886
15.25	0.988801684	15.25	0.990649755	15.25	0.987074188	15.25	0.975605604	15.25	0.9722867	15.25	0.918354589
15.25	0.990010983	15.25	0.990685632	15.25	0.982777362	15.25	0.984326801	15.25	0.967628151	15.25	0.895431991
15.25	0.984285337	15.25	0.991842676	15.25	0.982245907	15.25	0.969501053	15.25	0.964997677	15.25	0.941105882
15.5	0.99037051	15.5	0.985153448	15.5	0.979178172	15.5	0.979804619	15.5	0.934780322	15.5	0.8620189
15.5	0.991027945	15.5	0.97563672	15.5	0.977495895	15.5	0.987301885	15.5	0.938939415	15.5	0.887075153
15.5	0.985728923	15.5	0.989728845	15.5	0.986760755	15.5	0.974934034	15.5	0.958127722	15.5	0.854331184
15.5	0.981946557	15.5	0.991510601	15.5	0.982285843	15.5	0.981882187	15.5	0.952714128	15.5	0.909242057
15.5	0.986138566	15.5	0.990049572	15.5	0.980880907	15.5	0.979661654	15.5	0.962477469	15.5	0.918593819
15.5	0.98778426	15.5	0.981491066	15.5	0.982388741	15.5	0.976990529	15.5	0.96817213	15.5	0.920051397
15.5	0.986501269	15.5	0.990784386	15.5	0.98105401	15.5	0.970264686	15.5	0.957064419	15.5	0.922337543
15.75	0.986846591	15.75	0.986352829	15.75	0.98089688	15.75	0.979014247	15.75	0.949051598	15.75	0.850286392
15.75	0.991936372	15.75	0.980199687	15.75	0.979150967	15.75	0.984913447	15.75	0.956574184	15.75	0.910391765
15.75	0.980006128	15.75	0.986260125	15.75	0.98640801	15.75	0.969065539	15.75	0.955811475	15.75	0.920969029
15.75	0.984372887	15.75	0.986210368	15.75	0.982882237	15.75	0.968905891	15.75	0.954572347	15.75	0.870306548
15.75	0.987042035	15.75	0.988388415	15.75	0.98738565	15.75	0.97626555	15.75	0.97299228	15.75	0.923485006
15.75	0.99109465	15.75	0.984451834	15.75	0.984154366	15.75	0.984654977	15.75	0.969201925	15.75	0.917779815
15.75	0.98221521	15.75	0.982369712	15.75	0.985171381	15.75	0.975774289	15.75	0.960671502	15.75	0.933623434
16	0.993099284	16	0.984653081	16	0.984381561	16	0.977702836	16	0.954748199	16	0.851312497
16	0.99117709	16	0.979838556	16	0.988770657	16	0.984173546	16	0.949442954	16	0.906234581
16	0.982691384	16	0.991195501	16	0.986641174	16	0.980724282	16	0.963175599	16	0.866336228
16	0.990759274	16	0.99228012	16	0.986646448	16	0.973520641	16	0.965611673	16	0.940634284
16	0.992950598	16	0.992708666	16	0.989855767	16	0.980991066	16	0.964145696	16	0.9509042
16	0.993323687	16	0.986625351	16	0.988369015	16	0.984633218	16	0.97340835	16	0.94074188
16	0.989552542	16	0.985703019	16	0.98761198	16	0.977284144	16	0.962333882	16	0.943878662
16.25	0.9933994	16.25	0.989501203	16.25	0.994498307	16.25	0.990443916	16.25	0.957785063	16.25	0.91212956
16.25	1.005530081	16.25	0.987407573	16.25	0.984114064	16.25	0.988284029	16.25	0.947952741	16.25	0.920709907
16.25	0.986220778	16.25	0.993799315	16.25	0.990095317	16.25	0.985686973	16.25	0.977274901	16.25	0.951974913
16.25	0.991369428	16.25	0.994015736	16.25	0.983196184	16.25	0.984965638	16.25	0.969829043	16.25	0.963767554
16.25	0.992716863	16.25	0.994433748	16.25	0.988319011	16.25	0.986632401	16.25	0.96703235	16.25	0.961305426
16.25	0.990399715	16.25	0.98885513	16.25	0.986872672	16.25	0.986024543	16.25	0.986381722	16.25	0.92724852
16.25	0.986330404	16.25	0.995795287	16.25	0.984335531	16.25	0.983986458	16.25	0.973748008	16.25	0.945693819
16.5	0.995755476	16.5	0.991475496	16.5	0.984977738	16.5	0.978809205	16.5	0.966680928	16.5	0.899810276
16.5	0.993264319	16.5	0.991301711	16.5	0.98990882	16.5	0.985832234	16.5	0.95342857	16.5	0.909360299
