m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:6uM_M0:0_L0:10000 X	m0:6uM_M0:0_L0:10000 Y	m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y
1.75	0.096817271	1.75	0.121145877	1.75	0.100506011	1.75	0.079503693	1.75	0.07300045	1.75	0.014755596
1.75	0.100806508	1.75	0.117680451	1.75	0.09867103	1.75	0.085493028	1.75	0.07873318	1.75	0.019214522
1.75	0.100415582	1.75	0.118583171	1.75	0.103467311	1.75	0.09793418	1.75	0.078557021	1.75	0.031339177
1.75	0.109631317	1.75	0.123971384	1.75	0.103123257	1.75	0.092110969	1.75	0.083412828	1.75	0.036471145
1.75	0.122050672	1.75	0.126478345	1.75	0.109983877	1.75	0.096719494	1.75	0.091697777	1.75	0.043284759
2	0.119245768	2	0.148363237	2	0.122686095	2	0.096022552	2	0.075791724	2	0.015258681
2	0.120598354	2	0.152478759	2	0.12234037	2	0.101011022	2	0.08620495	2	0.021421833
2	0.124525503	2	0.147203443	2	0.129869893	2	0.106253117	2	0.089505024	2	0.024096472
2	0.127209029	2	0.149738976	2	0.128329673	2	0.104290778	2	0.092389092	2	0.027364834
2	0.136621389	2	0.150258798	2	0.127883781	2	0.117093842	2	0.092243011	2	0.040547512
2	0.12938217	2	0.152510337	2	0.133318061	2	0.11400582	2	0.099219913	2	0.047119717
2	0.15547585	2	0.164559278	2	0.128855877	2	0.123470822	2	0.104087027	2	0.048467179
2.25	0.153205031	2.25	0.185892754	2.25	0.153910981	2.25	0.128707622	2.25	0.08923527	2.25	0.027495701
2.25	0.156382636	2.25	0.186448769	2.25	0.149865584	2.25	0.119708869	2.25	0.101910068	2.25	0.032748112
2.25	0.160073411	2.25	0.185682234	2.25	0.151754929	2.25	0.128992831	2.25	0.104067048	2.25	0.032244837
2.25	0.169217437	2.25	0.18744828	2.25	0.159921507	2.25	0.126934943	2.25	0.11302606	2.25	0.033184565
2.25	0.162400441	2.25	0.189799839	2.25	0.15864391	2.25	0.141903395	2.25	0.110926107	2.25	0.048822569
2.25	0.162440411	2.25	0.189653638	2.25	0.163270414	2.25	0.140825279	2.25	0.119334193	2.25	0.054735197
2.25	0.193301198	2.25	0.202694482	2.25	0.159057824	2.25	0.150983732	2.25	0.127358825	2.25	0.066307596
2.5	0.190411439	2.5	0.223632015	2.5	0.187585902	2.5	0.153343437	2.5	0.101592788	2.5	0.036285473
2.5	0.207765246	2.5	0.225246431	2.5	0.18249066	2.5	0.158275479	2.5	0.118399322	2.5	0.045491681
2.5	0.198118551	2.5	0.226331018	2.5	0.19301416	2.5	0.15383238	2.5	0.122371123	2.5	0.043716532
2.5	0.20103669	2.5	0.231943156	2.5	0.182470816	2.5	0.14783023	2.5	0.133529599	2.5	0.045102376
2.5	0.202043967	2.5	0.229442806	2.5	0.197852094	2.5	0.170966838	2.5	0.13734402	2.5	0.062943459
2.5	0.2006079	2.5	0.233367255	2.5	0.198080452	2.5	0.170814777	2.5	0.131630299	2.5	0.070461705
2.5	0.235110387	2.5	0.243087196	2.5	0.194518336	2.5	0.183017488	2.5	0.145036875	2.5	0.083965473
2.75	0.234971354	2.75	0.267527472	2.75	0.225046174	2.75	0.173928087	2.75	0.116772572	2.75	0.046596006
2.75	0.254191107	2.75	0.274902905	2.75	0.234488739	2.75	0.19279205	2.75	0.137856228	2.75	0.050634245
2.75	0.243049465	2.75	0.274586833	2.75	0.222924573	2.75	0.188262639	2.75	0.144550338	2.75	0.052174438
2.75	0.24676372	2.75	0.277075458	2.75	0.226043529	2.75	0.188226015	2.75	0.166596264	2.75	0.055401692
2.75	0.250211423	2.75	0.284609778	2.75	0.236577254	2.75	0.202536768	2.75	0.158395229	2.75	0.075795632
2.75	0.246936672	2.75	0.284846253	2.75	0.241990172	2.75	0.205692918	2.75	0.155916662	2.75	0.082118459
2.75	0.285625802	2.75	0.301453332	2.75	0.236319121	2.75	0.223915022	2.75	0.165502256	2.75	0.10191142
3	0.282698199	3	0.316790158	3	0.27172133	3	0.224878706	3	0.131801226	3	0.061656604
3	0.29902994	3	0.323920029	3	0.27118121	3	0.206429769	3	0.160327317	3	0.063313029
3	0.287998998	3	0.318921155	3	0.261537716	3	0.221666987	3	0.167070053	3	0.063154165
3	0.294743467	3	0.325471456	3	0.26514553	3	0.227143241	3	0.186598425	3	0.067400398
3	0.288543488	3	0.329596723	3	0.278976051	3	0.235402494	3	0.188953118	3	0.089659532
3	0.299415668	3	0.332804947	3	0.284696156	3	0.244405163	3	0.18438474	3	0.095190656
3	0.326716383	3	0.346536135	3	0.281523384	3	0.257825212	3	0.180551777	3	0.11309769
3.25	0.34666442	3.25	0.369017562	3.25	0.312460936	3.25	0.265942514	3.25	0.152694078	3.25	0.066407984
3.25	0.33089399	3.25	0.37949187	3.25	0.319202794	3.25	0.244225893	3.25	0.184993986	3.25	0.077365883
3.25	0.339236113	3.25	0.376334656	3.25	0.309853672	3.25	0.256495902	3.25	0.191050293	3.25	0.077274742
