Time /s	hnrnpa2
0	0.638297872
106.2730627	0.647719243
398.5239852	0.673628013
637.6383764	1.33312397
743.9114391	5.810630447
850.1845018	8.373243307
983.0258303	11.57650938
1062.730627	15.41336264
1195.571956	19.25492659
1275.276753	23.09177985
1381.549815	25.65439271
1487.822878	28.85530345
1594.095941	32.05621418
1700.369004	35.25712491
1806.642066	39.73463139
1912.915129	43.57383999
2045.756458	46.77710607
2178.597786	49.34207427
2338.00738	50.63280207
2470.848708	53.19777028
2603.690037	58.31592997
2736.531365	65.98728115
2869.372694	67.91395148
3081.918819	71.12428358
3214.760148	64.75308157
3294.464945	58.37716888
3453.874539	61.5827903
3666.420664	61.60163304
3825.830258	66.72214807
4011.808118	68.01523122
4091.512915	76.95846746
4171.217712	75.68893774
4304.059041	76.33901233
4410.332103	76.98673157
4569.741697	78.27745937
4702.583026	82.75732119
4808.856089	85.95823192
4941.697417	89.79979587
5101.107011	93.64371516
5233.948339	98.12357698
5499.630996	98.78542828
5685.608856	101.3551072
5845.01845	101.3692392
6004.428044	96.91528617
6216.97417	102.0405119
6402.95203	102.0569993
6509.225092	103.9813143
6615.498155	105.2673314
6774.907749	104.0048677
6907.749077	104.0166444
7120.295203	104.0354872
7226.568266	105.9598022
