m0:173uM_M0:0_L0:10000 X	m0:173uM_M0:0_L0:10000 Y
2.054212065	-6.36E-18
4.800690938	-6.36E-18
9.237310656	-6.36E-18
13.04062583	0.001976284
15.7871047	0.001976284
18.95811188	0.009881423
21.28305209	0.013833992
23.6114802	0.031620553
26.1516742	0.051383398
27.84779431	0.075098814
29.11888786	0.088932806
29.96844273	0.106719367
31.02826867	0.120553359
31.87832182	0.140316205
33.15190672	0.16403162
34.42549163	0.187747036
35.90835105	0.203557312
37.39021393	0.215415019
37.81823014	0.23715415
38.45701568	0.256916996
39.94386128	0.288537549
41.21644964	0.308300395
41.85473691	0.326086956
42.91655594	0.347826086
43.34058597	0.353754941
44.1946253	0.389328063
45.25345469	0.399209486
46.52903269	0.430830039
47.59234653	0.458498024
48.44239968	0.478260869
49.29095801	0.492094861
50.35477013	0.52173913
51.20482328	0.541501976
52.0553747	0.563241107
53.5422203	0.59486166
54.60304279	0.612648221
55.45259766	0.630434782
56.08988839	0.644268774
57.57573744	0.671936759
59.06058995	0.695652174
60.33367659	0.717391304
61.8185291	0.741106719
63.30238507	0.760869565
65.20877624	0.780632411
68.17698645	0.822134387
70.71867526	0.847826087
72.4142971	0.869565217
74.53145761	0.887351778
76.85938746	0.903162056
78.34125033	0.915019762
81.09171539	0.930830039
83.4201435	0.948616601
86.5961334	0.976284584
88.92406325	0.992094861
90.82696652	0.998023715
93.78521127	1
96.53169014	1
