X	Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4
1659.5	0.000350317853752	0.000545144034445
3671.92929293	0.00171353251679	0.002665119837
5684.35858586	0.00409975858495	0.0063707337252
7696.78787879	0.00749898931751	0.0116378724322
9709.21717172	0.0118970352472	0.0184325056269
11721.6464646	0.017275651458	0.0267111571799
13734.0757576	0.0236126998443	0.0364214992425
15746.5050505	0.0308823438673	0.0475030552242
17758.9343434	0.0390552728692	0.0598879955664
19771.3636364	0.0480989526165	0.0735020085785
21783.7929293	0.0579778984315	0.0882652275611
23796.2222222	0.0686539670346	0.104093195004
25808.6515152	0.0800866630716	0.120897844788
27821.0808081	0.0922334562292	0.138588483997
29833.510101	0.105050104851	0.157072757125
31845.9393939	0.118490982057	0.176257576995
33858.3686869	0.132509400519	0.19605000862
35870.7979798	0.147057932279	0.21635809431
37883.2272727	0.162088720236	0.237091610584
39895.6565657	0.17755377829	0.258162749709
41908.0858586	0.193405277433	0.279486720956
43920.5151515	0.209595815483	0.30098226879
45932.9444444	0.226078668528	0.322572107215
47945.3737374	0.242808022538	0.344183271253
49957.8030303	0.259739184	0.365747388136
51970.2323232	0.276828768779	0.387200872049
53982.6616162	0.294034868808	0.408485047335
55995.0909091	0.311317196483	0.429546205872
58007.520202	0.328637206993	0.450335604892
60019.9494949	0.345958199056	0.470809411838
62032.3787879	0.363245394776	0.490928603015
64044.8080808	0.380465999539	0.510658822754
66057.2373737	0.397589243031	0.529970209628
68069.6666667	0.414586402601	0.548837195974
70082.0959596	0.431430810271	0.567238286599
72094.5252525	0.448097844788	0.585155822077
74106.9545455	0.464564910149	0.602575731573
76119.3838384	0.48081140202	0.619487279604
78131.8131313	0.496818663501	0.635882810621
80144.2424242	0.512569931626	0.651757494772
82156.6717172	0.52805027597	0.667109077715
84169.1010101	0.543246530654	0.681937636866
86181.530303	0.558147220983	0.696245346025
88193.959596	0.572742485874	0.710036249913
90206.3888889	0.587023997144	0.72331604979
92218.8181818	0.600984876629	0.736091900997
94231.2474747	0.61461961204	0.748372222963
96243.6767677	0.627923972358	0.760166521981
98256.1060606	0.64089492347	0.771485226841
100268.535354	0.65353054469	0.782339537224
102280.964646	0.665829946696	0.792741284614
104293.393939	0.677793191366	0.802702805366
106305.823232	0.689421213889	0.812236825486
108318.252525	0.700715747491	0.821356356577
110330.681818	0.711679251022	0.83007460239
112343.111111	0.722314839626	0.838404875366
114355.540404	0.732626218624	0.846360522526
116367.969697	0.742617620726	0.853954860083
118380.39899	0.752293746639	0.861201116131
120392.828283	0.761659709074	0.868112380787
122405.257576	0.770720980175	0.874701563176
124417.686869	0.779483342305	0.880981354672
126430.116162	0.787952842154	0.88696419783
128442.545455	0.79613574808	0.892662260489
130454.974747	0.804038510588	0.898087414519
132467.40404	0.811667725845	0.903251218766
134479.833333	0.81903010211	0.908164905742
136492.262626	0.826132428952	0.912839371652
138504.691919	0.832981549134	0.917285169383
140517.121212	0.839584333019	0.921512504107
142529.550505	0.84594765536	0.925531231185
144541.979798	0.852078374357	0.929350856066
146554.409091	0.857983312823	0.932980535938
148566.838384	0.863669241333	0.93642908287
150579.267677	0.86914286324	0.939704968239
152591.69697	0.874410801405	0.942816328252
154604.126263	0.879479586539	0.945770970368
156616.555556	0.884355647039	0.948576380484
158628.984848	0.889045300184	0.951239730735
160641.414141	0.893554744611	0.953767887778
162653.843434	0.89789005395	0.956167421467
164666.272727	0.902057171522	0.9584446138
166678.70202	0.906061906019	0.96060546807
168691.131313	0.909909928074	0.962655718141
170703.560606	0.913606767626	0.964600837772
172715.989899	0.917157812034	0.966446049956
174728.419192	0.920568304838	0.9681963362
176740.848485	0.923843345127	0.969856445728
178753.277778	0.926987887424	0.971430904549
180765.707071	0.93000674207	0.972924024383
182778.136364	0.932904576006	0.974339911401
184790.565657	0.935685913953	0.975682474777
186802.994949	0.93835513991	0.976955435015
188815.424242	0.940916498939	0.978162332061
190827.853535	0.943374099212	0.97930653317
192840.282828	0.945731914266	0.980391240536
194852.712121	0.947993785446	0.981419498669
196865.141414	0.950163424504	0.982394201529
198877.570707	0.952244416327	0.983318099397
200890.0	0.954240221776	0.984193805506
