X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45
0.0	0.0	0.0	0.0	0.0	0.0	0.0
714.032202929	0.000700304191209	0.00122811572504	0.00215294471201	0.00400318739807	0.00700430049297	0.0122299037109
1428.06440586	0.00279581386765	0.00489587187588	0.00856092675044	0.0158378612038	0.0274863357404	0.0473246567625
2142.09660879	0.00627042694262	0.0109540671064	0.0190744398494	0.0349985856913	0.0599533554549	0.101003591283
2856.12881172	0.0110976579644	0.019322567692	0.0334541300578	0.060703142727	0.102216065555	0.167531164041
3570.16101465	0.0172411514325	0.0298929838859	0.0513843897197	0.0919703217868	0.151734881385	0.24106344418
4284.19321758	0.0246553738418	0.0425321774303	0.0724903140312	0.127707842156	0.205953064367	0.316612332768
4998.22542051	0.0332864597589	0.0570863901742	0.096356373682	0.166796904393	0.262549963389	0.390472060605
5712.25762343	0.0430731827124	0.0733857607646	0.122545180137	0.208163197783	0.319589204567	0.460221495583
6426.28982636	0.0539480187489	0.0912489936833	0.150614948162	0.250828860529	0.375571102326	0.524501511806
7140.32202929	0.0658382692436	0.110487960547	0.180134621321	0.29394434054	0.429416270697	0.582728657358
7854.35423222	0.0786672098923	0.130912043729	0.210696038842	0.336802351437	0.480410104173	0.634834516741
8568.38643515	0.09235523459	0.152332072136	0.24192291499	0.378837864245	0.528131981921	0.681063511757
9282.41863808	0.106820965884	0.174563743243	0.273476725435	0.419618526991	0.572384731115	0.721830599745
9996.45084101	0.121982307575	0.197430469606	0.305059824979	0.458829495154	0.613132549327	0.757627883746
10710.4830439	0.137757419511	0.220765628359	0.33641625522	0.496255823375	0.650450449496	0.788966845052
11424.5152469	0.154065599382	0.2444142261	0.367330752122	0.531764641018	0.684485273189	0.816344754875
12138.5474498	0.170828061067	0.268234017813	0.397626452307	0.565288504378	0.71542685741	0.840226703202
12852.5796527	0.187968603592	0.292096136769	0.42716174511	0.596810668904	0.743487446903	0.861037315885
13566.6118557	0.205414168866	0.315885303192	0.455826644138	0.626352566508	0.768887468333	0.879158250812
14280.6440586	0.223095289867	0.339499683985	0.483538972243	0.65396347974	0.79184603603	0.894928983581
14994.6762615	0.240946433887	0.362850475221	0.510240577385	0.679712237375	0.812574878487	0.908649340471
15708.7084644	0.25890624771	0.385861274807	0.535893729672	0.70368067662	0.831274680071	0.920582847874
16422.7406674	0.276917713216	0.408467306006	0.560477794593	0.72595859424	0.848133091328	0.93096035232
17136.7728703	0.294928222987	0.430614544436	0.583986234244	0.746639918998	0.863323866709	0.939983603201
17850.8050732	0.312889586022	0.452258792571	0.606423956453	0.765819864933	0.877006744711	0.947828634746
18564.8372762	0.330757973779	0.473364737396	0.627805009275	0.783592858901	0.8893278009	0.954648869873
19278.8694791	0.348493816515	0.493905019005	0.64815060362	0.800051070448	0.9004200878	0.960577918673
19992.901682	0.366061659397	0.513859330984	0.667487437961	0.815283404191	0.910404435189	0.965732072449
20706.9338849	0.383429987155	0.533213567389	0.685846294592	0.829374843026	0.919390326175	0.970212509222
21420.9660879	0.400571025209	0.551959026133	0.70326087548	0.842406054171	0.92747679364	0.974107233831
22134.9982908	0.41746052432	0.570091674519	0.719766846344	0.854453189574	0.934753301699	0.977492778386
22849.0304937	0.434077534906	0.587611479478	0.735401059462	0.865587827877	0.941300590562	0.980435688959
23563.0626967	0.450404176245	0.604521802629	0.750200928287	0.875877017601	0.94719147244	0.982993823109
