Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 Y	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 Y
0.0	4.37606112824e-17	115.6626506	-8.04653589253e-17
106.2730627	9.05739690517e-05	202.4096386	0.0118365843191
398.5239852	0.00033965238154	289.1566265	0.0413217282896
637.6383764	0.00667983009018	375.9036145	0.0884554321058
743.9114391	0.0497251080096	462.6506024	0.129706282597
850.1845018	0.0743612270917	520.4819277	0.17093350722
983.0258303	0.105156375925	693.9759036	0.206372382249
1062.730627	0.142042624055	751.8072289	0.277013873174
1195.571956	0.178974159212	838.5542169	0.324147576925
1275.276753	0.215860407342	867.4698795	0.35358546916
1381.549815	0.240496526424	954.2168675	0.436016292408
1487.822878	0.271269031859	1040.963855	0.494915702745
1594.095941	0.302041537198	1040.963855	0.541978528763
1700.369004	0.332814042536	1098.795181	0.565557193669
1806.642066	0.375859320485	1127.710843	0.606760792166
1912.915129	0.41276821208	1272.289157	0.665707454756
2045.756458	0.443563360981	1272.289157	0.695121720734
2178.597786	0.468222123529	1359.036145	0.765786837462
2338.00738	0.480630757029	1416.86747	0.812896915281
2470.848708	0.505289519673	1503.614458	0.883562032009
2603.690037	0.554493827344	1648.192771	0.95427440099
2736.531365	0.628243680137	1706.024096	0.936673093011
2869.372694	0.646766056429	1850.60241	0.936791222351
3081.918819	0.677629135727	1850.60241	0.936791222351
3214.760148	0.616378490394	2024.096386	1.00752721681
3294.464945	0.555082558129	2053.012048	0.960488016728
3453.874539	0.585900350495	2255.421687	0.960653398322
3666.420664	0.586081498414	2284.337349	0.97244273084
3825.830258	0.63530844955	2371.084337	1.02545928798
4011.808118	0.647739726613	2689.156627	1.04336773238
4091.512915	0.733717064988	2833.73494	1.01995444893
4171.217712	0.721512222872	2891.566265	1.02000170119
4304.059041	0.72776182665	2891.566265	1.02000170119
4410.332103	0.733988786866	3065.060241	1.02014345666
4569.741697	0.746397420367	3412.048193	0.991012700966
4702.583026	0.789465341781	3585.542169	0.985271603238
4808.856089	0.82023784712	3701.204819	0.973600400707
4941.697417	0.857169382277	3903.614458	0.967882929106
5101.107011	0.8941235609	4048.192771	0.968001058447
5233.948339	0.937191482314	4192.771084	0.968119187787
5499.630996	0.943554303518	4250.60241	0.968166440041
5685.608856	0.968258353382	4886.746988	1.0333975961
5845.01845	0.968394213792	5204.819277	1.0513060405
6004.428044	0.925575370983	5378.313253	1.0102678236
6216.97417	0.974847609243	5638.554217	1.0104804568
6402.95203	0.975006113696	5985.542169	0.981349701108
6509.225092	0.993505846618	6216.86747	0.969773002438
6615.498155	1.00586919299
6774.907749	0.993732281276
6907.749077	0.993845498605
7120.295203	0.994026647101
7226.568266	1.01252638002
