X	Solomon2009_Fig3_pH7-4_8kDa_48uM.txt: 48 uM 8 kDa pH 7.4
379.75	6.44892865809e-06
1534.1969697	0.000105579230115
2688.64393939	0.000326752360128
3843.09090909	0.000675836802639
4997.53787879	0.00116221775284
6151.98484848	0.00179901198713
7306.43181818	0.00260337004278
8460.87878788	0.00359686674932
9615.32575758	0.00480598100084
10769.7727273	0.00626266458012
11924.219697	0.00800499752989
13078.6666667	0.0100779236066
14233.1136364	0.0125340532355
15387.5606061	0.0154345125009
16542.0075758	0.0188498043782
17696.4545455	0.0228606319596
18850.9015152	0.0275586123187
20005.3484848	0.0330467837072
21159.7954545	0.0394397785418
22314.2424242	0.0468635018327
23468.6893939	0.0554541228952
24623.1363636	0.0653561633552
25777.5833333	0.0767194555863
26932.030303	0.0896947647135
28086.4772727	0.10442792808
29240.9242424	0.121052481911
30395.3712121	0.139680923937
31549.8181818	0.160394999708
32704.2651515	0.183235677551
33858.7121212	0.20819374838
35013.1590909	0.23520218654
36167.6060606	0.264131462062
37322.0530303	0.294788840852
38476.5	0.326922324992
39630.9469697	0.36022930848
40785.3939394	0.394369356974
41939.8409091	0.428979907307
43094.2878788	0.4636932667
44248.7348485	0.498153166635
45403.1818182	0.532029307089
46557.6287879	0.565028748051
47712.0757576	0.596903550162
48866.5227273	0.627454607881
50020.969697	0.656532057213
51175.4166667	0.684032922834
52329.8636364	0.709896790651
53484.3106061	0.734100279499
54638.7575758	0.756650983717
55793.2045455	0.777581411451
56947.6515152	0.796943287395
58102.0984848	0.814802447122
59256.5454545	0.831234435021
60410.9924242	0.846320832822
61565.4393939	0.860146288376
62719.8863636	0.872796180156
63874.3333333	0.884354836046
65028.780303	0.894904220299
66183.2272727	0.904523005555
67337.6742424	0.913285954284
68492.1212121	0.921263543587
69646.5681818	0.928521777416
70801.0151515	0.935122139926
71955.4621212	0.94112165253
73109.9090909	0.94657300481
74264.3560606	0.951524735941
75418.8030303	0.956021448593
76573.25	0.960104041645
77727.6969697	0.963809951468
78882.1439394	0.967173394292
80036.5909091	0.970225604303
81191.0378788	0.972995063742
82345.4848485	0.975507722537
83499.9318182	0.977787205962
84654.3787879	0.979855009477
85808.8257576	0.981730680468
86963.2727273	0.983431986921
88117.719697	0.984975073375
89272.1666667	0.986374604635
90426.6136364	0.987643897858
91581.0606061	0.988795043682
92735.5075758	0.989839017116
93889.9545455	0.990785778883
95044.4015152	0.991644367942
96198.8484848	0.992422985853
97353.2954545	0.993129073634
98507.7424242	0.993769381747
99662.1893939	0.994350033757
100816.636364	0.994876584229
101971.083333	0.995354071354
103125.530303	0.995787064764
104279.977273	0.996179708962
105434.424242	0.996535762761
106588.871212	0.996858635096
107743.318182	0.997151417523
108897.765152	0.997416913715
110052.212121	0.997657666238
111206.659091	0.997875980831
112361.106061	0.99807394845
113515.55303	0.998253465253
114670.0	0.998416250734
