Solomon2009_Fig3_pH7-4_8kDa_48uM.txt: 48 uM 8 kDa pH 7.4 X	Solomon2009_Fig3_pH7-4_8kDa_48uM.txt: 48 uM 8 kDa pH 7.4 Y
4556.962025	6.11664620439e-17
7974.683544	6.11664620439e-17
12911.39241	0.00970873786782
18227.8481	0.0194174757295
22025.31646	0.0436893204083
25443.03797	0.0631067960947
29620.25316	0.111650485465
32278.48101	0.165048543679
33797.46835	0.208737864081
34556.96203	0.266990291264
37974.68354	0.32038834954
40632.91139	0.373786407754
41772.1519	0.417475728156
44430.37975	0.480582524306
45569.62025	0.519417475741
47088.60759	0.582524271891
48607.59494	0.635922329982
51265.82278	0.699029126132
53164.55696	0.74757281581
56962.02532	0.81067961196
60759.49367	0.859223301022
66075.94937	0.893203883612
71012.65823	0.912621359114
77088.60759	0.936893203645
85063.29114	0.961165048791
87721.51899	0.966019417205
94936.70886	0.985436893322
100253.1646	0.990291262351
107088.6076	0.999999999795
112025.3165	1.00970873785
