3% X	3% Y
360	0.018737207
360	0.052202686
480	0.003532437
480	0.00683767
600	0.019449629
600	0.025245397
600	0.039171131
720	0.035714247
720	0.053041704
720	0.058559225
840	0.015221793
840	0.041733836
840	0.060007298
960	-0.005610959
960	0.022540945
960	0.032286875
960	0.038286198
1080	0.021116243
1080	0.056128504
1080	0.052119267
1080	0.05992685
1200	0.03707947
1200	0.037590887
1200	0.053993738
1200	0.067382518
1320	0.050500978
1320	0.058309515
1320	0.08917048
1320	0.113988256
1440	0.098300795
1440	0.095223483
1440	0.112834774
1440	0.114768103
1560	0.086575409
1560	0.13007796
1560	0.130449529
1560	0.142527593
1680	0.114841303
1680	0.142072016
1680	0.165797104
1680	0.163349777
1800	0.158548728
1800	0.193008715
1800	0.192988704
1800	0.204705696
1920	0.201383795
1920	0.20539726
1920	0.240453332
1920	0.253517979
2040	0.205321331
2040	0.260358315
2040	0.258876043
2040	0.324391877
2160	0.262496282
2160	0.335734034
2160	0.302330263
2160	0.329509845
2280	0.371240882
2280	0.340020352
2280	0.385662912
2280	0.379046261
2400	0.311470841
2400	0.416518658
2400	0.402315756
2400	0.395880733
2520	0.395904501
2520	0.476103861
2520	0.442781362
2520	0.44953581
2640	0.405395695
2640	0.465628743
2640	0.536212507
2640	0.485510847
2760	0.518677183
2760	0.462115068
2760	0.532240118
2760	0.527942942
2880	0.495979648
2880	0.574860011
2880	0.572705724
2880	0.583827241
3000	0.599374567
3000	0.541309589
3000	0.570144428
3000	0.635536019
3120	0.661402502
3120	0.596965949
3120	0.658142054
3120	0.63402318
3240	0.638458273
3240	0.592941683
3240	0.639173452
3240	0.683483338
3360	0.673354439
3360	0.646092368
3360	0.688149352
3360	0.688831303
3480	0.76190346
3480	0.725075224
3480	0.714808611
3480	0.75985894
3600	0.694003914
3600	0.808577082
3600	0.758220014
3600	0.761473205
3720	0.723160861
3720	0.846962864
3720	0.787181482
3720	0.790837444
3840	0.732120548
3840	0.848707673
3840	0.81123559
3840	0.832731451
3960	0.772894716
3960	0.914399705
3960	0.81851055
3960	0.85853932
4080	0.887180696
4080	0.793927202
4080	0.80382843
4080	0.867871349
4200	0.84220827
4200	0.817693151
4200	0.945893495
4200	0.887078356
4320	0.771300196
4320	0.847413571
4320	0.905601705
4320	0.992392636
4440	0.935424645
4440	0.882432531
4440	0.847305675
4440	0.902913522
4560	0.926613363
4560	0.886213612
4560	0.8802591
4560	0.913675285
4680	0.9385653
4680	0.87977773
4680	0.911086497
4680	0.92682001
4800	0.945719014
4800	0.863250881
4800	0.961191633
4800	0.931432194
4920	0.961247808
4920	0.92708146
4920	0.912149511
4920	0.963948093
5040	0.880790607
5040	1.034791477
5040	0.985647984
5040	0.971020109
5160	0.971891138
5160	0.933356445
5160	0.924601957
5160	0.983396137
5280	1.03950246
5280	0.961030736
5280	0.914655186
5280	0.961334522
5400	0.981574824
5400	0.961432979
5400	0.938117417
5400	0.99123685
5520	0.943363523
5520	0.906758513
5520	0.978005374
5520	0.943347003
5640	0.964126741
5640	0.91731272
5640	0.953570679
5640	1.030940501
5760	1.019088203
5760	0.951618259
5760	0.954800594
5760	0.989142074
5880	1.037670411
5880	0.992807902
5880	0.962641308
5880	0.964692759
6000	1.003908371
6000	0.990394447
6000	0.971327588
6000	0.97129863
6120	0.975206274
6120	0.924450098
6120	1.003990247
6120	0.970328281
6240	0.972557504
6240	0.967350294
6240	1.045823478
6360	0.996508534
6360	0.975017335
6360	0.991268102
6480	0.993773284
6480	0.983319267
6480	0.979499022
6600	0.959904457
6600	0.978399604
6600	1.014806262
6720	1.015450817
6720	1.019665753
6840	1.001691134
6840	0.99157182
6960	0.991390589
6960	0.995292368
7080	0.978663796
7080	1.013067855
