0.1% X	0.1% Y
360	-0.026413251
480	-0.002266666
600	0.021803506
720	-0.00182526
720	0.010876412
720	0.02104012
840	-0.004725749
840	0.012478853
840	0.028909937
960	-0.012201032
960	0.007342017
960	0.035175823
1080	-0.01399561
1080	-0.004139094
1080	-0.00011334
1080	0.033953211
1200	-0.015054688
1200	0.00376998
1200	0.004260496
1200	0.016983463
1320	-0.007357237
1320	0.005262659
1320	0.006407652
1320	0.011716957
1440	-0.015461527
1440	-0.006487926
1440	0.017931123
1440	0.024477969
1560	-0.009253915
1560	0.009270526
1560	0.010202563
1560	0.031431574
1680	-0.040707156
1680	-0.001908169
1680	-0.00122668
1680	0.013550875
1800	-0.021028228
1800	-0.016840626
1800	-0.004935853
1800	0.025624168
1920	-0.032583381
1920	-0.014427712
1920	-0.007844833
1920	0.014928728
2040	-0.036455939
2040	-0.011545734
2040	0.000482107
2040	0.00919532
2160	-0.011150593
2160	-0.003182983
2160	-0.001808187
2160	0.015155323
2280	-0.024111225
2280	-0.006872904
2280	0.005182983
2280	0.013550875
2400	-0.019606615
2400	-0.001465253
2400	0.018059257
2400	0.039204581
2520	-0.03895745
2520	0.011451485
2520	0.011735779
2520	0.017447951
2640	-0.010439339
2640	0.014439605
2640	0.014467834
2640	0.02223362
2760	-0.002067521
2760	0.001477146
2760	0.003005848
2760	0.00718396
2880	0.00181004
2880	0.028129635
2880	0.042829775
2880	0.041823775
3000	-0.020238841
3000	-0.007963536
3000	0.017461527
3000	0.04358128
3120	0.02127751
3120	0.025811578
3120	0.040849993
3120	0.070555155
3240	0.007361943
3240	0.045817679
3240	0.057641317
3240	0.067403483
3360	0.034082103
3360	0.05404771
3360	0.063585398
3360	0.107233512
3480	0.018010799
3480	0.041482219
3480	0.044738358
3480	0.102419477
3600	0.041833885
3600	0.088283027
3600	0.094361513
3600	0.106838577
3720	0.089002002
3720	0.091657687
3720	0.094589199
3720	0.135200759
3840	0.106929073
3840	0.11616391
3840	0.143682629
3840	0.164899556
3960	0.123467402
3960	0.127860091
3960	0.127865087
3960	0.147404417
4080	0.123740683
4080	0.130226967
4080	0.18555071
4080	0.212301721
4200	0.139914885
4200	0.194323542
4200	0.204596517
4200	0.200992561
4320	0.153220756
4320	0.179902506
4320	0.202541783
4320	0.252455796
4440	0.206205211
4440	0.23138186
4440	0.235654617
4440	0.238358637
4560	0.249642617
4560	0.258791287
4560	0.287207909
4560	0.299794885
4680	0.265802764
4680	0.304646275
4680	0.324186703
4680	0.338765639
4800	0.307234218
4800	0.338944534
4800	0.348852187
4800	0.37699083
4920	0.346753451
4920	0.364154544
4920	0.393531881
4920	0.409982782
5040	0.351852707
5040	0.429954005
5040	0.418388239
5040	0.441286112
5160	0.40045499
5160	0.465073613
5160	0.483155753
5160	0.488077117
5280	0.45837935
5280	0.526894111
5280	0.563305722
5280	0.557842408
5400	0.494552196
5400	0.535641782
5400	0.558405971
5400	0.609344934
5520	0.53598365
5520	0.573097722
5520	0.578400117
5520	0.614999514
5640	0.563471826
5640	0.630637787
5640	0.648850581
5640	0.677354062
5760	0.551998501
5760	0.641806706
5760	0.667069808
5760	0.687133616
5880	0.590322596
5880	0.715909264
5880	0.722285284
5880	0.731453297
6000	0.639243582
6000	0.755423387
6000	0.761093137
6000	0.757128147
6120	0.69198901
6120	0.736298551
6120	0.753220232
6120	0.760948809
6240	0.71302344
