Kakkar2016_Fig1_10uM.txt: 10 uM X	Kakkar2016_Fig1_10uM.txt: 10 uM Y	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM X	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM Y	Kakkar2016_Fig1_16uM.txt: 16 uM X	Kakkar2016_Fig1_16uM.txt: 16 uM Y	Kakkar2016_Fig1_20uM.txt: 20 uM X	Kakkar2016_Fig1_20uM.txt: 20 uM Y
1454.545455	0.000663787725147	727.2727273	0.000308615582014	969.6969697	0.000958883350398	2666.666664	0.0127895076345
2909.090909	0.00265425751528	2909.090909	0.00117745108815	2666.666667	-0.000135880435384	4848.48486	0.029093482659
5333.333333	0.00899105852227	4606.060606	0.008740165024	4363.636364	0.00128117706692	6303.0303	0.0326901018418
7030.30303	0.0119971967314	6545.454545	0.0107369452711	5818.181818	0.0027170739905	7030.30302	0.0351630047805
8727.272727	0.0209266519286	7515.151515	0.0156524575248	7030.30303	0.00583830606093	7757.57574	0.0370805597178
10424.24242	0.0207622658453	8727.272727	0.0173183610603	8484.848485	0.0221888260803	8242.424244	0.0476869939424
11393.93939	0.0245082215379	9454.545455	0.0225250403778	8969.69697	0.0143879728003	8484.848496	0.0385691934536
13333.33333	0.03086660008	10666.66667	0.0245787482422	10181.81818	0.0152133595209	8484.848496	0.0348238719466
14303.0303	0.0335737324607	11636.36364	0.0290282737278	11151.51515	0.0249764110567	8969.696964	0.0439303823319
15757.57576	0.0395525870905	12363.63636	0.0308109401955	11636.36364	0.0145257684428	8969.696964	0.0364397393169
16727.27273	0.0448813673604	13333.33333	0.0349449807488	12363.63636	0.0134787279352	9212.121216	0.028444841392
17454.54545	0.040105445441	13575.75758	0.0325404588212	13090.90909	0.0218007216893	9212.121216	0.028444841392
18424.24242	0.0398116304959	14303.0303	0.0336307395252	13090.90909	-0.0189400191527	9454.545468	0.0133293122099
19393.93939	0.0406895148621	14545.45455	0.0279921580219	14060.60606	-0.00988171743273	9696.969684	0.00981517816963
20121.21212	0.0345228904109	15272.72727	0.0231499708214	14060.60606	-0.0284002354497	10181.81819	0.0188383561979
20848.48485	0.0404349208664	16484.84848	0.0402775718262	14060.60606	-0.0580298648787	10666.66666	0.0217376259765
21575.75758	0.0356107950482	16484.84848	0.0289993770462	15272.72727	-0.0277225543352	10666.66666	0.00301103874047
22303.0303	0.031451734283	16969.69697	0.0239778190693	15515.15152	-0.0389570840769	10909.09091	0.00494430445426
22787.87879	0.0341132409811	17454.54545	0.0269799240152	16242.42424	-0.0311227861109	11151.51516	-0.00405479836181
23757.57576	0.0288839032205	18424.24242	0.0306783356627	16242.42424	-0.0533450079309	11151.51516	-0.0115454413768
24000.0	0.0229974733527	18424.24242	0.0156407422827	16727.27273	-0.0525020503665	11393.93938	-0.0352384548663
24727.27273	0.0209498988836	18666.66667	-0.00288261388547	17212.12121	-0.0513186838947	11636.36363	0.00126311058378
24969.69697	0.0115260556472	19151.51515	0.00175055749307	18181.81818	-0.0298020042426	11636.36363	-0.0324447626822
25454.54545	0.0080764224712	19878.78788	0.0038262206385	18181.81818	-0.0483205232636	11636.36363	-0.0511713499182
25939.39394	0.00106762953732	20363.63636	0.00943472694068	18909.09091	-0.0385084282002	12121.21213	-0.03736403111
26666.66667	0.000490550520512	21090.90909	-0.00597688593031	19393.93939	-0.0296126518036	12363.63635	-0.0376295663085
27151.51515	0.00164149692435	21333.33333	-0.00846355724303	19878.78788	-0.039441474919	13090.9091	-0.0186990552211
28121.21212	-0.0106858920151	22060.60606	-0.000524055889004	20606.06061	-0.0269957840521	13333.33332	-0.0296186611751
28363.63636	-0.00795473372715	22545.45455	-0.00124868337357	21818.18182	0.00629903247941	14060.60608	-0.0133192363394
29333.33333	-0.00806068752901	22545.45455	-0.0162862777726	21818.18182	-0.0122194865416	14303.03029	-0.0203391387203
29333.33333	-0.019467530923	23515.15152	-0.00982302637696	22303.0303	-0.00953187871982	14303.03029	-0.0353204145993
30060.60606	-0.0220654311062	24242.42424	-0.0123319822323	22787.87879	-0.0186151044607	14787.8788	-0.0195149256552
30303.0303	-0.0228801518919	24727.27273	-0.00148346201896	23515.15152	-0.00394558296093	15030.30305	-0.0304508439241
