CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
1.0	0.0158434173301	1.0	-0.00237593573309	1.0	-0.00425655253798	1.0	-0.00913907227747	1.0	-0.0233778964556	1.0	0.0113917712069
1.0	0.0137745621922	1.0	-0.00291420864849	1.0	-0.00763612426628	1.0	-0.0139207045169	1.0	-0.0224599318301	1.0	0.0109747928743
1.25	0.041227642139	1.25	0.0135466143141	1.25	0.00673586434951	1.25	0.000676573976736	1.25	-0.0108924222294	1.25	0.0279212639907
1.25	0.0393503275057	1.25	0.0099767361445	1.25	0.00654817648481	1.25	-0.00328405745696	1.25	-0.0146121513851	1.25	0.0253689864338
1.25	0.0396638230827	1.25	0.0095545184741	1.25	0.00670424738161	1.25	-0.00213003377156	1.25	-0.0159986663596	1.25	0.0184386832478
1.25	0.0356740802836	1.25	0.0036191756119	1.25	0.00448119622421	1.25	-0.000654928379464	1.25	-0.0178355613809	1.25	0.0146828478475
1.25	0.0355519947546	1.25	0.0065896673934	1.25	0.00413899698161	1.25	-0.00627326338476	1.25	-0.0194044930649	1.25	0.0103620800124
1.25	0.0274865913834	1.25	0.000146764080096	1.25	-0.00216678921219	1.25	-0.0110893974819	1.25	-0.0242175848578	1.25	0.00707396853622
1.25	0.0239667626282	1.25	-0.000303967838204	1.25	-0.00554934211279	1.25	-0.0121952261897	1.25	-0.0227936660623	1.25	0.00518492661132
1.5	0.0564301422607	1.5	0.0185756807245	1.5	0.0123534550793	1.5	0.00155275168847	1.5	-0.00610936036812	1.5	0.0284722978517
1.5	0.0543368918498	1.5	0.0183725564693	1.5	0.0147697331658	1.5	0.00199664627167	1.5	-0.01214233423	1.5	0.0243693745736
1.5	0.0524483591786	1.5	0.011546470262	1.5	0.0121773815272	1.5	0.00211652749367	1.5	-0.0137209522611	1.5	0.0206605700319
1.5	0.0487481116892	1.5	0.0159340355775	1.5	0.00993299919057	1.5	0.00406292299697	1.5	-0.0156408946282	1.5	0.0184732561801
1.5	0.0500561485158	1.5	0.0146628667784	1.5	0.0121740391613	1.5	-0.00540264776693	1.5	-0.0185783048546	1.5	0.0115651144992
1.5	0.040578095357	1.5	0.0072754838574	1.5	0.00352143900597	1.5	-0.0105843371273	1.5	-0.0171825755093	1.5	0.00394603926123
1.5	0.0322318471121	1.5	0.0060444151148	1.5	-0.000702095440234	1.5	-0.00968540268323	1.5	-0.0245148929226	1.5	0.000575721305129
1.75	0.0697676596666	1.75	0.0218014446549	1.75	0.0158327710383	1.75	0.00798054678642	1.75	0.000591809673457	1.75	0.0295052010063
1.75	0.0687654169378	1.75	0.0226426363919	1.75	0.0180318424352	1.75	0.00320351345982	1.75	-0.00753301577244	1.75	0.0253239822173
1.75	0.0654014349898	1.75	0.0168099468479	1.75	0.0129455589733	1.75	0.00935813157142	1.75	-0.00857200662674	1.75	0.0258034951881
1.75	0.0614121975193	1.75	0.0202753730879	1.75	0.0147805397161	1.75	0.00336879672962	1.75	-0.0143047372876	1.75	0.0213445695264
1.75	0.0618031235473	1.75	0.0193726531649	1.75	0.00998425844429	1.75	-0.00907235531438	1.75	-0.0141285776405	1.75	0.00921991427386
1.75	0.0525873886963	1.75	0.0139844400429	1.75	0.0103283123513	1.75	-0.00324914429048	1.75	-0.0189843850289	1.75	0.00408794651206
1.75	0.0401680336373	1.75	0.0114774785389	1.75	0.00346769238829	1.75	-0.00785766894138	1.75	-0.0272693336275	1.75	-0.00272566744744
2.0	0.084513955461	2.0	0.0257929003513	2.0	0.0212736478571	2.0	0.0173300473507	2.0	0.006838550082	2.0	0.0370490952595
2.0	0.083161369707	2.0	0.0216773782433	2.0	0.0216193720881	2.0	0.0123415766744	2.0	-0.0035746764426	2.0	0.0308859432581
2.0	0.079234220335	2.0	0.0269526938333	2.0	0.0140898498731	2.0	0.00709948228538	2.0	-0.0068747504033	2.0	0.0282113042217
2.0	0.076550694275	2.0	0.0244171615613	2.0	0.0156300695131	2.0	0.00906182101438	2.0	-0.0097588178092	2.0	0.0249429427206
2.0	0.067138334027	2.0	0.0238973394753	2.0	0.0160759612071	2.0	-0.00374124323962	2.0	-0.0096127372268	2.0	0.0117602646478
2.0	0.07437755297	2.0	0.0216458000803	2.0	0.0106416814041	2.0	-0.000653220968623	2.0	-0.0165896396038	2.0	0.00518805988929
2.0	0.048283872986	2.0	0.00959685945234	2.0	0.0151038659581	2.0	-0.0101182232016	2.0	-0.0214567532933	2.0	0.00384059766919
2.25	0.0942539132976	2.25	0.0267326177688	2.25	0.0228028614385	2.25	0.0112121625423	2.25	0.013347622827	2.25	0.0378278868313
2.25	0.0910763086556	2.25	0.0261766022078	2.25	0.0268482579345	2.25	0.0202109157033	2.25	0.000672824012097	2.25	0.0325754755406
2.25	0.0873855334676	2.25	0.0269431378248	2.25	0.0249589130385	2.25	0.0109269537883	2.25	-0.0014841554429	2.25	0.0330787505006
2.25	0.0782415074526	2.25	0.0251770912878	2.25	0.0167923357845	2.25	0.0129848414433	2.25	-0.0104431672109	2.25	0.0321390226511
2.25	0.0850585034536	2.25	0.0228255325728	2.25	0.0180699327565	2.25	-0.00198361057565	2.25	-0.0083432145089	2.25	0.0165010183008
2.25	0.0850185338366	2.25	0.0229717339428	2.25	0.0134434286235	2.25	-0.000905494124651	2.25	-0.0167513003479	2.25	0.010588390826
2.25	0.0541577462466	2.25	0.00993089001479	2.25	0.0176560186265	2.25	-0.0110639473117	2.25	-0.0247759326319	2.25	-0.000984007894589
2.5	0.102152322924	2.5	0.0291325964128	2.5	0.0236804570493	2.5	0.0149144861767	2.5	0.022512599581	2.5	0.0432381847021
2.5	0.0847985150337	2.5	0.0275181807928	2.5	0.0287756986963	2.5	0.00998244481773	2.5	0.00570606514196	2.5	0.034031977089
2.5	0.0944452100327	2.5	0.0264335931568	2.5	0.0182521988893	2.5	0.0144255438187	2.5	0.00173426473896	2.5	0.0358071261556
2.5	0.0915270714367	2.5	0.0208214554868	2.5	0.0287955430223	2.5	0.0204276933797	2.5	-0.00942421155404	2.5	0.0344212815472
