X	Sanchez2016_WT.txt: WT
0.0	0.0
2505.46752828	0.0026428950225
5010.93505657	0.0105021713854
7516.40258485	0.0233740038623
10021.8701131	0.0409328416106
12527.3376414	0.0627509476791
15032.8051697	0.088322672908
17538.272698	0.117091031768
20043.7402263	0.148474197897
22549.2077545	0.181889893603
25054.6752828	0.216776199551
27560.1428111	0.252607933644
30065.6103394	0.288908333497
32571.0778677	0.32525625142
35076.545396	0.361289399982
37582.0129242	0.396704369303
40087.4804525	0.431254195888
42592.9479808	0.464744229621
45098.4155091	0.497026954527
47603.8830374	0.527996299544
50109.3505657	0.557581850095
52614.8180939	0.58574325425
55120.2856222	0.612465016822
57625.7531505	0.637751793971
60131.2206788	0.661624239474
62636.6882071	0.684115409891
65142.1557354	0.7052677063
67647.6232636	0.725130312114
70153.0907919	0.743757076787
72658.5583202	0.761204791545
75164.0258485	0.777531803716
77669.4933768	0.792796919128
80174.9609051	0.807058546521
82680.4284333	0.820374042946
85185.8959616	0.832799224392
87691.3634899	0.844388010909
90196.8310182	0.855192180193
92702.2985465	0.865261207772
95207.7660747	0.874642175656
97713.233603	0.883379734487
100218.701131	0.891516106955
102724.16866	0.899091122534
105229.636188	0.906142275541
107735.103716	0.912704800068
110240.571244	0.918811756691
112746.038773	0.924494126909
115251.506301	0.929780912151
117756.973829	0.934699234902
120262.441358	0.939274440047
122767.908886	0.943530195036
125273.376414	0.947488587794
127778.843942	0.951170221612
130284.311471	0.9545943065
132789.778999	0.95777874662
135295.246527	0.96074022362
137800.714056	0.963494275732
140306.181584	0.966055372641
142811.649112	0.968436986141
145317.11664	0.970651656695
147822.584169	0.972711055998
150328.051697	0.9746260457
152833.519225	0.976406732449
155338.986754	0.978062519432
157844.454282	0.979602154573
160349.92181	0.981033775594
162855.389338	0.982364952082
165360.856867	0.983602724762
167866.324395	0.984753642131
170371.791923	0.985823794615
172877.259452	0.986818846408
175382.72698	0.987744065136
177888.194508	0.988604349489
180393.662036	0.989404254958
182899.129565	0.99014801779
185404.597093	0.990839577294
187910.064621	0.991482596599
190415.532149	0.992080481972
192920.999678	0.992636400793
195426.467206	0.993153298284
197931.934734	0.993633913062
200437.402263	0.994080791618
202942.869791	0.994496301779
205448.337319	0.994882645232
207953.804847	0.99524186917
210459.272376	0.995575877128
212964.739904	0.995886439055
215470.207432	0.996175200685
217975.674961	0.996443692251
220481.142489	0.996693336587
222986.610017	0.996925456664
225492.077545	0.997141282595
227997.545074	0.997341958153
230503.012602	0.997528546829
233008.48013	0.997702037466
235513.947659	0.997863349497
238019.415187	0.998013337819
240524.882715	0.998152797318
243030.350243	0.998282467085
245535.817772	0.998403034331
248041.2853	0.998515138026
