Sanchez2016_WT.txt: WT X	Sanchez2016_WT.txt: WT Y
0.0	2.33813998453e-17
2390.185005	-0.00615344612769
5748.315482	-0.0118952658733
8146.91334	-0.0111497647583
10545.04382	-0.0104820622308
11983.64167	-0.0107945674675
13900.83739	-0.0178119374374
15818.50049	-0.0185218862224
17735.22882	-0.0260353986965
20132.89192	-0.0172726637571
21089.62025	-0.0346526036798
23486.81597	-0.027737095829
24924.47907	-0.0290015309874
26361.2074	-0.0385195312227
28757.00097	-0.042493492387
30195.13145	-0.0387396936663
32112.32717	-0.0365922419398
34029.99026	-0.0303077417125
35467.18598	-0.0354237381867
37385.31646	-0.0254483841787
39302.51217	-0.0245429729826
40738.77313	-0.0392466997803
42657.37098	-0.0265640920824
44574.5667	-0.0274488297361
46972.2298	-0.0189128058107
48889.42551	-0.0215547439544
51767.55599	-0.00564484178982
53685.68647	-0.00180330400762
55604.28432	0.00547834719321
58001.01266	-0.000523396359148
60399.14314	0.0050361244535
63277.74099	0.0177557775709
66633.53457	0.00682921677291
69511.19766	0.00728790157278
72869.32814	0.0136905396634
76228.86076	0.0309361894051
80066.99124	0.03613577275
82945.12171	0.0342813169807
84863.25219	0.0266822897445
87262.78481	0.0336181881386
89660.91529	0.0269817270509
92060.91529	0.0367880516294
96379.98053	0.0442855066442
98298.57838	0.0379720124063
101657.6436	0.0400126442684
105015.7741	0.032521442365
109335.3067	0.0393376696045
113175.7741	0.0523897251329
117972.9698	0.0363907090069
120372.0351	0.0321917883572
122770.6329	0.0234205335511
128530.6329	0.0321097339564
133331.1003	0.042602401193
138129.2308	0.0308878545199
142447.8286	0.0223100725111
145807.8286	0.0252751524386
150127.3612	0.0244064038415
153967.3612	0.0270996597472
158286.4265	0.0212317927292
161646.8939	0.0273840240502
165966.8939	0.0295379131149
169325.4917	0.0181966115095
172685.4917	0.0195554888746
176045.9591	0.0250677925658
180364.0896	0.00936661830654
184683.6222	0.00633757284727
189483.6222	0.00755503289145
194282.2201	-0.00422504009723
199082.6874	0.000975872517257
203882.6874	0.00177719452865
208681.2853	-0.0103647663186
214441.2853	-0.00964698190677
218282.2201	-0.000671712172922
225002.2201	-4.66214818098e-05
229801.7527	-0.00394885017896
234121.7527	-0.00365136789949
238442.2201	0.000890656653542
242762.2201	0.00112210377281
248041.2853	-0.00719099606412
