X	5uM	4uM	3.5uM	3uM	2.5uM	2uM	1.75uM	1.5uM	1.35uM	1.2uM
0.0	1.11022302463e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11022302463e-16
0.116080808081	0.0021937362894	0.00134244710876	0.00101197613763	0.000734908761283	0.000506171392152	0.000322210519936	0.000246250053235	0.000180685617353	0.00014627386158	0.000115526724723
0.232161616162	0.0113835549184	0.00614730976892	0.00443078671061	0.00310955917088	0.0020895082042	0.00130829109455	0.000994204159153	0.000726432341613	0.00058696458879	0.000462893251052
0.348242424242	0.0378468480848	0.0171409908294	0.0115427444985	0.00767867536209	0.00495947135244	0.00302239470888	0.00227528361462	0.00165080469277	0.00132958098921	0.00104587147225
0.464323232323	0.105526505077	0.0400950229549	0.0249029889366	0.0154837994173	0.00949329828143	0.005577750253	0.00414505544258	0.00297818234997	0.00238791936362	0.00187167666588
0.580404040404	0.246899154648	0.0850741974242	0.0488558979105	0.0282082504654	0.0162700105614	0.00914160263313	0.00668470157693	0.00474408275437	0.00378216081031	0.00295098195162
0.696484848485	0.455601903272	0.165177489767	0.0898044305463	0.0483396156291	0.0261130912928	0.0139419697256	0.0100031350042	0.00699567563994	0.00553905164494	0.00429796524498
0.812565656566	0.660041615706	0.287707422776	0.155119952433	0.079200994425	0.0401295315887	0.02027536495	0.0142395578499	0.00979244460594	0.00769215020015	0.00593038298108
0.928646464646	0.805744397459	0.44039637448	0.249237880679	0.124572659259	0.0597201277998	0.0285140207986	0.0195661524156	0.01320693677	0.0102821195895	0.00786966404642
1.04472727273	0.893284632233	0.593252696279	0.36792014111	0.187559848585	0.0865180089738	0.0391102048881	0.0261904383173	0.0173255207089	0.0133570406617	0.0101410161568
1.16080808081	0.942242493683	0.720704187145	0.496747345515	0.268707462445	0.122197900847	0.0525939587777	0.0343566121916	0.0222490445605	0.0169727121747	0.0127735353315
1.27688888889	0.968904883836	0.814677772207	0.618136070747	0.364326066763	0.168110368642	0.0695592047713	0.0443449178348	0.0280932501346	0.0211928961027	0.0158003071199
1.39296969697	0.983289895337	0.879253481091	0.720286986876	0.466699466757	0.224765907285	0.0906321915481	0.0564678052197	0.0349887561186	0.0260894550113	0.0192584858374
1.50905050505	0.991025874403	0.922036875072	0.799750361761	0.566690797295	0.291329430953	0.116416698057	0.0710613979411	0.0430803769387	0.0317423159372	0.0231893352931
1.62513131313	0.995181507915	0.94987925453	0.858590096373	0.656960484811	0.365405914918	0.147413693996	0.0884707270304	0.0525254995721	0.0382391819236	0.0276382114116
1.74121212121	0.997412990853	0.967844427226	0.900916697189	0.733608336888	0.443346857884	0.183920445484	0.109027488984	0.063491208831	0.0456748996146	0.0326544639128
1.85729292929	0.998611091123	0.97938995872	0.930872976808	0.795878679956	0.521028687475	0.225924962553	0.13301995753	0.0761498475162	0.054150381176	0.038291231026
1.97337373737	0.999254331551	0.986795937849	0.95188550879	0.844971935182	0.594751281048	0.273022692717	0.160656270287	0.0906727412277	0.0637709742452	0.0446050984213
2.08945454545	0.999599671519	0.991542421201	0.966553232983	0.882924708844	0.661860389257	0.324386765154	0.192024559827	0.107221930753	0.0746441784877	0.0516555915832
2.20553535354	0.999785075083	0.994583202275	0.976765289486	0.911901283707	0.720927346003	0.378814307306	0.227055865029	0.125939957063	0.0868766261896	0.0595044703312
2.32161616162	0.999884612997	0.996530876958	0.983865245141	0.933852743224	0.771579334449	0.434848916852	0.26549757307	0.146938042263	0.10057028184	0.0682147958136
2.4376969697	0.999938052046	0.997778288109	0.988797808585	0.950402253185	0.814176852779	0.490952405698	0.306905211312	0.170283388059	0.115817875628	0.0778497448809
