Daval2010_Fig2.txt: 50 uM X	Daval2010_Fig2.txt: 50 uM Y
241.0041841	2.15319389312e-05
723.0125523	0.00465993611283
1687.029289	0.00571840554485
2410.041841	0.00753540280909
3374.058577	0.00831003179027
3856.066946	0.0131151935453
4338.075314	0.0158998641334
4820.083682	0.02672478298
5483.831809	0.0422800148622
5483.831809	0.0333174866958
5645.255437	0.0306990364713
5725.96725	0.0185507947609
5887.390878	0.0174460963284
6048.814505	0.012983907829
6210.238132	0.00973559348332
6290.949946	-0.00335642095412
6452.373573	-0.00462612388357
6613.7972	-0.00597868918857
6855.932641	0.00148030246735
7017.356268	-0.000617329201827
7178.779896	0.00328695081284
7420.915337	0.0141700462066
7420.915337	-0.00226125578542
7501.62715	-0.00987125377491
7743.762591	0.0021271199778
7743.762591	-0.0157979363552
7905.186218	-0.00732379071693
8066.609846	-0.000849997363489
8066.609846	-0.0262438275225
8389.4571	0.00979911318222
8470.168914	0.000437616887502
8470.168914	-0.0189811948475
8631.592541	-0.0121447604203
8873.727982	0.0108067668573
8954.439795	0.00142133884186
9115.863423	0.00624087624223
9277.28705	0.00750951204475
9438.710677	0.000585070683573
9680.846118	0.0102081318321
9761.557932	-0.0114760933415
9922.981559	-0.0183037864373
10245.82881	-0.012953617782
10407.25244	-0.0247365786451
10730.0997	-0.024957468158
11295.08239	0.00633748978006
12102.20053	0.0410154582119
12909.31866	0.0521886037646
13797.14861	0.0491243028393
14523.55494	0.0444270454835
15653.52033	0.0468640931792
16864.19753	0.0413176969069
17752.02748	0.0333680704245
18881.99287	0.0304491561792
20011.95826	0.0261890519441
20819.0764	0.0239429550827
21949.04179	0.0171110030015
22675.44811	0.0143760994687
23643.98988	0.00862040296307
24612.53164	0.00277903172991
24935.37889	0.00131700737458
25742.49703	0.0013767825303
27033.88605	-0.00155418369589
28809.54595	-0.00151812415449
30181.64678	-0.00150583503366
32199.44212	-0.00149805876239
34297.94927	0.00149228266973
36073.60917	-5.93492261114e-07
37768.55726	-2.49428679266e-07
40512.75892	-6.12950891155e-08
43741.23147	-1.17582447112e-08
46485.43313	-2.88949397742e-09
49633.19386	-5.77651149136e-10
53749.49636	-0.00597501849037
57058.68072	-1.29530830506e-11
