Time /s	hnrnpa1
28.91566265	0.912741877
115.6626506	15.46914932
202.4096386	17.29828405
289.1566265	21.85469149
375.9036145	29.13837167
462.6506024	35.51296093
520.4819277	41.88389923
693.9759036	47.36035049
751.8072289	58.27674334
838.5542169	65.56042351
867.4698795	70.10952903
954.2168675	82.84775465
1040.963855	91.94961665
1040.963855	99.22234392
1098.795181	102.8660095
1127.710843	109.2332968
1272.289157	118.3424608
1272.289157	122.8879153
1359.036145	133.8079591
1416.86747	141.0879883
1503.614458	152.0080321
1648.192771	162.9353779
1706.024096	160.2154071
1850.60241	160.2336619
1850.60241	160.2336619
2024.096386	171.1646586
2053.012048	163.8955823
2255.421687	163.9211391
2284.337349	165.7429719
2371.084337	173.935743
2689.156627	176.7031763
2833.73494	173.0850675
2891.566265	173.0923695
2891.566265	173.0923695
3065.060241	173.1142753
3412.048193	168.6126323
3585.542169	167.7254472
3701.204819	165.9218693
3903.614458	165.0383352
4048.192771	165.05659
4192.771084	165.0748448
4250.60241	165.0821468
4886.746988	175.1624681
5204.819277	177.9299014
5378.313253	171.5881709
5638.554217	171.6210296
5985.542169	167.1193866
6216.86747	165.3304126
6621.686747	165.3815261
6968.674699	163.6071559
7142.168675	159.0836072
