X	data2.txt: I12C
2.057699973	0.00258018157838
2.99292251469	0.00548557254147
3.92814505637	0.00953400374456
4.86336759806	0.0147998899797
5.79859013975	0.0213796848047
6.73381268143	0.0293896609455
7.66903522312	0.0389629015662
8.60425776481	0.0502451631703
9.53948030649	0.0633892861955
10.4747028482	0.0785478932838
11.4099253899	0.0958642485854
12.3451479316	0.11546137039
13.2803704732	0.137429796434
14.2155930149	0.161814774719
15.1508155566	0.188604037951
16.0860380983	0.217717628304
17.02126064	0.249001362459
17.9564831817	0.282225366434
18.8917057234	0.317088619237
19.8269282651	0.353229666314
20.7621508067	0.390242739663
21.6973733484	0.427697662001
22.6325958901	0.465161331373
23.5678184318	0.502218421982
24.5030409735	0.53848921689
25.4382635152	0.573643106501
26.3734860569	0.607407064598
27.3087085985	0.639569162665
28.2439311402	0.669977762669
29.1791536819	0.698537372223
30.1143762236	0.725202258942
31.0495987653	0.749968854243
31.984821307	0.772867800096
32.9200438487	0.793956270303
33.8552663904	0.813310978867
34.790488932	0.831022100709
35.7257114737	0.847188186261
36.6609340154	0.861912051871
37.5961565571	0.875297566399
38.5313790988	0.887447222347
39.4666016405	0.898460368789
40.4018241822	0.908431985773
41.3370467238	0.917451890165
42.2722692655	0.925604276927
43.2074918072	0.932967514948
44.1427143489	0.939614131145
45.0779368906	0.94561092973
46.0131594323	0.951019204913
46.948381974	0.955895014858
47.8836045157	0.960289492503
48.8188270573	0.964249175089
49.754049599	0.967816339154
50.6892721407	0.97102933158
51.6244946824	0.973922890202
52.5597172241	0.97652844969
53.4949397658	0.978874430086
54.4301623075	0.980986506577
55.3653848492	0.982887859975
56.3006073908	0.984599407986
57.2358299325	0.986140017783
58.1710524742	0.987526700685
59.1062750159	0.988774789924
60.0414975576	0.989898102552
60.9767200993	0.990909086627
61.911942641	0.99181895478
62.8471651826	0.992637805258
63.7823877243	0.993374731495
64.717610266	0.994037921197
65.6528328077	0.994634745875
66.5880553494	0.995171841696
67.5232778911	0.995655182447
68.4585004328	0.99609014536
69.3937229745	0.996481570457
70.3289455161	0.996833814059
71.2641680578	0.997150796992
72.1993905995	0.997436048032
73.1346131412	0.997692743032
74.0698356829	0.997923740161
75.0050582246	0.998131611647
75.9402807663	0.998318672347
76.8755033079	0.998487005475
77.8107258496	0.99863848577
78.7459483913	0.998774800336
79.681170933	0.998897467421
80.6163934747	0.9990078533
81.5516160164	0.99910718749
82.4868385581	0.999196576427
83.4220610998	0.99927701579
84.3572836414	0.999349401581
85.2925061831	0.999414540103
86.2277287248	0.999473156939
87.1629512665	0.999525905031
88.0981738082	0.999573371952
89.0333963499	0.999616086451
89.9686188916	0.999654524339
90.9038414333	0.999689113789
91.8390639749	0.99972024011
92.7742865166	0.99974825003
93.7095090583	0.999773455565
94.6447316	0.999796137493
