X	Sanchez2016_ACE.txt: ACE
0.0	0.0
2504.01345455	7.90539975926e-07
5008.02690909	3.18020658641e-06
7512.04036364	7.22360746219e-06
10016.0538182	1.30131743636e-05
12520.0672727	2.06812711527e-05
15024.0807273	3.04032132551e-05
17528.0941818	4.24012668369e-05
20032.1076364	5.69497180692e-05
22536.1210909	7.43811269269e-05
25040.1345455	9.50939065627e-05
27544.148	0.000119561398888
30048.1614545	0.000148342650258
32552.1749091	0.000182095128732
35056.1883636	0.000221589667023
37560.2018182	0.000267727963737
40064.2152727	0.000321563030797
42568.2287273	0.000384323037914
45072.2421818	0.000457439076737
47576.2556364	0.000542577448941
50080.2690909	0.000641677175171
52584.2825455	0.000756993526486
55088.296	0.000891148498061
57592.3094545	0.00104718927701
60096.3229091	0.00122865590326
62600.3363636	0.00143965948448
65104.3498182	0.0016849725025
67608.3632727	0.00197013293841
70112.3767273	0.00230156414237
72616.3901818	0.00268671257822
75120.4036364	0.00313420577225
77624.4170909	0.00365403297848
80128.4305455	0.00425775122066
82632.444	0.00495871945767
85136.4574545	0.00577236360925
87640.4709091	0.00671647502293
90144.4843636	0.00781154459722
92648.4978182	0.00908113411524
95152.5112727	0.0105522852777
97656.5247273	0.01225596532
100160.538182	0.0142275457849
102664.551636	0.0165073078081
105168.565091	0.0191409629302
107672.578545	0.0221801727399
110176.592	0.0256830433607
112680.605455	0.0297145617325
115184.618909	0.0343469297682
117688.632364	0.0396597399444
120192.645818	0.0457399222241
122696.659273	0.052681378434
125200.672727	0.0605842080454
127704.686182	0.0695534212984
130208.699636	0.0796970352811
132712.713091	0.0911234602659
135216.726545	0.103938112113
137720.74	0.118239236301
140224.753455	0.134113002823
142728.766909	0.151628028058
145232.780364	0.170829593631
147736.793818	0.191733950188
150240.807273	0.21432319612
152744.820727	0.238541282635
155248.834182	0.26429169252
157752.847636	0.291437252424
160256.861091	0.319802364093
162760.874545	0.349177694761
165264.888	0.379327086572
167768.901455	0.40999617836
170272.914909	0.440922030776
172776.928364	0.471842945491
175280.941818	0.502507686869
177784.955273	0.532683439431
180288.968727	0.562162035093
182792.982182	0.590764217512
185296.995636	0.618341934836
187801.009091	0.64477883454
190305.022545	0.669989257639
192809.036	0.69391609147
195313.049455	0.716527848701
197817.062909	0.737815309331
200321.076364	0.757788007801
202825.089818	0.776470782757
205329.103273	0.793900542869
207833.116727	0.810123345123
210337.130182	0.825191835298
212841.143636	0.83916306501
215345.157091	0.852096674764
217849.170545	0.864053416472
220353.184	0.875093979917
222857.197455	0.885278083847
225361.210909	0.894663792195
227865.224364	0.903307017986
230369.237818	0.911261180952
232873.251273	0.918576988873
235377.264727	0.925302316868
237881.278182	0.931482162883
240385.291636	0.937158661317
242889.305091	0.942371140001
245393.318545	0.947156208603
247897.332	0.951547868935
